CA Electronic Short Form Leads
NAUT8006148597201509250916ELED000001000000M1N 3416CUS-20401413               ICASTSF15CTRC
NAUT8006149233201509250957ELED000001000000L1R 2905CUS-20401444               icastsf12bTRC
NAUT8006149233201509251256ELED000001000000V3J 2604CUS-20401592               icastsf12bTRC
NAUT8006149233201509251337ELED000001000000M5M 1416CUS-20401627               icastsf12bTRC
NAUT8006149233201509251616ELED000001000000L4W 2416CUS-20401837               icastsf12bTRC
NAUT8006516382201509250957ELED000001000000M2N 0416CUS-20401445               ICASESF14ABMT
NAUT8006516382201509251001ELED000001000000L8L 5905CUS-20401454               ICASESF14ABMT
NAUT8006516382201509251056ELED000001000000H4W 1514CUS-20401501               ICASESF14ABMT
NAUT8006516382201509251103ELED000001000000H2V 2438CUS-20401510               ICASESF14ABMT
NAUT8006516382201509251336ELED000001000000B0W 1902CUS-20401626               ICASESF14ABMT
NAUT8006516382201509251442ELED000001000000T0M 2403CUS-20401682               ICASESF14ABMT
NAUT8007781519201509250610ELED000001000000E7B 1506CUS-20401242               ICASTSF15BTRC
NAUT8007781519201509250711ELED000001000000K9V 3705CUS-20401296               ICASTSF15BTRC
NAUT8007781519201509250721ELED000001000000N7S 5519CUS-20401306               ICASTSF15BTRC
NAUT8007781519201509250831ELED000001000000T0J 2403CUS-20401376               ICASTSF15BTRC
NAUT8007781519201509251011ELED000001000000B1M 1902CUS-20401465               ICASTSF15BTRC
NAUT8007781519201509251031ELED000001000000R1N 3204CUS-20401487               ICASTSF15BTRC
NAUT8007781519201509251336ELED000001000000T0A 0780CUS-20401624               ICASTSF15BTRC
NAUT8007781519201509251705ELED000001000000N3R 7519CUS-20401887               ICASTSF15BTRC
NAUT8007781519201509251907ELED000001000000L9R 1705CUS-20401982               ICASTSF15BTRC
NAUT8007781519201509251909ELED000001000000P0G 1519CUS-20401987               ICASTSF15BTRC
NAUT8007781519201509251939ELED000001000000L4M 6705CUS-20402018               ICASTSF15BTRC
NAUT8007781519201509252011ELED000001000000V1C 6250CUS-20402051               ICASTSF15BTRC
NAUT8007781519201509252013ELED000001000000T4B 3403CUS-20402054               ICASTSF15BTRC
NAUT8007781519201509252022ELED000001000000N3S 0289CUS-20402061               ICASTSF15BTRC
NAUT8007781519201509252024ELED000001000000L8K 3905CUS-20402062               ICASTSF15BTRC
NAUT8007781519201509252041ELED000001000000T0K 1403CUS-20402077               ICASTSF15BTRC
NAUT8007781519201509252043ELED000001000000T9K 2780CUS-20402080               ICASTSF15BTRC
NAUT8007781519201509252044ELED000001000000B0T 1902CUS-20402082               ICASTSF15BTRC
NAUT8007781519201509252231ELED000001000000V8A 4604CUS-20402130               ICASTSF15BTRC
NAUT8007781519201509252233ELED000001000000V5T 4778CUS-20402131               ICASTSF15BTRC
NAUT8008521307201509250440ELED000001000000P6A 6705CUS-20401220               ICASESF14BBMT
NAUT8008521307201509250841ELED000001000000L7J 2289CUS-20340642               ICASESF14BBMT
NAUT8008521307201509250936ELED000001000000T5T 0780CUS-20401430               ICASESF14BBMT
NAUT8008521307201509251001ELED000001000000E1C 8506CUS-20401453               ICASESF14BBMT
NAUT8008521307201509251256ELED000001000000L3K 5905CUS-20401593               ICASESF14BBMT
NAUT8008521307201509251441ELED000001000000N8W 5226CUS-20401681               ICASESF14BBMT
NAUT8008521307201509252319ELED000001000000T4R 2403CUS-20402140               ICASESF14BBMT
NAUT8008521307201509252331ELED000001000000T5A 0780CUS-20402141               ICASESF14BBMT
NAUT8008521307201509252333ELED000001000000T3H 0403CUS-20402143               ICASESF14BBMT
