CA Electronic Short Form Leads
NAUT8006149233201411170813ELED000001000000L1V 5647CUS-19810284               icastsf12bTRC
NAUT8006516382201411170753ELED000001000000T3M 1403CUS-19737821               ICASESF14ATRC
NAUT8006516382201411170801ELED000001000000L7R 4289CUS-19810264               ICASESF14ABMT
NAUT8006516382201411171038ELED000001000000V4N 0778CUS-19810666               ICASESF14ABMT
NAUT8006516382201411171141ELED000001000000L1S 4289CUS-19810854               ICASESF14ABMT
NAUT8006516382201411171213ELED000001000000A0K 3709CUS-19810942               ICASESF14ABMT
NAUT8006516382201411171234ELED000001000000V1A 1778CUS-19810858               ICASESF14ABMT
NAUT8006516382201411171235ELED000001000000V3S 4778CUS-19810991               ICASESF14ABMT
NAUT8006516382201411171235ELED000001000000V3S 7604CUS-19810994               ICASESF14ABMT
NAUT8006516382201411171310ELED000001000000T6R 0780CUS-19811079               ICASESF14ABMT
NAUT8006516382201411171311ELED000001000000L6W 4647CUS-19811035               ICASESF14ABMT
NAUT8006516382201411171314ELED000001000000J1M 0819CUS-19811087               ICASESF14ABMT
NAUT8006516382201411171333ELED000001000000E5N 7506CUS-19811130               ICASESF14ABMT
NAUT8006516382201411171356ELED000001000000L9W 6519CUS-19811186               ICASESF14ABMT
NAUT8006516382201411171406ELED000001000000V8P 5250CUS-19811217               ICASESF14ABMT
NAUT8006516382201411171407ELED000001000000E1H 1506CUS-19811218               ICASESF14ABMT
NAUT8006516382201411171517ELED000001000000T5T 6780CUS-19811373               ICASESF14ABMT
NAUT8006516382201411171536ELED000001000000T3K 5403CUS-19811410               ICASESF14ABMT
NAUT8006516382201411171621ELED000001000000G1K 2418CUS-19811533               ICASESF14ABMT
NAUT8006516382201411171722ELED000001000000B0P 1902CUS-19811726               ICASESF14ABMT
NAUT8006516382201411171749ELED000001000000R2M 2204CUS-19811784               ICASESF14ABMT
NAUT8006516382201411171749ELED000001000000T8N 0780CUS-19811785               ICASESF14ABMT
NAUT8006516382201411171800ELED000001000000M1L 0416CUS-19811811               ICASESF14ABMT
NAUT8006516382201411171801ELED000001000000A1L 1709CUS-19811813               ICASESF14ABMT
NAUT8006516382201411171801ELED000001000000G7J 0418CUS-19811815               ICASESF14ABMT
NAUT8006516382201411171801ELED000001000000T0H 3780CUS-19811814               ICASESF14ABMT
NAUT8006516382201411171819ELED000001000000N3T 5506CUS-19811842               ICASESF14ABMT
NAUT8006516382201411171901ELED000001000000V9A 2250CUS-19811929               ICASESF14ABMT
NAUT8006516382201411171915ELED000001000000K0L 1613CUS-19811950               ICASESF14ABMT
NAUT8006516382201411172022ELED000001000000S9H 4306CUS-19812060               ICASESF14ABMT
NAUT8006516382201411172023ELED000001000000K7P 1613CUS-19812062               ICASESF14ABMT
NAUT8006516382201411172023ELED000001000000S7W 0306CUS-19812061               ICASESF14ABMT
NAUT8006516382201411172040ELED000001000000T6W 2780CUS-19812098               ICASESF14ABMT
NAUT8006516382201411172045ELED000001000000L8E 4905CUS-19812109               ICASESF14ABMT
NAUT8006516382201411172340ELED000001000000M4P 1416CUS-19812205               ICASESF14ABMT
NAUT8009526812201411170012ELED000001000000V0J 1250CUS-19809933               icastsf09buytcTRC
NAUT8009526812201411170127ELED000001000000L4L 2647CUS-19809960               icastsf09buytcTRC
NAUT8009526812201411170312ELED000001000000T2K 4403CUS-19809981               icastsf09buytcTRC
NAUT8009526812201411170557ELED000001000000M3H 3416CUS-19810027               icastsf09buytcTRC
NAUT8009526812201411170627ELED000001000000B2N 6123CUS-19810047               icastsf09buytcTRC
NAUT8009526812201411170742ELED000001000000L0K 2705CUS-19810190               icastsf09buytcTRC
NAUT8009526812201411170800ELED000001000000L7G 6905CUS-19810262               icastsf09buytcTRC
NAUT8009526812201411170802ELED000001000000J5R 5514CUS-19810265               icastsf09buytcTRC
NAUT8009526812201411170917ELED000001000000L7A 1416CUS-19810419               icastsf09buytcTRC
NAUT8009526812201411170917ELED000001000000R4A 7294CUS-19810421               icastsf09buytcTRC
NAUT8009526812201411171048ELED000001000000J0Y 2819CUS-19810696               icastsf09buytcTRC
NAUT8009526812201411171104ELED000001000000P4N 1705CUS-19810736               icastsf09buytcTRC
NAUT8009526812201411171143ELED000001000000V1A 1778CUS-19810858               icastsf09buytcTRC
NAUT8009526812201411171250ELED000001000000L6W 4647CUS-19811035               icastsf09buytcTRC
NAUT8009526812201411171259ELED000001000000K2J 2613CUS-19811056               icastsf09buytcTRC
NAUT8009526812201411171330ELED000001000000S0J 3306CUS-19811122               icastsf09buytcTRC
NAUT8009526812201411171345ELED000001000000V1R 1250CUS-19811157               icastsf09buytcTRC
NAUT8009526812201411171613ELED000001000000H7W 4514CUS-19811500               icastsf09buytcTRC
NAUT8009526812201411171613ELED000001000000T0A 0780CUS-19811499               icastsf09buytcTRC
NAUT8009526812201411171642ELED000001000000V0B 1250CUS-19811598               icastsf09buytcTRC
NAUT8009526812201411171643ELED000001000000L4Z 0289CUS-19811599               icastsf09buytcTRC
NAUT8009526812201411171713ELED000001000000V8K 1250CUS-19811685               icastsf09buytcTRC
NAUT8009526812201411171714ELED000001000000V9T 5250CUS-19811686               icastsf09buytcTRC
NAUT8009526812201411171728ELED000001000000P0H 1705CUS-19811732               icastsf09buytcTRC
NAUT8009526812201411171858ELED000001000000N5Y 5226CUS-19811918               icastsf09buytcTRC
NAUT8009526812201411172023ELED000001000000V3S 1704CUS-19812063               icastsf09buytcTRC
NAUT8009526812201411172024ELED000001000000V8M 2250CUS-19812064               icastsf09buytcTRC
NAUT8009526812201411172028ELED000001000000V1W 3250CUS-19812072               icastsf09buytcTRC
NAUT8009526812201411172129ELED000001000000V6E 1604CUS-19812138               icastsf09buytcTRC
