US Electronic Short Form Leads
NAUT8002433968201411210632ELED00000100000037421423CUS-19215128               DDCESAWBFXNLS
NAUT8002439827201411210057ELED00000100000078666512CUS-19817937               dseesf14aBMT
NAUT8002439827201411210622ELED00000100000049431231CUS-19779622               SAWDSEESF14ABMT
NAUT8002439827201411210628ELED00000100000017402440CUS-19818068               dseesf14aBMT
NAUT8002439827201411210658ELED00000100000030120706CUS-19818091               dseesf14aBMT
NAUT8002439827201411210713ELED00000100000081252719CUS-19818112               dseesf14aBMT
NAUT8002439827201411210728ELED00000100000001566508CUS-19818129               dseesf14aBMT
NAUT8002439827201411210747ELED00000100000060630847CUS-19818173               dseesf14aBMT
NAUT8002439827201411210819ELED00000100000069357308CUS-19818263               dseesf14aBMT
NAUT8002439827201411210839ELED00000100000045409937CUS-19818327               SAWDSEESF14ABMT
NAUT8002439827201411210858ELED00000100000033063754CUS-19818378               dseesf14aBMT
NAUT8002439827201411210900ELED00000100000095381209CUS-19818383               dseesf14aBMT
NAUT8002439827201411210901ELED00000100000032257904CUS-19818385               dseesf14aBMT
NAUT8002439827201411210902ELED00000100000012701845CUS-19818388               dseesf14aBMT
NAUT8002439827201411210930ELED00000100000073104405CUS-19818467               dseesf14aBMT
NAUT8002439827201411211115ELED00000100000078363361CUS-19818685               dseesf14aBMT
NAUT8002439827201411211116ELED00000100000002143617CUS-19818686               dseesf14aBMT
NAUT8002439827201411211117ELED00000100000042071270CUS-19818688               dseesf14aBMT
NAUT8002439827201411211200ELED00000100000091709909CUS-19818772               dseesf14aBMT
NAUT8002439827201411211201ELED00000100000091803213CUS-19818773               dseesf14aBMT
NAUT8002439827201411211358ELED00000100000037871865CUS-19818992               dseesf14aBMT
NAUT8002439827201411211358ELED00000100000077459949CUS-19818993               dseesf14aBMT
NAUT8002439827201411211401ELED00000100000033823863CUS-19819002               dseesf14aBMT
NAUT8002439827201411211403ELED00000100000003051603CUS-19819004               dseesf14aBMT
NAUT8002439827201411211501ELED00000100000034602352CUS-19819082               dseesf14aBMT
NAUT8002439827201411211512ELED00000100000097876541CUS-19819102               dseesf14aBMT
NAUT8002439827201411211516ELED00000100000092557951CUS-19819114               dseesf14aBMT
NAUT8002439827201411211547ELED00000100000045805419CUS-19819170               dseesf14aBMT
NAUT8002439827201411211743ELED00000100000060661312CUS-19819331               dseesf14aBMT
NAUT8002439827201411211745ELED00000100000076092502CUS-19819336               dseesf14aBMT
NAUT8002439827201411211814ELED00000100000030288404CUS-19819357               dseesf14aBMT
NAUT8002615850201411210442ELED00000100000002852401CUS-19818004               DSEESF14FBMT
NAUT8002615850201411210506ELED00000100000046221317CUS-19818016               DSEESF14FBMT
NAUT8002615850201411210657ELED00000100000033313954CUS-19818090               DSEESF14FBMT
NAUT8002615850201411210731ELED00000100000078744512CUS-19818139               DSEESF14FBMT
NAUT8002615850201411210817ELED00000100000040299919CUS-19818259               DSEESF14FBMT
NAUT8002615850201411210905ELED00000100000019403623CUS-19818398               DSEESF14FBMT
NAUT8002615850201411210919ELED00000100000093535661CUS-19818432               DSEESF14FBMT
NAUT8002615850201411210931ELED00000100000044903419CUS-19818469               DSEESF14FBMT
NAUT8002615850201411211024ELED00000100000022003703CUS-13172493               DSEESF14FBMT
NAUT8002615850201411211029ELED00000100000022201571CUS-19818582               DSEESF14FBMT
NAUT8002615850201411211202ELED00000100000049660231CUS-19818777               DSEESF14FBMT
NAUT8002615850201411211257ELED00000100000023703757CUS-19818903               DSEESF14FBMT
NAUT8002615850201411211403ELED00000100000037643423CUS-19819006               DSEESF14FBMT
NAUT8002615850201411211803ELED00000100000011710516CUS-19819350               DSEESF14FBMT
NAUT8002615850201411211913ELED00000100000091602323CUS-19819407               DSEESF14FBMT
NAUT8002615850201411212016ELED00000100000049512616CUS-19819469               DSEESF14FBMT
NAUT8002615850201411212030ELED00000100000023454757CUS-19819486               DSEESF14FBMT
NAUT8002615850201411212228ELED00000100000063017314CUS-19819537               DSEESF14FBMT
NAUT8002696045201411210907ELED00000100000076557254CUS-19799911               dsetsf11gTRC
NAUT8002696045201411210908ELED00000100000060120224CUS-19818403               dsetsf11gTRC
NAUT8002696045201411210908ELED00000100000094533707CUS-19818404               dsetsf11gTRC
NAUT8002696045201411210909ELED00000100000049660231CUS-19818407               dsetsf11gTRC
NAUT8002696045201411210909ELED00000100000060090847CUS-19818409               dsetsf11gTRC
NAUT8002696045201411210909ELED00000100000073401918CUS-19818406               dsetsf11gTRC
NAUT8002696045201411210909ELED00000100000095236209CUS-19818408               dsetsf11gTRC
NAUT8002696045201411210910ELED00000100000005658718CUS-19818412               dsetsf11gTRC
NAUT8002696045201411210910ELED00000100000099206509CUS-19818410               dsetsf11gTRC
NAUT8002696045201411210915ELED00000100000043310937CUS-19818423               dsetsf11gTRC
NAUT8002696045201411211831ELED00000100000033175756CUS-19819372               dsetsf11gTRC
NAUT8002696045201411212003ELED00000100000036301334CUS-19819458               dsetsf11gTRC
NAUT8002696045201411212013ELED00000100000066111816CUS-19819464               dsetsf11gTRC
NAUT8002696045201411212014ELED00000100000029720803CUS-19819467               dsetsf11gTRC
NAUT8002696045201411212014ELED00000100000065202573CUS-19819466               dsetsf11gTRC
NAUT8002696045201411212017ELED00000100000072032501CUS-19819471               dsetsf11gTRC
NAUT8002952928201411210748ELED00000100000092563951CUS-19818177               dseesf14cBMT
NAUT8002952928201411211714ELED00000100000098133206CUS-19819305               dseesf14cBMT
NAUT8002952928201411211848ELED00000100000098674207CUS-19819392               dseesf14cBMT
NAUT8002952928201411212058ELED00000100000006824203CUS-19819506               dseesf14cBMT
NAUT8003310360201411210743ELED00000100000031513954CUS-19818157               DSEESF14JBMT
NAUT8003310360201411210743ELED00000100000032804407CUS-19818155               DSEESF14JBMT
NAUT8003310360201411210743ELED00000100000044131216CUS-19818156               DSEESF14JBMT
NAUT8003310360201411210746ELED00000100000033712727CUS-19818170               DSEESF14JBMT
NAUT8003310360201411210746ELED00000100000041075513CUS-19818167               DSEESF14JBMT
NAUT8003310360201411210757ELED00000100000077389832CUS-19818196               DSEESF14JBMT
NAUT8003310360201411210817ELED00000100000011520516CUS-19818260               DSEESF14JBMT
NAUT8003310360201411210818ELED00000100000055721CUS-19818261               DSEESF14JBMT
NAUT8003310360201411210844ELED00000100000049006CUS-19818334               DSEESF14JBMT
NAUT8003310360201411210903ELED00000100000077021281CUS-19818390               DSEESF14JBMT
NAUT8003310360201411210904ELED00000100000002914401CUS-19818392               DSEESF14JBMT
NAUT8003310360201411210904ELED00000100000038133901CUS-19818394               DSEESF14JBMT
NAUT8003310360201411210904ELED00000100000098372253CUS-19818393               DSEESF14JBMT
NAUT8003310360201411210905ELED00000100000016055412CUS-19818396               DSEESF14JBMT
NAUT8003310360201411210905ELED00000100000033473757CUS-19818397               DSEESF14JBMT
NAUT8003310360201411210908ELED00000100000095050408CUS-19818395               DSEESF14JBMT
NAUT8003310360201411210912ELED00000100000036203256CUS-19818417               DSEESF14JBMT
NAUT8003310360201411211230ELED00000100000078665512CUS-19818859               DSEESF14JBMT
NAUT8003310360201411211828ELED00000100000094619510CUS-19819364               DSEESF14JBMT
NAUT8004018947201411210344ELED00000100000010553914CUS-19817992               dsetsf11aTRC
NAUT8004018947201411210658ELED00000100000040475803CUS-19818093               dsetsf11aTRC
NAUT8004018947201411210944ELED00000100000044903419CUS-19818469               dsetsf11aTRC
NAUT8004018947201411210950ELED00000100000060428708CUS-19818501               dsetsf11aTRC
NAUT8004018947201411211603ELED00000100000006461CUS-19819220               dsetsf11aTRC
NAUT8004018947201411211629ELED00000100000018067610CUS-19819258               dsetsf11aTRC
NAUT8004018947201411211629ELED00000100000078258210CUS-19819257               dsetsf11aTRC
NAUT8004018947201411211815ELED00000100000047124812CUS-19819358               dsetsf11aTRC
NAUT8004018947201411212228ELED00000100000046375219CUS-19819538               dsetsf11aTRC
NAUT8004018947201411212258ELED00000100000084095801CUS-19819544               dsetsf11aTRC
NAUT8004368368201411210029ELED00000100000092014858CUS-19817934               DSETDIRTRC
NAUT8004368368201411210800ELED00000100000006051860CUS-19818205               DSETDIRTRC
NAUT8004368368201411210948ELED00000100000046349219CUS-19818496               DSETDIRTRC
NAUT8004368368201411210949ELED00000100000079323575CUS-19818499               DSETDIRTRC
NAUT8004368368201411211030ELED00000100000072088501CUS-19818583               DSETDIRTRC
NAUT8004368368201411211103ELED00000100000099026509CUS-19818656               DSETDIRTRC
NAUT8004368368201411211104ELED00000100000018901215CUS-19818660               DSETDIRTRC
NAUT8004368368201411211105ELED00000100000015227412CUS-19818665               DSETDIRTRC
NAUT8004368368201411211106ELED00000100000028311910CUS-19818666               DSETDIRTRC
NAUT8004368368201411211106ELED00000100000070770225CUS-19818667               DSETDIRTRC
NAUT8004368368201411211113ELED00000100000090720562CUS-19818677               DSETDIRTRC
NAUT8004368368201411211122ELED00000100000070358504CUS-19818701               DSETDIRTRC
NAUT8004368368201411211122ELED00000100000071334318CUS-19818700               DSETDIRTRC
NAUT8004368368201411211221ELED00000100000071913CUS-19818838               DSETDIRTRC
NAUT8004368368201411211259ELED00000100000085501928CUS-19818907               DSETDIRTRC
NAUT8004368368201411211300ELED00000100000063740573CUS-19818910               DSETDIRTRC
NAUT8004368368201411211302ELED00000100000046552219CUS-19818912               DSETDIRTRC
NAUT8004368368201411211400ELED00000100000014801607CUS-19818997               DSETDIRTRC
NAUT8004368368201411211414ELED00000100000076520254CUS-19819027               DSETDIRTRC
NAUT8004368368201411211429ELED00000100000097525541CUS-19819043               DSETDIRTRC
NAUT8004368368201411211712ELED00000100000093291805CUS-19819300               DSETDIRTRC
NAUT8004553720201411211731ELED00000100000095377317CUS-19819325               dseesf14bBMT
NAUT8004767098201411210759ELED00000100000030078678CUS-19818200               dsetsf11hTRC
NAUT8004767098201411210907ELED00000100000054952920CUS-19818402               dsetsf11hTRC
NAUT8004767098201411211124ELED00000100000028211704CUS-19818706               dsetsf11hTRC
NAUT8004767098201411211235ELED00000100000048618989CUS-19818874               dsetsf11hTRC
NAUT8004767098201411211520ELED00000100000037421423CUS-19819125               dsetsf11hTRC
NAUT8004767098201411211556ELED00000100000003835603CUS-19819201               dsetsf11hTRC
NAUT8004767098201411211615ELED00000100000032819407CUS-19819238               dsetsf11hTRC
NAUT8005258332201411211404ELED00000100000002878508CUS-19819007               DSEESF14EBMT
NAUT8005258332201411211828ELED00000100000011224718CUS-19819365               DSEESF14EBMT
NAUT8005258332201411211833ELED00000100000040269502CUS-19716149               DSEESF14EBMT
NAUT8005258332201411212045ELED00000100000091910619CUS-19819496               DSEESF14EBMT
NAUT8005361847201411210012ELED00000100000098311360CUS-19817928               dseesf14dBMT
NAUT8005361847201411210843ELED00000100000014150716CUS-19818329               dseesf14dBMT
NAUT8005361847201411211537ELED00000100000038122901CUS-19819157               SAWDSEESF14DBMT
NAUT8005361847201411211546ELED00000100000017046717CUS-19819167               dseesf14dBMT
NAUT8005361847201411211546ELED00000100000029625864CUS-19819166               dseesf14dBMT
NAUT8005361847201411211546ELED00000100000030269678CUS-19819168               dseesf14dBMT
NAUT8005361847201411211546ELED00000100000053108414CUS-19819165               dseesf14dBMT
NAUT8005361847201411211643ELED00000100000014120716CUS-19819262               dseesf14dBMT
NAUT8005361847201411211802ELED00000100000036025334CUS-19819348               dseesf14dBMT
NAUT8006566904201411210842ELED00000100000085040602CUS-19818328               DSEESF14HBMT
NAUT8006566904201411210846ELED00000100000004092207CUS-19818341               DSEESF14HBMT
NAUT8006566904201411210847ELED00000100000093458805CUS-19818347               DSEESF14HBMT
NAUT8006566904201411210848ELED00000100000038676662CUS-19818352               DSEESF14HBMT
NAUT8006566904201411210858ELED00000100000039327601CUS-19818379               DSEESF14HBMT
NAUT8006566904201411210901ELED00000100000060714312CUS-19818386               DSEESF14HBMT
NAUT8006566904201411211012ELED00000100000034609352CUS-19818550               DSEESF14HBMT
NAUT8006566904201411211029ELED00000100000090303310CUS-19818581               DSEESF14HBMT
NAUT8006566904201411211043ELED00000100000085064623CUS-19818619               DSEESF14HBMT
NAUT8006566904201411211457ELED00000100000042240931CUS-19819072               DSEESF14HBMT
NAUT8006566904201411211501ELED00000100000037214757CUS-19819081               DSEESF14HBMT
NAUT8006566904201411211502ELED00000100000031533229CUS-19819083               DSEESF14HBMT
NAUT8006566904201411211502ELED00000100000095901916CUS-19819084               DSEESF14HBMT
NAUT8006566904201411211503ELED00000100000000987787CUS-19819085               DSEESF14HBMT
NAUT8006566904201411211504ELED00000100000006111860CUS-19819092               DSEESF14HBMT
NAUT8006566904201411211504ELED00000100000093620559CUS-19819091               DSEESF14HBMT
NAUT8006566904201411211517ELED00000100000028590919CUS-19819117               DSEESF14HBMT
NAUT8006566904201411211517ELED00000100000070526337CUS-19819115               DSEESF14HBMT
NAUT8006566904201411211613ELED00000100000091740626CUS-19819230               DSEESF14HBMT
NAUT8006566904201411211622ELED00000100000028114CUS-19819247               DSEESF14HBMT
NAUT8007075879201411210527ELED00000100000089123808CUS-19818028               dsetsf11eTRC
NAUT8007075879201411210758ELED00000100000075019214CUS-19818198               dsetsf11eTRC
NAUT8007075879201411210759ELED00000100000008245609CUS-19818202               dsetsf11eTRC
NAUT8007075879201411210802ELED00000100000043140740CUS-19818208               dsetsf11eTRC
NAUT8007075879201411210803ELED00000100000002766781CUS-19818210               dsetsf11eTRC
NAUT8007075879201411210803ELED00000100000014559585CUS-19818209               dsetsf11eTRC
NAUT8007075879201411210804ELED00000100000006320860CUS-19818213               dsetsf11eTRC
NAUT8007075879201411210804ELED00000100000024538434CUS-19818212               dsetsf11eTRC
NAUT8007075879201411210804ELED00000100000036608251CUS-19818214               dsetsf11eTRC
NAUT8007075879201411210805ELED00000100000011208347CUS-19818215               dsetsf11eTRC
NAUT8007075879201411210805ELED00000100000065807417CUS-19818216               dsetsf11eTRC
NAUT8007075879201411210806ELED00000100000029063803CUS-19818218               dsetsf11eTRC
NAUT8007075879201411210806ELED00000100000087043505CUS-19818217               dsetsf11eTRC
NAUT8007075879201411210807ELED00000100000025901304CUS-19818223               dsetsf11eTRC
NAUT8007075879201411210807ELED00000100000027265336CUS-19818222               dsetsf11eTRC
NAUT8007075879201411210807ELED00000100000040023502CUS-19818221               dsetsf11eTRC
NAUT8007075879201411210808ELED00000100000014075716CUS-19818226               dsetsf11eTRC
NAUT8007075879201411210808ELED00000100000021050410CUS-19795633               dsetsf11eTRC
NAUT8007075879201411210808ELED00000100000045662740CUS-19818227               dsetsf11eTRC
NAUT8007075879201411210809ELED00000100000011385646CUS-19818229               dsetsf11eTRC
NAUT8007075879201411210809ELED00000100000033183305CUS-19818228               dsetsf11eTRC
NAUT8007075879201411210819ELED00000100000008527732CUS-19818264               dsetsf11eTRC
NAUT8007075879201411210819ELED00000100000043209614CUS-19818265               dsetsf11eTRC
NAUT8007075879201411210820ELED00000100000087401505CUS-19818266               dsetsf11eTRC
NAUT8007075879201411210821ELED00000100000008361856CUS-19818268               dsetsf11eTRC
NAUT8007075879201411210821ELED00000100000032514850CUS-19818269               dsetsf11eTRC
NAUT8007075879201411210822ELED00000100000079764432CUS-19818275               dsetsf11eTRC
NAUT8007075879201411210823ELED00000100000060914815CUS-19818277               dsetsf11eTRC
NAUT8007075879201411210824ELED00000100000027612919CUS-19818283               dsetsf11eTRC
NAUT8007075879201411210828ELED00000100000079938915CUS-19818299               dsetsf11eTRC
NAUT8007075879201411210849ELED00000100000077407281CUS-19818358               dsetsf11eTRC
NAUT8007075879201411210850ELED00000100000070817225CUS-19818361               dsetsf11eTRC
NAUT8007075879201411210916ELED00000100000036608CUS-19818426               dsetsf11eTRC
NAUT8007075879201411210920ELED00000100000032937321CUS-19818436               dsetsf11eTRC
NAUT8007075879201411210920ELED00000100000054115920CUS-19818437               dsetsf11eTRC
NAUT8007075879201411210921ELED00000100000023455757CUS-19818441               dsetsf11eTRC
NAUT8007075879201411210921ELED00000100000053208414CUS-19818439               dsetsf11eTRC
NAUT8007075879201411210921ELED00000100000054848715CUS-19818438               dsetsf11eTRC
NAUT8007075879201411210922ELED00000100000012831518CUS-19818444               dsetsf11eTRC
NAUT8007075879201411210922ELED00000100000092840714CUS-19818443               dsetsf11eTRC
NAUT8007075879201411210923ELED00000100000030096678CUS-19818447               dsetsf11eTRC
NAUT8007075879201411210923ELED00000100000071291318CUS-19818448               dsetsf11eTRC
NAUT8007075879201411210924ELED00000100000007087201CUS-19818450               dsetsf11eTRC
NAUT8007075879201411210929ELED00000100000073112405CUS-19818462               dsetsf11eTRC
NAUT8007075879201411210933ELED00000100000060020CUS-19818474               dsetsf11eTRC
NAUT8007075879201411210945ELED00000100000079118432CUS-19818490               dsetsf11eTRC
NAUT8007075879201411210946ELED00000100000028269704CUS-19818492               dsetsf11eTRC
NAUT8007075879201411210946ELED00000100000056701218CUS-19818491               dsetsf11eTRC
NAUT8007075879201411210948ELED00000100000030294404CUS-19818498               dsetsf11eTRC
NAUT8007075879201411210950ELED00000100000060504630CUS-19818500               dsetsf11eTRC
NAUT8007075879201411210951ELED00000100000011209718CUS-19818505               dsetsf11eTRC
NAUT8007075879201411210951ELED00000100000085008831CUS-19818507               dsetsf11eTRC
NAUT8007075879201411210952ELED00000100000030080404CUS-19818508               dsetsf11eTRC
NAUT8007075879201411210958ELED00000100000014221716CUS-19818517               dsetsf11eTRC
NAUT8007075879201411210959ELED00000100000002828401CUS-19818519               dsetsf11eTRC
NAUT8007075879201411210959ELED00000100000007676201CUS-19818518               dsetsf11eTRC
NAUT8007075879201411210959ELED00000100000008016908CUS-19818520               dsetsf11eTRC
NAUT8007075879201411211000ELED00000100000048458810CUS-19818521               dsetsf11eTRC
NAUT8007075879201411211001ELED00000100000010457917CUS-19818528               dsetsf11eTRC
NAUT8007075879201411211001ELED00000100000014212716CUS-19818527               dsetsf11eTRC
NAUT8007075879201411211001ELED00000100000072949479CUS-19818526               dsetsf11eTRC
NAUT8007075879201411211002ELED00000100000014830607CUS-19818530               dsetsf11eTRC
NAUT8007075879201411211002ELED00000100000088021915CUS-19818529               dsetsf11eTRC
NAUT8007075879201411211003ELED00000100000032424850CUS-19818533               dsetsf11eTRC
NAUT8007075879201411211003ELED00000100000065714417CUS-19818532               dsetsf11eTRC
NAUT8007075879201411211004ELED00000100000034610727CUS-19818537               dsetsf11eTRC
NAUT8007075879201411211004ELED00000100000045014513CUS-19818536               dsetsf11eTRC
NAUT8007075879201411211005ELED00000100000001028413CUS-19818542               dsetsf11eTRC
NAUT8007075879201411211005ELED00000100000007731732CUS-19818541               dsetsf11eTRC
NAUT8007075879201411211005ELED00000100000097229503CUS-19818539               dsetsf11eTRC
NAUT8007075879201411211014ELED00000100000079762432CUS-19818553               dsetsf11eTRC
NAUT8007075879201411211018ELED00000100000014150716CUS-19818566               dsetsf11eTRC
NAUT8007075879201411211032ELED00000100000031792229CUS-19818590               dsetsf11eTRC
NAUT8007075879201411211053ELED00000100000036079CUS-19818631               dsetsf11eTRC
NAUT8007075879201411211053ELED00000100000079907CUS-19818632               dsetsf11eTRC
NAUT8007075879201411211058ELED00000100000059102406CUS-19818640               dsetsf11eTRC
NAUT8007075879201411211059ELED00000100000018951215CUS-19818644               dsetsf11eTRC
NAUT8007075879201411211059ELED00000100000077630520CUS-19818643               dsetsf11eTRC
NAUT8007075879201411211100ELED00000100000075228936CUS-19818647               dsetsf11eTRC
NAUT8007075879201411211100ELED00000100000086413702CUS-19818646               dsetsf11eTRC
NAUT8007075879201411211101ELED00000100000000778787CUS-19818648               dsetsf11eTRC
NAUT8007075879201411211101ELED00000100000081321970CUS-19818649               dsetsf11eTRC
NAUT8007075879201411211102ELED00000100000028139828CUS-19818651               dsetsf11eTRC
NAUT8007075879201411211103ELED00000100000012828518CUS-19818654               dsetsf11eTRC
NAUT8007075879201411211104ELED00000100000020024202CUS-19818659               dsetsf11eTRC
NAUT8007075879201411211122ELED00000100000095832916CUS-19818699               dsetsf11eTRC
NAUT8007075879201411211126ELED00000100000046001765CUS-19818710               dsetsf11eTRC
