US Short Form Leads
NAUT8002035443201507021146LEAD00000100000078229210CUS-20279871               BRNGN120TCMOMTICTRC
NAUT8002175036201507020858LEAD00000100000004578207CUS-6285273               FYI*N180HAMF*TICBMT
NAUT8002175036201507021004LEAD00000100000007430201CUS-20279681               FYI*N180HAMF*TICBMT
NAUT8002528750201507021045LEAD00000100000028034704CUS-10872804               OWN*N180HAMF*TICBMT
NAUT8002528750201507021047LEAD00000100000033909239CUS-20279747               OWN*N180HAMF*TICBMT
NAUT8002528750201507021153LEAD00000100000039823229CUS-20279885               OWN*N180HAMF*TICBMT
NAUT8002528750201507021154LEAD00000100000034652727CUS-20279888               OWN*N180HAMF*TICBMT
NAUT8002528750201507021157LEAD00000100000078840830CUS-20279884               OWN*N180HAMF*TICBMT
NAUT8002542818201507020946LEAD00000100000028384910CUS-20279655               INSPN120ALOBYTICTRC
NAUT8002580343201507020936LEAD00000100000019702302CUS-20279644               UPTVN120ALOBYTICTRC
NAUT8002580343201507021016LEAD00000100000087012505CUS-20279698               UPTVN120ALOBYTICTRC
NAUT8002580646201507020742LEAD00000100000033890863CUS-20279472               ION*N120ALOBYTICTRC
NAUT8002580646201507020744LEAD00000100000046394219CUS-20279474               ION*N120ALOBYTICTRC
NAUT8002580646201507020745LEAD00000100000001852978CUS-20279476               ION*N120ALOBYTICTRC
NAUT8002580646201507021041LEAD00000100000017033717CUS-20279730               ION*N120ALOBYTICTRC
NAUT8002580646201507021041LEAD00000100000074063918CUS-20279731               ION*N120ALOBYTICTRC
NAUT8002580646201507021042LEAD00000100000037050931CUS-20279737               ION*N120ALOBYTICTRC
NAUT8002580646201507021043LEAD00000100000035205205CUS-20279739               ION*N120ALOBYTICTRC
NAUT8002580646201507021044LEAD00000100000008401609CUS-20279745               ION*N120ALOBYTICTRC
NAUT8002580646201507021044LEAD00000100000011208718CUS-20279735               ION*N120ALOBYTICTRC
NAUT8002580646201507021114LEAD00000100000019565610CUS-20279816               ION*N120ALOBYTICTRC
NAUT8002580646201507021137LEAD00000100000008609732CUS-20279860               ION*N120ALOBYTICTRC
NAUT8002580646201507021142LEAD00000100000080204303CUS-20279865               ION*N120ALOBYTICTRC
NAUT8002580646201507021201LEAD00000100000023505325CUS-20279900               ION*N120ALOBYTICTRC
NAUT8002580646201507021343LEAD00000100000094579510CUS-20280022               ION*N120ALOBYTICTRC
NAUT8002580646201507021421LEAD00000100000035217205CUS-20280068               ION*N120ALOBYTICTRC
NAUT8002580646201507021421LEAD00000100000044703330CUS-20280071               ION*N120ALOBYTICTRC
NAUT8002580646201507021421LEAD00000100000053205414CUS-20280069               ION*N120ALOBYTICTRC
NAUT8002580646201507021422LEAD00000100000007840908CUS-2148259               ION*N120ALOBYTICTRC
NAUT8002580646201507021422LEAD00000100000077092713CUS-20280073               ION*N120ALOBYTICTRC
NAUT8002580646201507021423LEAD00000100000031406912CUS-20280076               ION*N120ALOBYTICTRC
NAUT8002580646201507021424LEAD00000100000074021918CUS-20280080               ION*N120ALOBYTICTRC
NAUT8002580646201507021522LEAD00000100000084010385CUS-20280176               ION*N120ALOBYTICTRC
NAUT8002580646201507021537LEAD00000100000006010860CUS-20280191               ION*N120ALOBYTICTRC
NAUT8002580646201507021541LEAD00000100000015235412CUS-20280202               ION*N120ALOBYTICTRC
NAUT8002580646201507021546LEAD00000100000079007806CUS-20280207               ION*N120ALOBYTICTRC
NAUT8002580646201507021722LEAD00000100000090745424CUS-20280327               ION*N120ALOBYTICTRC
NAUT8002580646201507021722LEAD00000100000091710909CUS-20280324               ION*N120ALOBYTICTRC
NAUT8002949672201507020654LEAD00000100000075126214CUS-20279411               DTVSN60*HAMF*TICBMT
NAUT8002987359201507020738LEAD00000100000044102216CUS-20279465               TESCN120ALOBYTICTRC
NAUT8002987359201507020739LEAD00000100000032763386CUS-20279467               TESCN120ALOBYTICTRC
NAUT8002987359201507020859LEAD00000100000023224804CUS-20279597               TESCN120ALOBYTICTRC
NAUT8002987359201507022142LEAD00000100000074112918CUS-20280548               TESCN120ALOBYTICTRC
NAUT8002987359201507022144LEAD00000100000033033786CUS-20280551               TESCN120ALOBYTICTRC
NAUT8003184501201507020736LEAD00000100000006451203CUS-20279463               MOVSN5MNFIVE*TICTRC
NAUT8003754403201507020853LEAD00000100000027820252CUS-20279586               TESCN120TCMOMTICTRC
NAUT8003754403201507020854LEAD00000100000019143267CUS-20279589               TESCN120TCMOMTICTRC
NAUT8003754403201507020854LEAD00000100000030336404CUS-20279590               TESCN120TCMOMTICTRC
NAUT8003754403201507020854LEAD00000100000078741512CUS-20279591               TESCN120TCMOMTICTRC
NAUT8003920471201507020336LEAD00000100000080917719CUS-20279311               SUNDN5MNFIVE*TICTRC
NAUT8003920471201507020337LEAD00000100000085501928CUS-20279312               SUNDN5MNFIVE*TICTRC
NAUT8004019176201507021540LEAD00000100000035401205CUS-20280194               FXX*N60*HAMF*TICBMT
NAUT8004200250201507021551LEAD00000100000045240513CUS-20280214               LAFFN120HAMBYTICBMT
NAUT8004200250201507022136LEAD00000100000044095440CUS-20280542               LAFFN120HAMBYTICBMT
NAUT8004200250201507022137LEAD00000100000043920330CUS-20280544               LAFFN120HAMBYTICBMT
NAUT8004262803201507021002LEAD00000100000033157305CUS-16069211               SUNDN180HAMF*TICBMT
NAUT8004262803201507021004LEAD00000100000051573712CUS-2688802               SUNDN180HAMF*TICBMT
NAUT8004262803201507021004LEAD00000100000076877325CUS-20279680               SUNDN180HAMF*TICBMT
NAUT8004262803201507021005LEAD00000100000023693757CUS-20279684               SUNDN180HAMF*TICBMT
NAUT8004262803201507021357LEAD00000100000015116412CUS-20280045               SUNDN180HAMF*TICBMT
NAUT8004365669201507021851LEAD00000100000027283419CUS-20280394               WNATN120HAMBYTICBMT
NAUT8006325419201507021215LEAD00000100000088240575CUS-20279921               SPKEN120ALOBYTICTRC
NAUT8006493521201507020741LEAD00000100000094559707CUS-20279470               H2**N180HAMF*TICBMT
NAUT8006493521201507021534LEAD00000100000094619510CUS-20280188               H2**N180HAMF*TICBMT
NAUT8006508911201507020713LEAD00000100000010472718CUS-5683923               SPKEN120HAMBYTICBMT
NAUT8006508911201507020715LEAD00000100000032162615CUS-2583433               SPKEN120HAMBYTICBMT
NAUT8006508911201507020717LEAD00000100000021703301CUS-20279442               SPKEN120HAMBYTICBMT
NAUT8006508911201507020727LEAD00000100000085747520CUS-20279453               SPKEN120HAMBYTICBMT
NAUT8006508911201507020912LEAD00000100000033030786CUS-20279611               SPKEN120HAMBYTICBMT
NAUT8006508911201507020913LEAD00000100000002920401CUS-20279612               SPKEN120HAMBYTICBMT
NAUT8006514043201507021146LEAD00000100000032976856CUS-20279866               DISEN60*WALKATICTRC
NAUT8006514043201507021405LEAD00000100000062203618CUS-20280057               DISEN60*WALKATICTRC
NAUT8006514043201507021548LEAD00000100000032310850CUS-20280211               DISEN60*WALKATICTRC
NAUT8006514043201507021550LEAD00000100000030523706CUS-10172398               DISEN60*WALKATICTRC
NAUT8006520108201507020919LEAD00000100000043526419CUS-20279619               INSPN180ALOHATICTRC
NAUT8006520108201507021630LEAD00000100000023228804CUS-20280265               INSPN180ALOHATICTRC
NAUT8006520108201507021642LEAD00000100000020711804CUS-20280278               INSPN180ALOHATICTRC
NAUT8006586984201507020755LEAD00000100000031217478CUS-20279479               DTVLN60*WALKATICTRC
NAUT8006586984201507021018LEAD00000100000024281865CUS-20279697               DTVLN60*WALKATICTRC
NAUT8006586984201507021026LEAD00000100000050402641CUS-20279711               DTVLN60*WALKATICTRC
NAUT8007075269201507021233LEAD00000100000036256256CUS-20279942               DISMN60*HAMF*TICBMT
NAUT8007075269201507021647LEAD00000100000027205336CUS-20280284               DISMN60*HAMF*TICBMT
NAUT8007110152201507020647LEAD00000100000016314814CUS-20279407               PUREN180HAMF*TICBMT
NAUT8007116190201507020627LEAD00000100000030281678CUS-20279381               HERON120HAMBYTICBMT
NAUT8007116190201507020635LEAD00000100000016601814CUS-20279385               HERON120HAMBYTICBMT
NAUT8007116190201507020635LEAD00000100000088337575CUS-20279395               HERON120HAMBYTICBMT
NAUT8007116190201507020743LEAD00000100000017201717CUS-20279473               HERON120HAMBYTICBMT
NAUT8007116190201507020744LEAD00000100000023608757CUS-20279471               HERON120HAMBYTICBMT
NAUT8007171553201507021228LEAD00000100000029412843CUS-20279935               IFC*N120HAMBYTICBMT
NAUT8007171553201507021256LEAD00000100000075835936CUS-12747234               IFC*N120HAMBYTICBMT
NAUT8007632060201507020706LEAD00000100000030041678CUS-20279427               HMM*N120ALOBYTICTRC
NAUT8008204560201507020037LEAD00000100000096096530CUS-20279290               FOXNN120ALOBYTICTRC
