US Short Form Leads
NAUT8002479645201509301435LEAD00000100000077550409CUS-20407165               QUBON120TCMOMTICTRC
NAUT8002481408201509300742LEAD00000100000013205315CUS-12794371               ION*N120WMNS*TICBDY
NAUT8002481408201509300742LEAD00000100000013205315CUS-12794371               ION*N120WMNS*TICBFC
NAUT8002542818201509300648LEAD00000100000045417937CUS-20406736               INSPN120ALOBYTICTRC
NAUT8002542818201509300649LEAD00000100000029471803CUS-20406740               INSPN120ALOBYTICTRC
NAUT8002542818201509300649LEAD00000100000051301712CUS-20406739               INSPN120ALOBYTICTRC
NAUT8002542818201509300956LEAD00000100000061270815CUS-20406924               INSPN120ALOBYTICTRC
NAUT8002542818201509300956LEAD00000100000071238318CUS-20406923               INSPN120ALOBYTICTRC
NAUT8002542818201509300957LEAD00000100000097038503CUS-20406927               INSPN120ALOBYTICTRC
NAUT8002542818201509300958LEAD00000100000038671901CUS-20406929               INSPN120ALOBYTICTRC
NAUT8002542818201509300959LEAD00000100000013733607CUS-20406925               INSPN120ALOBYTICTRC
NAUT8002542818201509301001LEAD00000100000079763432CUS-20406933               INSPN120ALOBYTICTRC
NAUT8002542818201509301206LEAD00000100000075020903CUS-20407063               INSPN120ALOBYTICTRC
NAUT8002580646201509300000LEAD00000100000007019973CUS-20406572               ION*N120ALOBYTICTRC
NAUT8002580646201509301004LEAD00000100000042240270CUS-20406935               ION*N120ALOBYTICTRC
NAUT8002580646201509301253LEAD00000100000095046408CUS-20407111               ION*N120ALOBYTICTRC
NAUT8002580646201509301454LEAD00000100000029341864CUS-20407183               ION*N120ALOBYTICTRC
NAUT8002598587201509300741LEAD00000100000060160708CUS-20406778               HMM*N120WMNS*TICTRC
NAUT8002598587201509300741LEAD00000100000075474214CUS-20406779               HMM*N120WMNS*TICTRC
NAUT8002598587201509301755LEAD00000100000028721828CUS-20407272               HMM*N120WMNS*TICTRC
NAUT8002598587201509301755LEAD00000100000075975936CUS-20407274               HMM*N120WMNS*TICTRC
NAUT8002598587201509301756LEAD00000100000019734302CUS-20407277               HMM*N120WMNS*TICTRC
NAUT8002598587201509301756LEAD00000100000028905352CUS-20407271               HMM*N120WMNS*TICTRC
NAUT8002598587201509301757LEAD00000100000056468218CUS-20407279               HMM*N120WMNS*TICTRC
NAUT8002598587201509301804LEAD00000100000037347423CUS-20407282               HMM*N120WMNS*TICTRC
NAUT8002949672201509300958LEAD00000100000010458347CUS-20406928               DTVSN60*HAMF*TICBMT
NAUT8002949672201509301000LEAD00000100000089103702CUS-20406932               DTVSN60*HAMF*TICBMT
NAUT8002987359201509301124LEAD00000100000095116408CUS-20407012               TESCN120ALOBYTICTRC
NAUT8003010502201509300637LEAD00000100000020020202CUS-7988190               FOX*NVODHAMF*TICBMT
NAUT8003419994201509300703LEAD00000100000048727810CUS-20406748               CZNYN120ALOBYTICTRC
