US Short Form Leads
NAUT8002959083201409201201LEAD00000100000048204313CUS-19725345               FXLOL60*NOTSTTICBMT
NAUT8003661911201409202200LEAD00000100000063113314CUS-19725911               SUNDN180BFMAXTICBMT
NAUT8003667015201409200617LEAD00000100000092501714CUS-19725101               VEL*N180BFMAXTICBMT
NAUT8004272727201409200917LEAD00000100000053032920CUS-19725205               METVN120GRT2HTICTRC
NAUT8004272727201409201343LEAD00000100000039759662CUS-19725478               METVN120GRT2HTICTRC
NAUT8004272727201409201344LEAD00000100000030021678CUS-19725479               METVN120GRT2HTICTRC
NAUT8004272727201409201345LEAD00000100000023509757CUS-19725482               METVN120GRT2HTICTRC
NAUT8004272727201409201346LEAD00000100000031405912CUS-19725485               METVN120GRT2HTICTRC
NAUT8004272727201409201346LEAD00000100000063023636CUS-19696625               METVN120GRT2HTICTRC
NAUT8004272727201409201347LEAD00000100000072765479CUS-19725487               METVN120GRT2HTICTRC
NAUT8004272727201409201348LEAD00000100000063042314CUS-19725488               METVN120GRT2HTICTRC
NAUT8004272727201409201350LEAD00000100000043604419CUS-19725486               METVN120GRT2HTICTRC
NAUT8004272727201409201352LEAD00000100000043830740CUS-19725491               METVN120GRT2HTICTRC
NAUT8004272727201409201503LEAD00000100000021403443CUS-19725585               METVN120GRT2HTICTRC
NAUT8004272727201409201517LEAD00000100000078539956CUS-19725596               METVN120GRT2HTICTRC
NAUT8004272727201409201518LEAD00000100000055112651CUS-19725597               METVN120GRT2HTICTRC
NAUT8004272727201409201518LEAD00000100000076708254CUS-19725598               METVN120GRT2HTICTRC
NAUT8004272727201409201519LEAD00000100000078380361CUS-19725599               METVN120GRT2HTICTRC
NAUT8004272727201409201605LEAD00000100000043130972CUS-19725665               METVN120GRT2HTICTRC
NAUT8004272727201409201605LEAD00000100000063074314CUS-19725666               METVN120GRT2HTICTRC
NAUT8004367887201409202200LEAD00000100000011101631CUS-19725912               FOX*NVODBOBBITICBMT
NAUT8004400559201409200138LEAD00000100000061938217CUS-19725039               FOXNN120GRT2HTICTRC
NAUT8004400559201409200214LEAD00000100000071108318CUS-19725043               FOXNN120GRT2HTICTRC
NAUT8004400559201409200314LEAD00000100000066856620CUS-19725047               FOXNN120GRT2HTICTRC
NAUT8004400559201409200616LEAD00000100000094952CUS-19725098               FOXNN120GRT2HTICTRC
NAUT8004668119201409200803LEAD00000100000028562252CUS-19725166               PALLN120GENTSTICTRC
NAUT8004669741201409200741LEAD00000100000077017713CUS-19725143               SUNDN120GENTSTICTRC
NAUT8004809199201409201200LEAD00000100000001906617CUS-19725342               SUNDN120BFMAXTICBMT
NAUT8004809199201409201341LEAD00000100000054304920CUS-19725474               SUNDN120BFMAXTICBMT
NAUT8004809199201409201502LEAD00000100000060056847CUS-19725583               SUNDN120BFMAXTICBMT
NAUT8004809199201409201503LEAD00000100000089005775CUS-19725584               SUNDN120BFMAXTICBMT
NAUT8004809199201409201620LEAD00000100000077093713CUS-19725683               SUNDN120BFMAXTICBMT
NAUT8004960263201409201304LEAD00000100000048195734CUS-15910400               DESTN120BFMAXTICBMT
NAUT8004969798201409201620LEAD00000100000045788740CUS-19725685               SPKEN120BFMAXTICBMT
NAUT8004969798201409201700LEAD00000100000028314910CUS-19725720               SPKEN120BFMAXTICBMT
NAUT8004969798201409201716LEAD00000100000060641773CUS-19725728               SPKEN120BFMAXTICBMT
NAUT8004969798201409201746LEAD00000100000011784631CUS-19725747               SPKEN120BFMAXTICBMT
NAUT8004969798201409201746LEAD00000100000078076956CUS-19725746               SPKEN120BFMAXTICBMT
NAUT8004969798201409201747LEAD00000100000046220CUS-19725748               SPKEN120BFMAXTICBMT
NAUT8004969798201409201801LEAD00000100000047374765CUS-19725763               SPKEN120BFMAXTICBMT
NAUT8004969798201409202016LEAD00000100000085258480CUS-19725851               SPKEN120BFMAXTICBMT
NAUT8005050396201409200615LEAD00000100000010573203CUS-19725097               PALLN120BFMAXTICBMT
NAUT8005923486201409201415LEAD00000100000092886714CUS-19725539               DRTMN60*NOTSTTICBMT
NAUT8006148461201409200801LEAD00000100000014225716CUS-19725159               HALMN120WALKATICTRC
NAUT8006516384201409200801LEAD00000100000048080586CUS-19725157               INSPN120WALKATICTRC
NAUT8006516384201409201124LEAD00000100000030471478CUS-19725309               INSPN120WALKATICTRC
NAUT8006516384201409201210LEAD00000100000027526919CUS-19725350               INSPN120WALKATICTRC
NAUT8006516384201409201315LEAD00000100000051442712CUS-19725449               INSPN120WALKATICTRC
NAUT8006516384201409201315LEAD00000100000079502940CUS-19725448               INSPN120WALKATICTRC
NAUT8006516384201409201338LEAD00000100000041274606CUS-19725469               INSPN120WALKATICTRC
NAUT8006516384201409201416LEAD00000100000030241706CUS-19725540               INSPN120WALKATICTRC
NAUT8006546989201409201455LEAD00000100000017866570CUS-19725569               TNTLL60*WALKATICTRC
NAUT8006670951201409201139LEAD00000100000085705520CUS-19725313               HISTL60*WALKATICTRC
NAUT8006703864201409200921LEAD00000100000049849906CUS-19725207               METVN120WALKATICTRC
NAUT8007171498201409201217LEAD00000100000032216904CUS-19725361               LMN*L60*WALKATICTRC
NAUT8007171498201409201217LEAD00000100000049337231CUS-2256178               LMN*L60*WALKATICTRC
NAUT8007171498201409201218LEAD00000100000023059804CUS-19725366               LMN*L60*WALKATICTRC
NAUT8007171498201409201218LEAD00000100000032164386CUS-19725364               LMN*L60*WALKATICTRC
NAUT8007171498201409201231LEAD00000100000062301217CUS-19725381               LMN*L60*WALKATICTRC
NAUT8007171498201409201410LEAD00000100000078207210CUS-19725533               LMN*L60*WALKATICTRC
NAUT8007171498201409201416LEAD00000100000045069513CUS-19725541               LMN*L60*WALKATICTRC
NAUT8007171498201409201430LEAD00000100000029466843CUS-19725558               LMN*L60*WALKATICTRC
NAUT8007171498201409201545LEAD00000100000079605352CUS-19725631               LMN*L60*WALKATICTRC
NAUT8007171498201409201548LEAD00000100000028334910CUS-19725639               LMN*L60*WALKATICTRC
NAUT8007171498201409201556LEAD00000100000007734732CUS-19725643               LMN*L60*WALKATICTRC
NAUT8007835119201409201802LEAD00000100000011579516CUS-19725764               CMGCP60*GRT2HWSTTRC
NAUT8007835135201409201411LEAD00000100000077498281CUS-19725534               CMGDP60*GRT2HWSTTRC
NAUT8008591918201409200616LEAD00000100000070087CUS-19725100               FOXNN120WALKATICTRC
NAUT8009523012201409200916LEAD00000100000031318912CUS-19725203               USA*L60*WALKATICTRC
