US Short Form Leads
NAUT8002917847201410301229LEAD00000100000094608510CUS-19778149               ION*N120BFMAXTICBMT
NAUT8002961913201410301545LEAD00000100000034237941CUS-19778433               UPTVN120JNYNYTICTRC
NAUT8003318973201410300903LEAD00000100000011501516CUS-19777854               SAWTCIM0003TRC
NAUT8003318973201410301542LEAD00000100000060520815CUS-19778425               SAWTCIM0003TRC
NAUT8003359240201410301755LEAD00000100000011385347CUS-19778564               NBA*P60*GRT2HWSTTRC
NAUT8003518887201410300711LEAD00000100000048507810CUS-19777703               IFC*N120BFMAXTICBMT
NAUT8003518887201410300712LEAD00000100000033435561CUS-19777705               IFC*N120BFMAXTICBMT
NAUT8003518887201410300713LEAD00000100000010029718CUS-19777706               IFC*N120BFMAXTICBMT
NAUT8003518887201410300815LEAD00000100000072116501CUS-19777803               IFC*N120BFMAXTICBMT
NAUT8003518887201410301855LEAD00000100000003227603CUS-19778618               IFC*N120BFMAXTICBMT
NAUT8003582499201410300739LEAD00000100000012754845CUS-19777742               HIS2N180BFMAXTICBMT
NAUT8003582499201410300741LEAD00000100000037015615CUS-19777747               HIS2N180BFMAXTICBMT
NAUT8003661911201410300624LEAD00000100000011374718CUS-9035268               SUNDN180BFMAXTICBMT
NAUT8003661911201410300936LEAD00000100000029706803CUS-19777923               SUNDN180BFMAXTICBMT
NAUT8003661911201410300936LEAD00000100000093060626CUS-19777925               SUNDN180BFMAXTICBMT
NAUT8003661911201410300938LEAD00000100000003448603CUS-19777924               SUNDN180BFMAXTICBMT
NAUT8003661911201410301042LEAD00000100000010304917CUS-19778013               SUNDN180BFMAXTICBMT
NAUT8003661911201410301103LEAD00000100000033020786CUS-19778022               SUNDN180BFMAXTICBMT
NAUT8003661911201410301141LEAD00000100000093723559CUS-19778068               SUNDN180BFMAXTICBMT
NAUT8003667015201410300853LEAD00000100000018976215CUS-19777835               VEL*N180BFMAXTICBMT
NAUT8004272727201410300632LEAD00000100000044001440CUS-19777662               METVN120GRT2HTICTRC
NAUT8004272727201410301257LEAD00000100000012566845CUS-19778187               METVN120GRT2HTICTRC
