US Electronic Short Form Leads
NAUT8002035538201511090749ELED00000100000016145724CUS-20460899               DSETSF15ATRC
NAUT8002439827201511090125ELED00000100000010468347CUS-20460621               dseesf14aBMT
NAUT8002439827201511090137ELED00000100000071111816CUS-20460626               dseesf14aBMT
NAUT8002439827201511090201ELED00000100000080723970CUS-20460634               dseesf14aBMT
NAUT8002439827201511090332ELED00000100000076678254CUS-20460671               dseesf14aBMT
NAUT8002439827201511090512ELED00000100000060115815CUS-20460720               dseesf14aBMT
NAUT8002439827201511090619ELED00000100000078160210CUS-20460767               dseesf14aBMT
NAUT8002439827201511090626ELED00000100000031768229CUS-20460775               dseesf14aBMT
NAUT8002439827201511090643ELED00000100000000604787CUS-20460791               dseesf14aBMT
NAUT8002439827201511090650ELED00000100000079252940CUS-20460806               dseesf14aBMT
NAUT8002439827201511090655ELED00000100000037862865CUS-20460811               dseesf14aBMT
NAUT8002439827201511090806ELED00000100000098208425CUS-20460935               dseesf14aBMT
NAUT8002439827201511090847ELED00000100000098953509CUS-20461015               dseesf14aBMT
NAUT8002439827201511090907ELED00000100000098953509CUS-20461051               dseesf14aBMT
NAUT8002439827201511090913ELED00000100000012804518CUS-20461057               dseesf14aBMT
NAUT8002439827201511090922ELED00000100000060490630CUS-20461072               dseesf14aBMT
NAUT8002439827201511090933ELED00000100000017363717CUS-20461100               dseesf14aBMT
NAUT8002439827201511090939ELED00000100000089149702CUS-20461113               dseesf14aBMT
NAUT8002439827201511090952ELED00000100000017552717CUS-20461149               dseesf14aBMT
NAUT8002439827201511090958ELED00000100000008648609CUS-20461162               dseesf14aBMT
NAUT8002439827201511091017ELED00000100000075440903CUS-20461194               dseesf14aBMT
NAUT8002439827201511091030ELED00000100000097222503CUS-20461220               dseesf14aBMT
NAUT8002439827201511091031ELED00000100000036875CUS-20461223               dseesf14aBMT
NAUT8002439827201511091044ELED00000100000043302740CUS-20461245               dseesf14aBMT
NAUT8002439827201511091051ELED00000100000001569508CUS-20461259               dseesf14aBMT
NAUT8002439827201511091055ELED00000100000010509845CUS-20461271               dseesf14aBMT
NAUT8002439827201511091102ELED00000100000025411304CUS-8905832               dseesf14aBMT
NAUT8002439827201511091116ELED00000100000087506505CUS-20461306               dseesf14aBMT
NAUT8002439827201511091123ELED00000100000033196786CUS-20461321               dseesf14aBMT
NAUT8002439827201511091130ELED00000100000034982772CUS-20461329               dseesf14aBMT
NAUT8002439827201511091141ELED00000100000065459573CUS-7432497               dseesf14aBMT
NAUT8002439827201511091248ELED00000100000046350219CUS-20461438               dseesf14aBMT
NAUT8002439827201511091255ELED00000100000037172386CUS-20461449               dseesf14aBMT
NAUT8002439827201511091301ELED00000100000049067269CUS-20461454               dseesf14aBMT
NAUT8002439827201511091314ELED00000100000078230956CUS-20461466               dseesf14aBMT
NAUT8002439827201511091331ELED00000100000084084801CUS-2380761               dseesf14aBMT
NAUT8002439827201511091348ELED00000100000092345760CUS-20461531               dseesf14aBMT
NAUT8002439827201511091432ELED00000100000095005831CUS-20461587               dseesf14aBMT
NAUT8002439827201511091511ELED00000100000090292859CUS-20461636               dseesf14aBMT
NAUT8002439827201511091518ELED00000100000097031503CUS-20461652               dseesf14aBMT
NAUT8002439827201511091520ELED00000100000033511813CUS-20461656               dseesf14aBMT
NAUT8002439827201511091544ELED00000100000090304310CUS-20461682               dseesf14aBMT
NAUT8002439827201511091556ELED00000100000075063214CUS-20461694               dseesf14aBMT
NAUT8002439827201511091622ELED00000100000091754818CUS-20461730               dseesf14aBMT
NAUT8002439827201511091656ELED00000100000019968302CUS-20461774               dseesf14aBMT
NAUT8002439827201511091903ELED00000100000010701917CUS-20461901               dseesf14aBMT
NAUT8002439827201511091909ELED00000100000085743520CUS-554319               dseesf14aBMT
NAUT8002439827201511091916ELED00000100000034787407CUS-20461915               dseesf14aBMT
NAUT8002439827201511091924ELED00000100000011415917CUS-10845285               dseesf14aBMT
NAUT8002439827201511091944ELED00000100000024605276CUS-20461950               dseesf14aBMT
NAUT8002439827201511091950ELED00000100000053098920CUS-694043               dseesf14aBMT
NAUT8002439827201511092112ELED00000100000079761432CUS-20462032               dseesf14aBMT
NAUT8002439827201511092138ELED00000100000055398763CUS-20462060               dseesf14aBMT
NAUT8002615850201511090255ELED00000100000075204469CUS-20460654               DSEESF14FBMT
NAUT8002615850201511090416ELED00000100000008753732CUS-20460690               DSEESF14FBMT
NAUT8002615850201511090741ELED00000100000049601231CUS-20460880               DSEESF14FBMT
NAUT8002615850201511091347ELED00000100000030605CUS-20461530               DSEESF14FBMT
NAUT8002615850201511091451ELED00000100000045044513CUS-20461616               DSEESF14FBMT
NAUT8002615850201511091537ELED00000100000010463646CUS-20461674               DSEESF14FBMT
NAUT8002615850201511091722ELED00000100000054235920CUS-20461803               DSEESF14FBMT
NAUT8002615850201511091741ELED00000100000053216414CUS-20461823               DSEESF14FBMT
NAUT8002615850201511091821ELED00000100000057501308CUS-20461860               DSEESF14FBMT
NAUT8002615850201511091835ELED00000100000019047267CUS-4437229               DSEESF14FBMT
NAUT8002615850201511091856ELED00000100000014612585CUS-20461889               DSEESF14FBMT
NAUT8002615850201511091926ELED00000100000019802CUS-20461931               DSEESF14FBMT
NAUT8002696045201511090928ELED00000100000013204315CUS-20461088               dsetsf11gTRC
NAUT8002696045201511091353ELED00000100000052362CUS-20461541               dsetsf11gTRC
NAUT8002696045201511091449ELED00000100000085395503CUS-20461614               dsetsf11gTRC
NAUT8003310360201511091314ELED00000100000061114CUS-20461468               DSEESF14JBMT
NAUT8003310360201511091344ELED00000100000038116CUS-20461521               DSEESF14JBMT
NAUT8004018947201511090747ELED00000100000064152816CUS-20460895               dsetsf11aTRC
NAUT8004018947201511091327ELED00000100000023236804CUS-20461488               dsetsf11aTRC
NAUT8004018947201511092006ELED00000100000038581931CUS-20461974               dsetsf11aTRC
NAUT8004368368201511090138ELED00000100000028104980CUS-20460627               DSETDIRTRC
NAUT8004368368201511090638ELED00000100000095322209CUS-20460788               DSETDIRTRC
NAUT8004368368201511090843ELED00000100000097038503CUS-20461009               DSETDIRTRC
NAUT8004368368201511090849ELED00000100000024857304CUS-20461021               DSETDIRTRC
NAUT8004368368201511090908ELED00000100000035565205CUS-20461054               DSETDIRTRC
NAUT8004368368201511090924ELED00000100000094590CUS-20461077               DSETDIRTRC
NAUT8004368368201511091013ELED00000100000060153708CUS-20461188               DSETDIRTRC
NAUT8004368368201511091050ELED00000100000033584813CUS-20461257               SAWOTVTCTRC
NAUT8004368368201511091104ELED00000100000033880CUS-20461286               DSETDIRTRC
