US Short Form Leads
NAUT8002441703201512171702LEAD00000100000094131415CUS-20536020               FOX*NVODJACKDTICBMT
NAUT8002640660201512172234LEAD00000100000092019619CUS-20536453               CMACN60*JACKDTICBMT
NAUT8004202630201512170132LEAD00000100000076655254CUS-20534610               DCADN120HKINGTICTRC
NAUT8004202630201512171310LEAD00000100000019115215CUS-20535638               DCADN120HKINGTICTRC
NAUT8004202690201512170645LEAD00000100000044221330CUS-19814196               TESCN120HKINGTICTRC
NAUT8004202690201512170816LEAD00000100000074033919CUS-20534900               TESCN120HKINGTICTRC
NAUT8004202690201512171142LEAD00000100000052570641CUS-20535421               TESCN120HKINGTICTRC
NAUT8004202690201512172135LEAD00000100000090011951CUS-20536413               TESCN120HKINGTICTRC
NAUT8004202690201512172204LEAD00000100000041095859CUS-20536437               TESCN120HKINGTICTRC
NAUT8004203140201512170647LEAD00000100000076084972CUS-20534735               THISN120HKINGTICTRC
NAUT8004569439201512171126LEAD00000100000029732803CUS-20535359               ESQ*N120JACKDTICBMT
NAUT8004661542201512170802LEAD00000100000039429601CUS-20534806               IFC*N120JACKDTICBMT
NAUT8004661542201512170802LEAD00000100000085339602CUS-20534801               IFC*N120JACKDTICBMT
NAUT8004661542201512170802LEAD00000100000085339602CUS-20534804               IFC*N120JACKDTICBMT
NAUT8004661542201512170832LEAD00000100000072221501CUS-20534946               IFC*N120JACKDTICBMT
NAUT8004661542201512170833LEAD00000100000033410561CUS-20534948               IFC*N120JACKDTICBMT
NAUT8004661542201512171133LEAD00000100000034654727CUS-20535380               IFC*N120JACKDTICBMT
NAUT8004661542201512171133LEAD00000100000040006502CUS-20535386               IFC*N120JACKDTICBMT
NAUT8004661542201512171133LEAD00000100000048099248CUS-20535381               IFC*N120JACKDTICBMT
NAUT8004661542201512171135LEAD00000100000043609419CUS-20535399               IFC*N120JACKDTICBMT
NAUT8004661542201512171135LEAD00000100000067901620CUS-20535403               IFC*N120JACKDTICBMT
NAUT8004661542201512171208LEAD00000100000035051205CUS-20535504               IFC*N120JACKDTICBMT
NAUT8004661542201512171208LEAD00000100000064130816CUS-20535506               IFC*N120JACKDTICBMT
NAUT8004673156201512170033LEAD00000100000014217716CUS-20534593               ION*N120JACKDTICBMT
NAUT8004673156201512170033LEAD00000100000023452757CUS-20534594               ION*N120JACKDTICBMT
NAUT8004673156201512170933LEAD00000100000002360508CUS-20535089               ION*N120JACKDTICBMT
NAUT8004673156201512170934LEAD00000100000046807260CUS-20535090               ION*N120JACKDTICBMT
NAUT8004673156201512170934LEAD00000100000060619708CUS-20535092               ION*N120JACKDTICBMT
NAUT8004673156201512170935LEAD00000100000074136918CUS-20535094               ION*N120JACKDTICBMT
NAUT8004673156201512171016LEAD00000100000078368361CUS-20535178               ION*N120JACKDTICBMT
NAUT8004673156201512171017LEAD00000100000033706863CUS-20535184               ION*N120JACKDTICBMT
NAUT8004673156201512171033LEAD00000100000001108413CUS-20535213               ION*N120JACKDTICBMT
NAUT8004673156201512171033LEAD00000100000030097678CUS-20535216               ION*N120JACKDTICBMT
NAUT8004673156201512171033LEAD00000100000032818407CUS-20535214               ION*N120JACKDTICBMT
NAUT8004673156201512171034LEAD00000100000085201623CUS-20535219               ION*N120JACKDTICBMT
NAUT8004691572201512170932LEAD00000100000030274404CUS-20535086               WNATN120JACKDTICBMT
NAUT8004691572201512170933LEAD00000100000048601989CUS-20535088               WNATN120JACKDTICBMT
NAUT8004691572201512171006LEAD00000100000032506850CUS-20535156               WNATN120JACKDTICBMT
NAUT8004691572201512171132LEAD00000100000002911401CUS-20535379               WNATN120JACKDTICBMT
NAUT8004694581201512171035LEAD00000100000045648808CUS-20535224               RELZN120JACKDTICBMT
NAUT8004694581201512171135LEAD00000100000077664409CUS-20535395               RELZN120JACKDTICBMT
NAUT8004694581201512172034LEAD00000100000077583832CUS-20536346               RELZN120JACKDTICBMT
NAUT8004695614201512171034LEAD00000100000020906301CUS-20535220               JUSTN120JACKDTICBMT
NAUT8004695614201512171034LEAD00000100000097303503CUS-20535222               JUSTN120JACKDTICBMT
NAUT8004695944201512171933LEAD00000100000038108901CUS-20536251               GRITN120JACKDTICBMT
NAUT8004712485201512171706LEAD00000100000029640864CUS-20536035               PUREN180JACKDTICBMT
NAUT8004712485201512171806LEAD00000100000029640864CUS-20536132               PUREN180JACKDTICBMT
NAUT8004715395201512171218LEAD00000100000094566510CUS-20535520               VEL*N180JACKDTICBMT
NAUT8004715546201512171026LEAD00000100000036541251CUS-20535198               HIS2N180JACKDTICBMT
NAUT8004715546201512171033LEAD00000100000078620512CUS-20535212               HIS2N180JACKDTICBMT
NAUT8004715546201512171136LEAD00000100000059901406CUS-20535401               HIS2N180JACKDTICBMT
NAUT8004715546201512171139LEAD00000100000043837CUS-20535405               HIS2N180JACKDTICBMT
NAUT8004716104201512171735LEAD00000100000085541928CUS-20475105               OWN*N180JACKDTICBMT
NAUT8005106032201512170700LEAD00000100000032351850CUS-20534755               INSPN120HKINGTICTRC
NAUT8005106032201512170702LEAD00000100000015108412CUS-20534762               INSPN120HKINGTICTRC
NAUT8005106032201512170703LEAD00000100000035555205CUS-20534760               INSPN120HKINGTICTRC
NAUT8005106032201512170704LEAD00000100000029841803CUS-20270323               INSPN120HKINGTICTRC
NAUT8005106032201512170705LEAD00000100000023887804CUS-20534765               INSPN120HKINGTICTRC
NAUT8005106032201512170709LEAD00000100000002143617CUS-20534766               INSPN120HKINGTICTRC
NAUT8005106032201512170710LEAD00000100000067219918CUS-20534756               INSPN120HKINGTICTRC
NAUT8005106032201512170756LEAD00000100000035504205CUS-20534792               INSPN120HKINGTICTRC
NAUT8005106032201512170833LEAD00000100000032757352CUS-20534949               INSPN120HKINGTICTRC
NAUT8005106032201512170855LEAD00000100000052750563CUS-20534994               INSPN120HKINGTICTRC
