US Short Form Leads
NAUT8002436610201407210940LEAD00000100000090044323CUS-19612950               EREYN120BFMAXTICBMT
NAUT8003451620201407210642LEAD00000100000014059716CUS-19612639               ION*N120BOOMRTICTRC
NAUT8003451620201407211635LEAD00000100000098275425CUS-19613756               ION*N120BOOMRTICTRC
NAUT8003667015201407210857LEAD00000100000028356910CUS-19612873               VEL*N180BFMAXTICBMT
NAUT8003667015201407211223LEAD00000100000085614520CUS-19612949               VEL*N180BFMAXTICBMT
NAUT8003667015201407211442LEAD00000100000006473203CUS-19613517               VEL*N180BFMAXTICBMT
NAUT8003667015201407211443LEAD00000100000012061518CUS-19613521               VEL*N180BFMAXTICBMT
NAUT8003667015201407211456LEAD00000100000068933402CUS-19613540               VEL*N180BFMAXTICBMT
NAUT8003667015201407211700LEAD00000100000089110702CUS-19613811               VEL*N180BFMAXTICBMT
NAUT8004260845201407211614LEAD00000100000049442231CUS-19613710               UPTVN120BOOMRTICTRC
NAUT8004272727201407211237LEAD00000100000031323912CUS-19613317               METVN120GRT2HTICTRC
NAUT8004272727201407211237LEAD00000100000060621773CUS-19613316               METVN120GRT2HTICTRC
NAUT8004272727201407211239LEAD00000100000068847308CUS-19613320               METVN120GRT2HTICTRC
NAUT8004272727201407211240LEAD00000100000015003724CUS-19613322               METVN120GRT2HTICTRC
NAUT8004272727201407211250LEAD00000100000078537956CUS-19613342               METVN120GRT2HTICTRC
NAUT8004272727201407211251LEAD00000100000028463910CUS-19613345               METVN120GRT2HTICTRC
NAUT8004272727201407211312LEAD00000100000033462561CUS-19613385               METVN120GRT2HTICTRC
NAUT8004272727201407211354LEAD00000100000045005513CUS-19613458               METVN120GRT2HTICTRC
NAUT8004272727201407211535LEAD00000100000091752951CUS-19538906               METVN120GRT2HTICTRC
NAUT8004272727201407211537LEAD00000100000089015702CUS-19613632               METVN120GRT2HTICTRC
NAUT8004272727201407211537LEAD00000100000093268661CUS-19613631               METVN120GRT2HTICTRC
NAUT8004272727201407211537LEAD00000100000094605831CUS-19613629               METVN120GRT2HTICTRC
NAUT8004272727201407211539LEAD00000100000090044601CUS-19613637               METVN120GRT2HTICTRC
NAUT8004272727201407212252LEAD00000100000048910517CUS-19614495               METVN120GRT2HTICTRC
NAUT8004272727201407212253LEAD00000100000032117386CUS-19614496               METVN120GRT2HTICTRC
NAUT8004272727201407212253LEAD00000100000032257904CUS-19614497               METVN120GRT2HTICTRC
NAUT8004272727201407212254LEAD00000100000028675336CUS-19614498               METVN120GRT2HTICTRC
NAUT8004272727201407212254LEAD00000100000045237513CUS-19614499               METVN120GRT2HTICTRC
NAUT8004272727201407212349LEAD00000100000043609419CUS-19614577               METVN120GRT2HTICTRC
NAUT8004301903201407210454LEAD00000100000044260330CUS-19612590               ESQ*N120BFMAXTICBMT
NAUT8004301903201407211152LEAD00000100000035071205CUS-19613211               ESQ*N120BFMAXTICBMT
NAUT8004301903201407211152LEAD00000100000092377909CUS-19613214               ESQ*N120BFMAXTICBMT
NAUT8004365409201407210817LEAD00000100000036535251CUS-19612796               ZUUSN180GRT2HTICTRC
NAUT8004367224201407210714LEAD00000100000020032202CUS-19612671               BLMDN60*JNY2HTICSHW
NAUT8004367224201407210714LEAD00000100000020032202CUS-19612671               BLMDN60*JNY2HTICTRC
NAUT8004375781201407211333LEAD00000100000048507810CUS-19613423               HALMN120GRT2HTICTRC
NAUT8004375781201407211334LEAD00000100000008087772CUS-19613427               HALMN120GRT2HTICTRC
NAUT8004375781201407211334LEAD00000100000077429713CUS-19613426               HALMN120GRT2HTICTRC
NAUT8004375781201407211344LEAD00000100000017403717CUS-19613440               HALMN120GRT2HTICTRC
NAUT8004375781201407212349LEAD00000100000088004575CUS-19614575               HALMN120GRT2HTICTRC
NAUT8004399230201407211050LEAD00000100000030165706CUS-19613104               INSPN120GRT2HTICTRC
NAUT8004399230201407211051LEAD00000100000076710254CUS-19613105               INSPN120GRT2HTICTRC
