US Electronic Short Form Leads
NAUT8002035538201601021431ELED00000100000033809813CUS-20593580               DSETSF15ATRC
NAUT8002439827201601020000ELED00000100000090005323CUS-20590118               dseesf14aBMT
NAUT8002439827201601020000ELED00000100000092807714CUS-20590121               dseesf14aBMT
NAUT8002439827201601020000ELED00000100000099208509CUS-20590123               dseesf14aBMT
NAUT8002439827201601020001ELED00000100000098034678CUS-20590126               dseesf14aBMT
NAUT8002439827201601020002ELED00000100000095307626CUS-20590127               dseesf14aBMT
NAUT8002439827201601020002ELED00000100000096707808CUS-20590129               dseesf14aBMT
NAUT8002439827201601020003ELED00000100000083854208CUS-20590138               dseesf14aBMT
NAUT8002439827201601020003ELED00000100000096002530CUS-20590136               dseesf14aBMT
NAUT8002439827201601020004ELED00000100000095834310CUS-20590141               dseesf14aBMT
NAUT8002439827201601020005ELED00000100000097034503CUS-20590149               dseesf14aBMT
NAUT8002439827201601020006ELED00000100000096815808CUS-20590152               dseesf14aBMT
NAUT8002439827201601020310ELED00000100000097202503CUS-20590316               dseesf14aBMT
NAUT8002439827201601020327ELED00000100000097202CUS-20590329               dseesf14aBMT
NAUT8002439827201601020422ELED00000100000022827540CUS-20590366               dseesf14aBMT
NAUT8002439827201601020710ELED00000100000022041703CUS-20590655               dseesf14aBMT
NAUT8002439827201601020713ELED00000100000008854201CUS-20590679               dseesf14aBMT
NAUT8002439827201601020720ELED00000100000072751479CUS-20590711               dseesf14aBMT
NAUT8002439827201601020721ELED00000100000008004856CUS-20590717               dseesf14aBMT
NAUT8002439827201601020721ELED00000100000048131734CUS-20590714               dseesf14aBMT
NAUT8002439827201601020721ELED00000100000082327307CUS-20590716               dseesf14aBMT
NAUT8002439827201601020722ELED00000100000073099405CUS-20590719               dseesf14aBMT
NAUT8002439827201601020723ELED00000100000015044412CUS-20590721               dseesf14aBMT
NAUT8002439827201601020807ELED00000100000028278561CUS-20590797               dseesf14aBMT
NAUT8002439827201601020807ELED00000100000030141810CUS-20590803               dseesf14aBMT
NAUT8002439827201601020808ELED00000100000030528770CUS-20590817               dseesf14aBMT
NAUT8002439827201601020808ELED00000100000043614419CUS-20590810               dseesf14aBMT
NAUT8002439827201601020808ELED00000100000063347636CUS-20590822               dseesf14aBMT
NAUT8002439827201601020808ELED00000100000095386925CUS-20590814               dseesf14aBMT
NAUT8002439827201601020809ELED00000100000001104CUS-20590828               dseesf14aBMT
NAUT8002439827201601020809ELED00000100000032068904CUS-20590830               dseesf14aBMT
NAUT8002439827201601020809ELED00000100000048131CUS-20590833               dseesf14aBMT
NAUT8002439827201601020810ELED00000100000043420419CUS-20590842               dseesf14aBMT
NAUT8002439827201601020810ELED00000100000044707330CUS-20590839               dseesf14aBMT
NAUT8002439827201601020811ELED00000100000043614419CUS-20590866               dseesf14aBMT
NAUT8002439827201601020811ELED00000100000062650217CUS-20590863               dseesf14aBMT
NAUT8002439827201601020811ELED00000100000072751CUS-20590854               dseesf14aBMT
NAUT8002439827201601020812ELED00000100000067871620CUS-20590867               dseesf14aBMT
NAUT8002439827201601020813ELED00000100000030228404CUS-20590893               dseesf14aBMT
NAUT8002439827201601020814ELED00000100000030680CUS-20590911               dseesf14aBMT
NAUT8002439827201601020814ELED00000100000033067954CUS-20590903               dseesf14aBMT
NAUT8002439827201601020814ELED00000100000044122216CUS-20590896               dseesf14aBMT
NAUT8002439827201601020816ELED00000100000002368617CUS-20590939               dseesf14aBMT
NAUT8002439827201601020816ELED00000100000048180734CUS-20590946               dseesf14aBMT
NAUT8002439827201601020817ELED00000100000006051860CUS-20590950               dseesf14aBMT
NAUT8002439827201601020817ELED00000100000048114517CUS-20590960               dseesf14aBMT
NAUT8002439827201601020818ELED00000100000002893858CUS-20590971               dseesf14aBMT
NAUT8002439827201601020818ELED00000100000030045678CUS-20590964               dseesf14aBMT
NAUT8002439827201601020818ELED00000100000063028636CUS-20590968               dseesf14aBMT
NAUT8002439827201601020819ELED00000100000027292843CUS-20590984               dseesf14aBMT
NAUT8002439827201601020819ELED00000100000037920386CUS-20590980               dseesf14aBMT
NAUT8002439827201601020819ELED00000100000060172630CUS-20590976               dseesf14aBMT
NAUT8002439827201601020820ELED00000100000021769240CUS-20590997               dseesf14aBMT
NAUT8002439827201601020820ELED00000100000030525706CUS-20590993               dseesf14aBMT
NAUT8002439827201601020820ELED00000100000079764432CUS-20590988               dseesf14aBMT
NAUT8002439827201601020821ELED00000100000006907CUS-20591001               dseesf14aBMT
NAUT8002439827201601020821ELED00000100000029640864CUS-20591008               dseesf14aBMT
NAUT8002439827201601020821ELED00000100000062208618CUS-20591004               dseesf14aBMT
NAUT8002439827201601020822ELED00000100000042633606CUS-20591014               dseesf14aBMT
NAUT8002439827201601020823ELED00000100000015672724CUS-20591024               dseesf14aBMT
NAUT8002439827201601020823ELED00000100000025702304CUS-20591030               dseesf14aBMT
NAUT8002439827201601020823ELED00000100000037122865CUS-20591028               dseesf14aBMT
NAUT8002439827201601020824ELED00000100000013316315CUS-20591042               dseesf14aBMT
NAUT8002439827201601020824ELED00000100000019606484CUS-20591039               dseesf14aBMT
NAUT8002439827201601020824ELED00000100000037087615CUS-20591035               dseesf14aBMT
NAUT8002439827201601020825ELED00000100000014028716CUS-20591052               dseesf14aBMT
NAUT8002439827201601020826ELED00000100000074960918CUS-20591061               dseesf14aBMT
NAUT8002439827201601020827ELED00000100000014606585CUS-20591069               dseesf14aBMT
NAUT8002439827201601020827ELED00000100000031023478CUS-20591071               dseesf14aBMT
NAUT8002439827201601020831ELED00000100000019610484CUS-20591117               dseesf14aBMT
NAUT8002439827201601020834ELED00000100000019335484CUS-20591153               dseesf14aBMT
NAUT8002439827201601020838ELED00000100000050211515CUS-20591208               dseesf14aBMT
NAUT8002439827201601020841ELED00000100000075007972CUS-20591238               dseesf14aBMT
NAUT8002439827201601020843ELED00000100000023112804CUS-20591266               dseesf14aBMT
NAUT8002439827201601020846ELED00000100000021136410CUS-20591285               dseesf14aBMT
NAUT8002439827201601020846ELED00000100000032703407CUS-20591287               dseesf14aBMT
NAUT8002439827201601020846ELED00000100000035801256CUS-20591291               dseesf14aBMT
NAUT8002439827201601020847ELED00000100000033040816CUS-20591297               dseesf14aBMT
NAUT8002439827201601020847ELED00000100000033186786CUS-20591300               dseesf14aBMT
NAUT8002439827201601020859ELED00000100000007201908CUS-20591411               dseesf14aBMT
NAUT8002439827201601020859ELED00000100000027530919CUS-20591422               dseesf14aBMT
NAUT8002439827201601020922ELED00000100000017067717CUS-20591569               dseesf14aBMT
NAUT8002439827201601020922ELED00000100000019465610CUS-20591571               dseesf14aBMT
NAUT8002439827201601020923ELED00000100000015301724CUS-20591583               dseesf14aBMT
NAUT8002439827201601020924ELED00000100000019803302CUS-20591601               dseesf14aBMT
NAUT8002439827201601020927ELED00000100000032937CUS-20591625               dseesf14aBMT
NAUT8002439827201601020949ELED00000100000054007715CUS-20591730               dseesf14aBMT
NAUT8002439827201601020949ELED00000100000077518346CUS-20591732               dseesf14aBMT
NAUT8002439827201601020949ELED00000100000083714208CUS-20591728               dseesf14aBMT
NAUT8002439827201601020950ELED00000100000027288336CUS-20591738               dseesf14aBMT
NAUT8002439827201601020950ELED00000100000033952941CUS-20591739               dseesf14aBMT
NAUT8002439827201601020950ELED00000100000044035440CUS-20591734               dseesf14aBMT
NAUT8002439827201601021014ELED00000100000098226CUS-20591826               dseesf14aBMT
NAUT8002439827201601021024ELED00000100000028374910CUS-20591911               dseesf14aBMT
NAUT8002439827201601021038ELED00000100000021061443CUS-20591991               dseesf14aBMT
NAUT8002439827201601021038ELED00000100000033952CUS-20591990               dseesf14aBMT
NAUT8002439827201601021038ELED00000100000078240940CUS-20591989               dseesf14aBMT
NAUT8002439827201601021038ELED00000100000084107253CUS-20591994               dseesf14aBMT
NAUT8002439827201601021040ELED00000100000043123614CUS-20592008               dseesf14aBMT
NAUT8002439827201601021040ELED00000100000060074847CUS-20592015               dseesf14aBMT
NAUT8002439827201601021040ELED00000100000066053970CUS-20592012               dseesf14aBMT
NAUT8002439827201601021040ELED00000100000094513925CUS-20592005               dseesf14aBMT
NAUT8002439827201601021041ELED00000100000090703714CUS-20592022               dseesf14aBMT
NAUT8002439827201601021041ELED00000100000098226360CUS-20592017               dseesf14aBMT
NAUT8002439827201601021043ELED00000100000097123503CUS-20592038               dseesf14aBMT
NAUT8002439827201601021047ELED00000100000029044803CUS-20592059               dseesf14aBMT
NAUT8002439827201601021047ELED00000100000085755520CUS-20592064               dseesf14aBMT
NAUT8002439827201601021051ELED00000100000089166414CUS-20592088               dseesf14aBMT
NAUT8002439827201601021052ELED00000100000019808302CUS-20592091               dseesf14aBMT
NAUT8002439827201601021058ELED00000100000078621860CUS-20592114               dseesf14aBMT
NAUT8002439827201601021111ELED00000100000055060507CUS-20592169               SAWDSEESF14ABMT
