US Short Form Leads
NAUT8002427406201602250623LEAD00000100000027028336CUS-20725515               WNATN120J14FSTICBMT
NAUT8002433902201602250214LEAD00000100000028462910CUS-20725435               DESTN5MNHAMFSTICBMT
NAUT8002437091201602251748LEAD00000100000043543419CUS-20726454               ION*N120J14FSTICBMT
NAUT8002665079201602250722LEAD00000100000049548616CUS-20725595               JUSTN120J14FSTICBMT
NAUT8002665079201602250832LEAD00000100000098055206CUS-20725702               JUSTN120J14FSTICBMT
NAUT8002665079201602251036LEAD00000100000063115314CUS-20725869               JUSTN120J14FSTICBMT
NAUT8002665079201602251038LEAD00000100000076022817CUS-20725873               JUSTN120J14FSTICBMT
NAUT8002665079201602251054LEAD00000100000014094716CUS-20725896               JUSTN120J14FSTICBMT
NAUT8002665079201602251054LEAD00000100000014094716CUS-20725896               JUSTN120J14FSTICTRC
NAUT8002665079201602252140LEAD00000100000014047716CUS-20726632               JUSTN120J14FSTICBMT
NAUT8002700904201602250846LEAD00000100000023061804CUS-20725725               GRITN120J14FSTICBMT
NAUT8002700904201602250847LEAD00000100000014305716CUS-20725727               GRITN120J14FSTICBMT
NAUT8002700904201602251052LEAD00000100000037330615CUS-20725897               GRITN120J14FSTICBMT
NAUT8002700904201602251631LEAD00000100000012304518CUS-16018386               GRITN120J14FSTICBMT
NAUT8002700904201602251632LEAD00000100000031405912CUS-20726355               GRITN120J14FSTICBMT
NAUT8002700904201602251632LEAD00000100000050702319CUS-12610692               GRITN120J14FSTICBMT
NAUT8002700904201602251632LEAD00000100000055111651CUS-20726356               GRITN120J14FSTICBMT
NAUT8002700904201602251734LEAD00000100000091405818CUS-20726432               GRITN120J14FSTICBMT
NAUT8002700904201602251735LEAD00000100000095660916CUS-4724341               GRITN120J14FSTICBMT
NAUT8002700904201602251738LEAD00000100000048602989CUS-20726435               GRITN120J14FSTICBMT
NAUT8002700904201602251905LEAD00000100000085128480CUS-20726537               GRITN120J14FSTICBMT
NAUT8002700904201602252339LEAD00000100000038016901CUS-20726683               GRITN120J14FSTICBMT
NAUT8002700904201602252339LEAD00000100000077017713CUS-20726682               GRITN120J14FSTICBMT
NAUT8003047582201602251536LEAD00000100000092596951CUS-20726287               MX11P60*J14FSTICBMT
NAUT8003047582201602252335LEAD00000100000048910517CUS-20726675               MX11P60*J14FSTICBMT
NAUT8003047592201602251335LEAD00000100000001151413CUS-20726134               MX12P60*J14FSTICBMT
NAUT8003100018201602251833LEAD00000100000090504310CUS-15900964               OWN*N180JNYNYTICTRC
NAUT8003518887201602251441LEAD00000100000063362314CUS-20726212               PIVTN180JACFSTICBMT
NAUT8003518887201602251819LEAD00000100000031558386CUS-20726489               PIVTN180JACFSTICBMT
NAUT8003582499201602250910LEAD00000100000033578813CUS-20725767               SUNDN180JACFSTICBMT
NAUT8003582499201602251031LEAD00000100000078520956CUS-20725862               SUNDN180JACFSTICBMT
NAUT8004363960201602250646LEAD00000100000033315336CUS-20725555               CSISN120J14FSTICBMT
NAUT8004416790201602250646LEAD00000100000029203803CUS-20725558               LMN*N60*HKINGTICTRC
NAUT8004416790201602250807LEAD00000100000040508859CUS-20725623               LMN*N60*HKINGTICTRC
NAUT8004416790201602250822LEAD00000100000012309518CUS-20725685               LMN*N60*HKINGTICTRC
NAUT8004416790201602251105LEAD00000100000076549254CUS-20725913               LMN*N60*HKINGTICTRC
NAUT8004419320201602250700LEAD00000100000048601989CUS-20725586               DLFEN180HKINGTICTRC
NAUT8004419320201602251414LEAD00000100000056331320CUS-20726179               DLFEN180HKINGTICTRC
NAUT8004419320201602251736LEAD00000100000059270406CUS-20726434               DLFEN180HKINGTICTRC
NAUT8004419320201602251740LEAD00000100000034667727CUS-20726437               DLFEN180HKINGTICTRC
NAUT8004419320201602251744LEAD00000100000075204214CUS-20726436               DLFEN180HKINGTICTRC
NAUT8004419320201602251748LEAD00000100000029209910CUS-20726455               DLFEN180HKINGTICTRC
NAUT8004563921201602250627LEAD00000100000037412423CUS-4528510               PALLN5MNHAMFSTICBMT
NAUT8004792965201602250841LEAD00000100000030013704CUS-701772               IFC*N120J14FSTICBMT
NAUT8004792965201602251153LEAD00000100000070123504CUS-20725973               IFC*N120J14FSTICBMT
NAUT8004792965201602251335LEAD00000100000012306518CUS-20726133               IFC*N120J14FSTICBMT
NAUT8005069231201602250757LEAD00000100000048234313CUS-20725609               SUNDN120J14FSTICBMT
NAUT8005069231201602251138LEAD00000100000049079269CUS-20725947               SUNDN120J14FSTICBMT
NAUT8005069231201602251140LEAD00000100000085015480CUS-20725949               SUNDN120J14FSTICBMT
NAUT8005069232201602250754LEAD00000100000008535732CUS-20725604               VEL*N120J14FSTICBMT
NAUT8005069232201602250804LEAD00000100000008535732CUS-20725604               VEL*N120J14FSTICTRC
NAUT8005069232201602251246LEAD00000100000090621714CUS-20725809               VEL*N120J14FSTICBMT
NAUT8005098626201602251400LEAD00000100000033890863CUS-20726174               SPKEN120J14FSTICBMT
NAUT8005106032201602250637LEAD00000100000037363CUS-20725534               INSPN120HKINGTICTRC
NAUT8005106032201602250638LEAD00000100000010305718CUS-20725536               INSPN120HKINGTICTRC
NAUT8005106032201602250639LEAD00000100000031550912CUS-20725538               INSPN120HKINGTICTRC
NAUT8005106032201602250640LEAD00000100000075216214CUS-20725540               INSPN120HKINGTICTRC
NAUT8005106032201602250641LEAD00000100000039362601CUS-20725537               INSPN120HKINGTICTRC
NAUT8005106032201602250641LEAD00000100000061554309CUS-20725535               INSPN120HKINGTICTRC
NAUT8005106032201602250658LEAD00000100000018801570CUS-20725581               INSPN120HKINGTICTRC
NAUT8005106032201602250920LEAD00000100000036617251CUS-20725777               INSPN120HKINGTICTRC
NAUT8005106032201602250942LEAD00000100000035572205CUS-20725805               INSPN120HKINGTICTRC
NAUT8005106032201602251139LEAD00000100000002302508CUS-20714424               INSPN120HKINGTICTRC
NAUT8005136457201602250628LEAD00000100000075180469CUS-20725527               HERON5MNHAMFSTICBMT
NAUT8005136457201602250630LEAD00000100000053072414CUS-20725531               HERON5MNHAMFSTICBMT
NAUT8005136457201602250631LEAD00000100000046158317CUS-20725533               HERON5MNHAMFSTICBMT
NAUT8005136457201602250648LEAD00000100000028326813CUS-20725539               HERON5MNHAMFSTICBMT
NAUT8005136457201602250830LEAD00000100000095209209CUS-4563790               HERON5MNHAMFSTICBMT
NAUT8005136457201602250833LEAD00000100000015301724CUS-20725706               HERON5MNHAMFSTICBMT
NAUT8005136457201602250835LEAD00000100000032118386CUS-20725709               HERON5MNHAMFSTICBMT
NAUT8005136457201602250835LEAD00000100000054703715CUS-20725710               HERON5MNHAMFSTICBMT
NAUT8005136457201602250845LEAD00000100000001440774CUS-20725723               HERON5MNHAMFSTICBMT
NAUT8005136457201602251143LEAD00000100000078043956CUS-20725954               HERON5MNHAMFSTICBMT
NAUT8005136457201602251144LEAD00000100000010458718CUS-852427               HERON5MNHAMFSTICBMT
NAUT8005136457201602251145LEAD00000100000068046402CUS-20725959               HERON5MNHAMFSTICBMT
NAUT8005136457201602251146LEAD00000100000028150828CUS-20725961               HERON5MNHAMFSTICBMT
NAUT8005136457201602251146LEAD00000100000031018478CUS-20725955               HERON5MNHAMFSTICBMT
NAUT8005136457201602251147LEAD00000100000067058620CUS-20725964               HERON5MNHAMFSTICBMT
NAUT8005259671201602251327LEAD00000100000043050740CUS-20726110               METVN120HKINGTICTRC
NAUT8005259671201602251328LEAD00000100000037917865CUS-20726113               METVN120HKINGTICTRC
NAUT8005259671201602251329LEAD00000100000026726304CUS-20726116               METVN120HKINGTICTRC
NAUT8005259671201602251330LEAD00000100000027107336CUS-20726120               METVN120HKINGTICTRC
NAUT8005259671201602251332LEAD00000100000060056847CUS-20726117               METVN120HKINGTICTRC
NAUT8005259671201602251340LEAD00000100000019530610CUS-20726140               METVN120HKINGTICTRC
NAUT8005431397201602250654LEAD00000100000017601717CUS-20725575               ODORN120J14FSTICBMT
NAUT8005431397201602250654LEAD00000100000017601717CUS-20725575               ODORN120J14FSTICTRC
NAUT8005431397201602251327LEAD00000100000019056609CUS-20726108               ODORN120J14FSTICBMT
NAUT8005431397201602251958LEAD00000100000076645254CUS-20726533               ODORN120J14FSTICBMT
NAUT8005446035201602250700LEAD00000100000017603717CUS-20725584               VEL*N180JACFSTICBMT
NAUT8005446035201602251225LEAD00000100000016148216CUS-5750338               VEL*N180JACFSTICBMT
NAUT8005446035201602251232LEAD00000100000002642508CUS-20726034               VEL*N180JACFSTICBMT
NAUT8005446717201602251233LEAD00000100000014456315CUS-9186941               EREYN120J14FSTICBMT
NAUT8005446717201602251927LEAD00000100000039480601CUS-20726548               EREYN120J14FSTICBMT
NAUT8005461904201602251355LEAD00000100000047940CUS-20726164               GET*N120HKINGTICTRC
NAUT8005923486201602251308LEAD00000100000048301734CUS-20726081               DTVSN60*J14FSTICBMT
NAUT8006484992201602250942LEAD00000100000093611559CUS-20725804               DTVIN60*J14FSTICBMT
NAUT8006516583201602250923LEAD00000100000021826443CUS-20725781               DISNN60*J14FSTICBMT
NAUT8006516583201602251343LEAD00000100000093210559CUS-20726142               DISNN60*J14FSTICBMT
NAUT8006516583201602251502LEAD00000100000058103609CUS-20726246               DISNN60*J14FSTICBMT
NAUT8006516583201602251504LEAD00000100000011207347CUS-20726247               DISNN60*J14FSTICBMT
NAUT8007145379201602251531LEAD00000100000076014817CUS-19686614               CI**N5MNHAMFSTICBMT
NAUT8007173460201602251023LEAD00000100000017866570CUS-20725854               INSPN180HKINGTICTRC
NAUT8007173460201602251227LEAD00000100000025529304CUS-20726020               INSPN180HKINGTICTRC
NAUT8007300620201602251338LEAD00000100000084043801CUS-20724529               SUNDN120JACKDTICBMT
NAUT8008719981201602251049LEAD00000100000092345760CUS-20725886               HGTVN60*JACKDTICBMT
NAUT8008992363201602250621LEAD00000100000019067CUS-20725511               HMM*N120HKINGTICTRC
NAUT8008992363201602250623LEAD00000100000037814423CUS-20628121               HMM*N120HKINGTICTRC
NAUT8008992363201602250624LEAD00000100000046767260CUS-20725517               HMM*N120HKINGTICTRC
NAUT8008992363201602250625LEAD00000100000079109806CUS-20725519               HMM*N120HKINGTICTRC
NAUT8008992363201602250628LEAD00000100000029824803CUS-20725523               HMM*N120HKINGTICTRC
NAUT8008992363201602251239LEAD00000100000088401575CUS-20726041               HMM*N120HKINGTICTRC
NAUT8009213028201602250810LEAD00000100000061327CUS-20725637               M617P60*NOTSTTICBMT
NAUT8009213028201602252336LEAD00000100000061938217CUS-20726678               M617P60*NOTSTTICBMT
NAUT8009213028201602252340LEAD00000100000021213410CUS-20726684               M617P60*NOTSTTICBMT
NAUT8009213028201602252342LEAD00000100000043608419CUS-11810555               M617P60*NOTSTTICBMT
NAUT8009272229201602250722LEAD00000100000028150704CUS-19987786               ION*N120HKINGTICTRC
NAUT8009272229201602250725LEAD00000100000020784202CUS-20725597               ION*N120HKINGTICTRC
NAUT8009272229201602250725LEAD00000100000027406336CUS-20725596               ION*N120HKINGTICTRC
NAUT8009272229201602250933LEAD00000100000080010720CUS-20725790               ION*N120HKINGTICTRC
NAUT8009272229201602251021LEAD00000100000044129440CUS-20725850               ION*N120HKINGTICTRC
NAUT8009272229201602251027LEAD00000100000090019323CUS-20725857               ION*N120HKINGTICTRC
