CA Electronic Short Form Leads
NAUT8006149233201412031402ELED000001000000P6B 1705CUS-19853601               icastsf12bTRC
NAUT8006516382201412030246ELED000001000000J0M 1819CUS-19852160               ICASESF14ABMT
NAUT8006516382201412030807ELED000001000000L1W 1416CUS-19852532               ICASESF14ABMT
NAUT8006516382201412030918ELED000001000000K2J 4613CUS-19852744               ICASESF14ABMT
NAUT8006516382201412031004ELED000001000000L1N 9905CUS-19852899               ICASESF14ABMT
NAUT8006516382201412031134ELED000001000000T5S 1780CUS-19853132               ICASESF14ABMT
NAUT8006516382201412031142ELED000001000000R3Y 1204CUS-19853171               ICASESF14ABMT
NAUT8006516382201412031319ELED000001000000S4V 3306CUS-19853500               ICASESF14ABMT
NAUT8006516382201412031333ELED000001000000L5G 4905CUS-19853528               ICASESF14ABMT
NAUT8006516382201412031334ELED000001000000L5G 4905CUS-19853528               ICASESF14ATRC
NAUT8006516382201412031407ELED000001000000R2M 1204CUS-19853619               ICASESF14ABMT
NAUT8006516382201412031434ELED000001000000N6G 5519CUS-19853695               ICASESF14ABMT
NAUT8006516382201412031454ELED000001000000E8E 1506CUS-19853769               ICASESF14ABMT
NAUT8006516382201412031537ELED000001000000S0J 1306CUS-19853911               ICASESF14ABMT
NAUT8006516382201412031537ELED000001000000S0K 1306CUS-19608589               ICASESF14ABMT
NAUT8006516382201412031625ELED000001000000N4K 5519CUS-19854077               ICASESF14ABMT
NAUT8006516382201412031647ELED000001000000M3C 0647CUS-19854141               ICASESF14ABMT
NAUT8006516382201412031753ELED000001000000P1B 7705CUS-19854315               ICASESF14ABMT
NAUT8006516382201412031805ELED000001000000N5R 3519CUS-19854335               ICASESF14ABMT
NAUT8006516382201412032016ELED000001000000N0J 1519CUS-19854651               ICASESF14ABMT
NAUT8006516382201412032035ELED000001000000V5K 2604CUS-19854704               ICASESF14ABMT
NAUT8006516382201412032158ELED000001000000A5A 4709CUS-19854873               ICASESF14ABMT
NAUT8006566629201412030445ELED000001000000S0G 1306CUS-19852244               icastsf12aTRC
NAUT8006566629201412030846ELED000001000000J3Y 1514CUS-19852623               icastsf12aTRC
NAUT8006566629201412030858ELED000001000000K7H 3613CUS-19852670               icastsf12aTRC
NAUT8006566629201412030939ELED000001000000B3M 4902CUS-19852826               icastsf12aTRC
NAUT8006566629201412030939ELED000001000000P7C 2807CUS-19852825               icastsf12aTRC
NAUT8009526812201412030030ELED000001000000T0J 3403CUS-19852058               icastsf09buytcTRC
NAUT8009526812201412031052ELED000001000000B2H 5902CUS-19853030               icastsf09buytcTRC
NAUT8009526812201412031052ELED000001000000B2Y 4902CUS-19853028               icastsf09buytcTRC
NAUT8009526812201412031402ELED000001000000L6Y 3905CUS-19853598               icastsf09buytcTRC
NAUT8009526812201412031402ELED000001000000N0B 1519CUS-19853597               icastsf09buytcTRC
NAUT8009526812201412031429ELED000001000000L4K 3416CUS-19853673               icastsf09buytcTRC
NAUT8009526812201412031440ELED000001000000N2Z 0519CUS-19853714               icastsf09buytcTRC
NAUT8009526812201412031529ELED000001000000K1C 6613CUS-19853878               icastsf09buytcTRC
NAUT8009526812201412031621ELED000001000000V2R 2604CUS-19854063               icastsf09buytcTRC
NAUT8009526812201412031627ELED000001000000S0K 4306CUS-19854085               icastsf09buytcTRC
NAUT8009526812201412031702ELED000001000000N0G 2519CUS-19854174               icastsf09buytcTRC
NAUT8009526812201412031703ELED000001000000L1S 5416CUS-19854175               icastsf09buytcTRC
NAUT8009526812201412031703ELED000001000000V3S 5604CUS-19854177               icastsf09buytcTRC
NAUT8009526812201412031751ELED000001000000P7E 2807CUS-19854302               icastsf09buytcTRC
NAUT8009526812201412031752ELED000001000000B0W 2902CUS-19854307               icastsf09buytcTRC
NAUT8009526812201412031752ELED000001000000H1Z 2514CUS-19854303               icastsf09buytcTRC
NAUT8009526812201412031918ELED000001000000N0R 1510CUS-19854509               icastsf09buytcTRC
NAUT8009526812201412031932ELED000001000000P0L 1705CUS-19854547               icastsf09buytcTRC
NAUT8009526812201412032020ELED000001000000V0J 1250CUS-19854666               icastsf09buytcTRC
NAUT8009526812201412032037ELED000001000000T2V 0403CUS-19854707               icastsf09buytcTRC
NAUT8009526812201412032049ELED000001000000N2K 2226CUS-19854728               icastsf09buytcTRC
NAUT8009526812201412032053ELED000001000000R0M 2204CUS-19854742               icastsf09buytcTRC
NAUT8009526812201412032101ELED000001000000R0G 0204CUS-19854751               icastsf09buytcTRC
NAUT8009526812201412032124ELED000001000000V8N 2250CUS-19854797               icastsf09buytcTRC
NAUT8009526812201412032203ELED000001000000N0L 1519CUS-19854880               icastsf09buytcTRC
NAUT8009526812201412032203ELED000001000000T1P 1403CUS-19854881               icastsf09buytcTRC
NAUT8009526812201412032247ELED000001000000V0R 2250CUS-19854949               icastsf09buytcTRC
NAUT8009526812201412032330ELED000001000000T0J 3403CUS-19855002               icastsf09buytcTRC
