CA Electronic Short Form Leads
NAUT8006566629201507181851ELED000001000000L0L 1905CUS-20305335               icastsf12aTRC
NAUT8007781519201507180631ELED000001000000S7S 1306CUS-20304363               ICASTSF15BTRC
NAUT8007781519201507180948ELED000001000000L4G 6416CUS-20304635               ICASTSF15BTRC
NAUT8007781519201507180949ELED000001000000N3C 3519CUS-20304637               ICASTSF15BTRC
NAUT8007781519201507181221ELED000001000000L9W 3519CUS-20304885               ICASTSF15BTRC
NAUT8007781519201507181231ELED000001000000E2K 1506CUS-20304900               ICASTSF15BTRC
NAUT8007781519201507181301ELED000001000000L6X 2647CUS-20304946               ICASTSF15BTRC
NAUT8007781519201507181306ELED000001000000N3H 1519CUS-20304958               ICASTSF15BTRC
NAUT8007781519201507181328ELED000001000000R2M 3204CUS-20304978               ICASTSF15BTRC
NAUT8007781519201507181352ELED000001000000T1H 4403CUS-20305011               ICASTSF15BTRC
NAUT8007781519201507181353ELED000001000000B0T 1902CUS-20305015               ICASTSF15BTRC
NAUT8007781519201507181353ELED000001000000K0E 1613CUS-20305014               ICASTSF15BTRC
NAUT8007781519201507181356ELED000001000000V7E 1604CUS-20305017               ICASTSF15BTRC
NAUT8007781519201507181358ELED000001000000M1B 3647CUS-20305022               ICASTSF15BTRC
NAUT8007781519201507181441ELED000001000000N2E 2226CUS-20305059               ICASTSF15BTRC
NAUT8007781519201507181444ELED000001000000K4P 1613CUS-20305065               ICASTSF15BTRC
NAUT8007781519201507181455ELED000001000000V5C 3778CUS-20305080               ICASTSF15BTRC
NAUT8007781519201507181517ELED000001000000L6M 3905CUS-20305102               ICASTSF15BTRC
NAUT8007781519201507181536ELED000001000000V8X 1778CUS-20305126               ICASTSF15BTRC
NAUT8007781519201507181601ELED000001000000T7A 1587CUS-20305159               ICASTSF15BTRC
NAUT8007781519201507181731ELED000001000000V9G 1250CUS-20305238               ICASTSF15BTRC
NAUT8007781519201507181741ELED000001000000N7M 5999CUS-20305250               ICASTSF15BTRC
NAUT8007781519201507181836ELED000001000000L3Z 2416CUS-20305312               ICASTSF15BTRC
NAUT8007781519201507181839ELED000001000000L9T 0416CUS-20305320               ICASTSF15BTRC
NAUT8007781519201507181839ELED000001000000L9T 0647CUS-20305319               ICASTSF15BTRC
NAUT8007781519201507181840ELED000001000000N1H 7647CUS-20305322               ICASTSF15BTRC
NAUT8007781519201507181842ELED000001000000K7N 0613CUS-20305328               ICASTSF15BTRC
NAUT8007781519201507181843ELED000001000000K7P 2613CUS-20305330               ICASTSF15BTRC
NAUT8007781519201507181844ELED000001000000K0L 1705CUS-20305331               ICASTSF15BTRC
NAUT8007781519201507181913ELED000001000000V9V 1250CUS-20305371               ICASTSF15BTRC
NAUT8007781519201507181928ELED000001000000A0P 1709CUS-20305390               ICASTSF15BTRC
NAUT8007781519201507181947ELED000001000000L5B 3905CUS-20305407               ICASTSF15BTRC
NAUT8007781519201507181952ELED000001000000L9M 0705CUS-20305415               ICASTSF15BTRC
NAUT8007781519201507182022ELED000001000000T0A 3780CUS-20305441               ICASTSF15BTRC
NAUT8007781519201507182033ELED000001000000R2J 2204CUS-20305450               ICASTSF15BTRC
NAUT8007781519201507182035ELED000001000000N3C 3519CUS-20305456               ICASTSF15BTRC
NAUT8007781519201507182036ELED000001000000V4P 3604CUS-20305457               ICASTSF15BTRC
NAUT8007781519201507182037ELED000001000000L6S 2416CUS-20305460               ICASTSF15BTRC
NAUT8007781519201507182038ELED000001000000V2A 6250CUS-20305461               ICASTSF15BTRC
NAUT8007781519201507182039ELED000001000000K1Y 1613CUS-20305462               ICASTSF15BTRC
NAUT8007781519201507182042ELED000001000000H9R 3438CUS-20305466               ICASTSF15BTRC
NAUT8007781519201507182056ELED000001000000T6A 1780CUS-20305478               ICASTSF15BTRC
NAUT8007781519201507182106ELED000001000000T2Y 0587CUS-20305491               ICASTSF15BTRC
NAUT8007781519201507182156ELED000001000000T2V 2403CUS-20305544               ICASTSF15BTRC
NAUT8007781519201507182206ELED000001000000N1E 1CUS-20305552               ICASTSF15BTRC
NAUT8007781519201507182208ELED000001000000M1P 5647CUS-20305557               ICASTSF15BTRC
NAUT8008521307201507180601ELED000001000000T4G 1587CUS-20304345               ICASESF14BBMT
NAUT8008521307201507180812ELED000001000000R2K 2204CUS-20193080               ICASESF14BBMT
NAUT8008521307201507180814ELED000001000000S7L 5306CUS-20304496               ICASESF14BBMT
NAUT8008521307201507180815ELED000001000000S7L 5306CUS-15938036               ICASESF14BBMT
NAUT8008521307201507180940ELED000001000000K9L 1705CUS-20304617               ICASESF14BBMT
NAUT8008521307201507180942ELED000001000000L7N 3905CUS-20304625               ICASESF14BBMT
NAUT8008521307201507180956ELED000001000000T8W 1780CUS-20304649               ICASESF14BBMT
NAUT8008521307201507180957ELED000001000000V2P 7604CUS-20304652               ICASESF14BBMT
NAUT8008521307201507180959ELED000001000000V1E 2250CUS-20304654               ICASESF14BBMT
NAUT8008521307201507181006ELED000001000000T2Y 3204CUS-20304661               ICASESF14BBMT
NAUT8008521307201507181040ELED000001000000N7S 0519CUS-20304710               ICASESF14BBMT
NAUT8008521307201507181040ELED000001000000T6J 3CUS-20304711               ICASESF14BBMT
NAUT8008521307201507181127ELED000001000000T0E 1587CUS-20304779               ICASESF14BBMT
NAUT8008521307201507181129ELED000001000000K2J 0613CUS-20304784               ICASESF14BBMT
NAUT8008521307201507181129ELED000001000000V3H 1604CUS-20304783               ICASESF14BBMT
NAUT8008521307201507181131ELED000001000000N5X 3519CUS-20304788               ICASESF14BBMT
NAUT8008521307201507181131ELED000001000000V1P 1250CUS-20304789               ICASESF14BBMT
