CA Electronic Short Form Leads
NAUT8006148597201507291211ELED000001000000N3W 1905CUS-20321441               ICASTSF15CTRC
NAUT8006149233201507290645ELED000001000000E2A 3506CUS-20320875               icastsf12bTRC
NAUT8007781519201507290815ELED000001000000J0N 1450CUS-20321009               ICASTSF15BTRC
NAUT8007781519201507290912ELED000001000000J6J 2514CUS-20321096               ICASTSF15BTRC
NAUT8007781519201507290943ELED000001000000V4W 3780CUS-20321152               ICASTSF15BTRC
NAUT8007781519201507291135ELED000001000000P3E 4705CUS-20321376               ICASTSF15BTRC
NAUT8007781519201507291201ELED000001000000E1C 4438CUS-20321428               ICASTSF15BTRC
NAUT8007781519201507291323ELED000001000000A1L 3709CUS-20321572               ICASTSF15BTRC
NAUT8007781519201507291412ELED000001000000T0K 2403CUS-20321669               ICASTSF15BTRC
NAUT8007781519201507291455ELED000001000000V9Y 4250CUS-20321717               ICASTSF15BTRC
NAUT8007781519201507291633ELED000001000000T0C 0403CUS-20321851               ICASTSF15BTRC
NAUT8007781519201507291745ELED000001000000M6L 1416CUS-20321952               ICASTSF15BTRC
NAUT8007781519201507291905ELED000001000000T5X 5780CUS-20322061               ICASTSF15BTRC
NAUT8007781519201507291932ELED000001000000L4E 4905CUS-20322086               ICASTSF15BTRC
NAUT8007781519201507291933ELED000001000000L3V 2705CUS-20322090               ICASTSF15BTRC
NAUT8007781519201507291935ELED000001000000L2S 2289CUS-20322093               ICASTSF15BTRC
NAUT8007781519201507291956ELED000001000000T2J 6403CUS-20322110               ICASTSF15BTRC
NAUT8007781519201507292006ELED000001000000T2Z 3403CUS-20322121               ICASTSF15BTRC
NAUT8007781519201507292052ELED000001000000P0L 1705CUS-20322166               ICASTSF15BTRC
NAUT8007781519201507292057ELED000001000000T4B 0403CUS-20322173               ICASTSF15BTRC
NAUT8007781519201507292058ELED000001000000R3M 1204CUS-20322174               ICASTSF15BTRC
NAUT8007781519201507292059ELED000001000000L0M 1249CUS-20322177               ICASTSF15BTRC
NAUT8007781519201507292059ELED000001000000V9Y 8250CUS-20322176               ICASTSF15BTRC
NAUT8008521307201507290627ELED000001000000H8R 2514CUS-20320849               ICASESF14BBMT
NAUT8008521307201507290713ELED000001000000M4S 3416CUS-20320911               ICASESF14BBMT
NAUT8008521307201507290847ELED000001000000N3C 0416CUS-20321056               ICASESF14BBMT
NAUT8008521307201507290931ELED000001000000L6H 7416CUS-20321126               ICASESF14BBMT
NAUT8008521307201507290959ELED000001000000N8W 3519CUS-20321187               ICASESF14BBMT
NAUT8008521307201507291028ELED000001000000T0E 1780CUS-20321235               ICASESF14BBMT
NAUT8008521307201507291104ELED000001000000B4A 2902CUS-20321306               ICASESF14BBMT
NAUT8008521307201507291242ELED000001000000L1M 0289CUS-20321493               ICASESF14BBMT
NAUT8008521307201507291244ELED000001000000T6M 1780CUS-20321499               ICASESF14BBMT
NAUT8008521307201507291306ELED000001000000K0E 1343CUS-20321542               ICASESF14BBMT
NAUT8008521307201507291341ELED000001000000B4H 4902CUS-20321611               ICASESF14BBMT
NAUT8008521307201507291456ELED000001000000T7E 1780CUS-20321719               ICASESF14BBMT
NAUT8008521307201507291506ELED000001000000L9C 0905CUS-20321731               ICASESF14BBMT
NAUT8008521307201507291509ELED000001000000J2L 0514CUS-20321734               ICASESF14BBMT
NAUT8008521307201507291518ELED000001000000T0C 0780CUS-20321743               ICASESF14BBMT
NAUT8008521307201507291529ELED000001000000K8A 4613CUS-20321765               ICASESF14BBMT
NAUT8008521307201507291530ELED000001000000T2C 0403CUS-20321767               ICASESF14BBMT
NAUT8008521307201507291611ELED000001000000T1S 2403CUS-20321823               ICASESF14BBMT
NAUT8008521307201507291615ELED000001000000J4Z 3450CUS-20321829               ICASESF14BBMT
NAUT8008521307201507292306ELED000001000000V3G 3604CUS-19780899               ICASESF14BBMT
NAUT8009526812201507291306ELED000001000000V0C 1250CUS-20321541               icastsf09buytcTRC
