CA Electronic Short Form Leads
NAUT8006148597201509041213ELED000001000000L2S 4905CUS-20374871               ICASTSF15CTRC
NAUT8006516382201509040737ELED000001000000L1C 5905CUS-20374475               ICASESF14ABMT
NAUT8007781519201509040356ELED000001000000L8G 3905CUS-20374320               ICASTSF15BTRC
NAUT8007781519201509040831ELED000001000000R0G 1204CUS-20374521               ICASTSF15BTRC
NAUT8007781519201509040843ELED000001000000T4B 2587CUS-20374534               ICASTSF15BTRC
NAUT8007781519201509040853ELED000001000000T0B 3780CUS-20374548               ICASTSF15BTRC
NAUT8007781519201509041010ELED000001000000T0G 1780CUS-20374660               ICASTSF15BTRC
NAUT8007781519201509041010ELED000001000000T8H 2780CUS-20374661               ICASTSF15BTRC
NAUT8007781519201509041042ELED000001000000L6S 1647CUS-20374732               ICASTSF15BTRC
NAUT8007781519201509041328ELED000001000000L2J 2905CUS-20374936               ICASTSF15BTRC
NAUT8007781519201509041503ELED000001000000L9C 6289CUS-20375038               ICASTSF15BTRC
NAUT8007781519201509041653ELED000001000000K0K 1905CUS-20375134               ICASTSF15BTRC
NAUT8007781519201509041655ELED000001000000N0J 1519CUS-20375141               ICASTSF15BTRC
NAUT8007781519201509041655ELED000001000000S9A 2306CUS-20375142               ICASTSF15BTRC
NAUT8007781519201509041658ELED000001000000M4X 1647CUS-20375148               ICASTSF15BTRC
NAUT8007781519201509041658ELED000001000000N8N 3519CUS-20375149               ICASTSF15BTRC
NAUT8007781519201509041700ELED000001000000K0K 1613CUS-20375153               ICASTSF15BTRC
NAUT8007781519201509041701ELED000001000000N9Y 4519CUS-20375154               ICASTSF15BTRC
NAUT8007781519201509041704ELED000001000000N9V 2519CUS-20375162               ICASTSF15BTRC
NAUT8007781519201509041717ELED000001000000V2P 3604CUS-20375177               ICASTSF15BTRC
NAUT8007781519201509041729ELED000001000000N1R 2519CUS-20375187               ICASTSF15BTRC
NAUT8007781519201509041822ELED000001000000T4T 1403CUS-20375218               ICASTSF15BTRC
NAUT8007781519201509041905ELED000001000000T9H 0780CUS-20375256               ICASTSF15BTRC
NAUT8007781519201509041906ELED000001000000K0G 1613CUS-20375257               ICASTSF15BTRC
NAUT8007781519201509041912ELED000001000000L2N 2905CUS-20375263               ICASTSF15BTRC
NAUT8007781519201509041912ELED000001000000T0G 1780CUS-20375265               ICASTSF15BTRC
NAUT8007781519201509041914ELED000001000000S7J 5306CUS-20375266               ICASTSF15BTRC
NAUT8007781519201509041931ELED000001000000N1L 1519CUS-20375288               ICASTSF15BTRC
NAUT8007781519201509041931ELED000001000000T1X 1587CUS-20375286               ICASTSF15BTRC
NAUT8007781519201509041932ELED000001000000T8N 4780CUS-19924703               ICASTSF15BTRC
NAUT8007781519201509041935ELED000001000000T0H 1780CUS-20375291               ICASTSF15BTRC
NAUT8007781519201509041948ELED000001000000L2N 1905CUS-20375309               ICASTSF15BTRC
NAUT8007781519201509041949ELED000001000000L9T 0289CUS-20375310               ICASTSF15BTRC
NAUT8007781519201509041950ELED000001000000T2V 2403CUS-20375312               ICASTSF15BTRC
NAUT8007781519201509041957ELED000001000000T0L 0CUS-20375322               ICASTSF15BTRC
NAUT8007781519201509042102ELED000001000000L5M 0905CUS-20375368               ICASTSF15BTRC
NAUT8007781519201509042106ELED000001000000A1C 4709CUS-20375373               ICASTSF15BTRC
NAUT8007781519201509042107ELED000001000000H8R 2514CUS-20375374               ICASTSF15BTRC
NAUT8007781519201509042111ELED000001000000M9M 2647CUS-20375381               ICASTSF15BTRC
NAUT8007781519201509042117ELED000001000000N2E 2519CUS-20375386               ICASTSF15BTRC
NAUT8007781519201509042118ELED000001000000L6T 2647CUS-20375387               ICASTSF15BTRC
NAUT8007781519201509042121ELED000001000000M1L 4426CUS-20375389               ICASTSF15BTRC
NAUT8007781519201509042122ELED000001000000L5N 2647CUS-20375391               ICASTSF15BTRC
NAUT8007781519201509042122ELED000001000000R6M 1204CUS-20375392               ICASTSF15BTRC
NAUT8007781519201509042129ELED000001000000V8T 5250CUS-20375399               ICASTSF15BTRC
NAUT8007781519201509042156ELED000001000000L5J 3416CUS-20375415               ICASTSF15BTRC
NAUT8007781519201509042157ELED000001000000L8E 0289CUS-20375416               ICASTSF15BTRC
NAUT8007781519201509042323ELED000001000000R2N 4204CUS-20375447               ICASTSF15BTRC
NAUT8008521307201509040141ELED000001000000V3B 5604CUS-20374300               ICASESF14BBMT
NAUT8008521307201509040456ELED000001000000K8N 4613CUS-20374346               ICASESF14BBMT
NAUT8008521307201509040507ELED000001000000J8R 2819CUS-20374347               ICASESF14BBMT
NAUT8008521307201509040557ELED000001000000G0J 1418CUS-20374361               ICASESF14BBMT
NAUT8008521307201509040926ELED000001000000N3T 5519CUS-20374583               ICASESF14BBMT
NAUT8008521307201509041007ELED000001000000S7L 0204CUS-20374653               ICASESF14BBMT
NAUT8008521307201509041012ELED000001000000R3Y 0204CUS-20374664               ICASESF14BBMT
NAUT8008521307201509041026ELED000001000000S0E 0306CUS-20374694               ICASESF14BBMT
NAUT8008521307201509041118ELED000001000000N6E 3519CUS-20374786               ICASESF14BBMT
NAUT8008521307201509041326ELED000001000000T9M 2613CUS-20374931               ICASESF14BBMT
NAUT8008521307201509041412ELED000001000000R2W 0204CUS-20374977               ICASESF14BBMT
NAUT8008521307201509041446ELED000001000000R2C 5204CUS-20375018               ICASESF14BBMT
NAUT8008521307201509041452ELED000001000000T2A 5403CUS-20375025               ICASESF14BBMT
NAUT8008521307201509041500ELED000001000000G0A 3581CUS-20375033               ICASESF14BBMT
NAUT8008521307201509041506ELED000001000000T2A 5CUS-20375041               ICASESF14BBMT
NAUT8008521307201509041511ELED000001000000V3E 3604CUS-20375046               ICASESF14BBMT
NAUT8008521307201509041522ELED000001000000K2K 2613CUS-20375066               ICASESF14BBMT
NAUT8008521307201509041536ELED000001000000G0A 3418CUS-20375076               ICASESF14BBMT
NAUT8008521307201509041756ELED000001000000M4M 3647CUS-20375203               ICASESF14BBMT
NAUT8008521307201509041757ELED000001000000V3S 7778CUS-20375205               ICASESF14BBMT
NAUT8008521307201509041811ELED000001000000L6T 3416CUS-20375213               ICASESF14BBMT
