US Electronic Short Form Leads
NAUT8002433968201411301107ELED00000100000049036517CUS-19841518               DDCESAWBFX_BFXBFX
NAUT8002439827201411300652ELED00000100000030228CUS-19840682               dseesf14aBMT
NAUT8002439827201411300844ELED00000100000063011636CUS-19841034               dseesf14aBMT
NAUT8002439827201411300844ELED00000100000077449281CUS-19841035               dseesf14aBMT
NAUT8002439827201411300845ELED00000100000018214570CUS-19841030               SAWDSEESF14ABMT
NAUT8002439827201411300845ELED00000100000023322757CUS-19841041               dseesf14aBMT
NAUT8002439827201411300845ELED00000100000048509810CUS-19841038               dseesf14aBMT
NAUT8002439827201411300845ELED00000100000066212913CUS-19841036               dseesf14aBMT
NAUT8002439827201411300846ELED00000100000007107973CUS-19841043               dseesf14aBMT
NAUT8002439827201411300846ELED00000100000033625813CUS-19841042               dseesf14aBMT
NAUT8002439827201411300846ELED00000100000037179662CUS-19841046               dseesf14aBMT
NAUT8002439827201411300848ELED00000100000017013717CUS-19841052               dseesf14aBMT
NAUT8002439827201411300848ELED00000100000028405814CUS-19841051               dseesf14aBMT
NAUT8002439827201411300849ELED00000100000055448254CUS-19841053               dseesf14aBMT
NAUT8002439827201411300853ELED00000100000039426601CUS-19841069               dseesf14aBMT
NAUT8002439827201411300853ELED00000100000055385320CUS-19841070               dseesf14aBMT
NAUT8002439827201411300902ELED00000100000011769CUS-19841106               dseesf14aBMT
NAUT8002439827201411300913ELED00000100000037216CUS-19841150               dseesf14aBMT
NAUT8002439827201411300916ELED00000100000036274334CUS-19841164               dseesf14aBMT
NAUT8002439827201411300916ELED00000100000075249469CUS-19841161               dseesf14aBMT
NAUT8002439827201411300959ELED00000100000080504720CUS-19841291               dseesf14aBMT
NAUT8002439827201411301015ELED00000100000034471352CUS-19841342               dseesf14aBMT
NAUT8002439827201411301148ELED00000100000024656276CUS-19841724               dseesf14aBMT
NAUT8002439827201411301148ELED00000100000030529706CUS-19841723               dseesf14aBMT
NAUT8002439827201411301152ELED00000100000019335484CUS-19841741               dseesf14aBMT
NAUT8002439827201411301153ELED00000100000049336CUS-19841744               dseesf14aBMT
NAUT8002439827201411301215ELED00000100000092656850CUS-19841841               dseesf14aBMT
