US Short Form Leads
NAUT8002479645201510260816LEAD00000100000066205913CUS-20432338               QUBON120TCMOMTICTRC
NAUT8002542818201510260910LEAD00000100000075941936CUS-20432411               INSPN120ALOBYTICTRC
NAUT8002542818201510261123LEAD00000100000091942619CUS-20432572               INSPN120ALOBYTICTRC
NAUT8002580343201510261147LEAD00000100000020720202CUS-20432603               UPTVN120ALOBYTICTRC
NAUT8002580343201510261147LEAD00000100000020774301CUS-20432601               UPTVN120ALONYTICTRC
NAUT8002591694201510260403LEAD00000100000039046601CUS-20432162               METVN120ALOBYTICTRC
NAUT8002591694201510261401LEAD00000100000055805218CUS-20432785               METVN120ALOBYTICTRC
NAUT8002914904201510261958LEAD00000100000014101716CUS-20433166               TESCN120KMV**TICTRC
NAUT8002914904201510261959LEAD00000100000048238313CUS-20433161               TESCN120KMV**TICTRC
NAUT8002987359201510261156LEAD00000100000022315617CUS-20432616               TESCN120ALOBYTICTRC
NAUT8002987359201510261156LEAD00000100000074017918CUS-20432617               TESCN120ALOBYTICTRC
NAUT8002987359201510261157LEAD00000100000039428601CUS-20432621               TESCN120ALOBYTICTRC
NAUT8002987359201510261159LEAD00000100000077055832CUS-20432624               TESCN120ALOBYTICTRC
NAUT8003419994201510261535LEAD00000100000018944215CUS-20432900               CZNYN120ALOBYTICTRC
NAUT8003419994201510261535LEAD00000100000065555417CUS-20432901               CZNYN120ALOBYTICTRC
NAUT8003419994201510261536LEAD00000100000048204313CUS-20432904               CZNYN120ALOBYTICTRC
NAUT8004200250201510261612LEAD00000100000054302920CUS-20432936               LAFFN120HAMBYTICBMT
NAUT8004200250201510261616LEAD00000100000037206615CUS-20432943               LAFFN120HAMBYTICBMT
NAUT8004262803201510260755LEAD00000100000061115815CUS-5298726               SUNDN180HAMF*TICBMT
NAUT8004262803201510260852LEAD00000100000091763909CUS-20432385               SUNDN180HAMF*TICBMT
NAUT8004365669201510262137LEAD00000100000076905325CUS-20433244               WNATN120HAMBYTICBMT
NAUT8004365669201510262137LEAD00000100000076905325CUS-20433244               WNATN120HAMBYTICTRC
NAUT8004661542201510260941LEAD00000100000037415423CUS-20432456               IFC*N120JACKDTICBMT
NAUT8004661542201510261441LEAD00000100000055044651CUS-20432830               IFC*N120JACKDTICBMT
NAUT8004694581201510261835LEAD00000100000077088832CUS-20433084               RELZN120JACKDTICBMT
NAUT8004697757201510262336LEAD00000100000046601574CUS-20433305               NT05P60*ALOHATICTRC
NAUT8004698619201510261536LEAD00000100000019958302CUS-20432905               NT06P60*ALOHATICTRC
NAUT8004698619201510261542LEAD00000100000021851443CUS-20432909               NT06P60*ALOHATICTRC
NAUT8004698619201510262342LEAD00000100000021629CUS-20433307               NT06P60*ALOHATICTRC
NAUT8004698708201510270028LEAD00000100000070714CUS-20433333               NT07P60*ALOHATICTRC
NAUT8004715395201510260742LEAD00000100000015368724CUS-20432306               VEL*N180JACKDTICBMT
NAUT8004743170201510262352LEAD00000100000028269704CUS-20433313               NT18P60*ALOHATICTRC
NAUT8005360964201510261837LEAD00000100000014212716CUS-20433085               CHLRN180HAMF*TICBMT
NAUT8006148410201510260937LEAD00000100000056240320CUS-20432451               DISNN60*JACKDTICBMT
NAUT8006148410201510261452LEAD00000100000050702318CUS-20432839               DISNN60*JACKDTICBMT
NAUT8006447450201510260133LEAD00000100000099654907CUS-362248               NFLNN60*JACKDTICBMT
NAUT8006491651201510261016LEAD00000100000018045610CUS-12558358               SUNDN120HAMBYTICBMT
NAUT8006491651201510261018LEAD00000100000019144267CUS-20432493               SUNDN120HAMBYTICBMT
