US Short Form Leads
NAUT8002479645201510271817LEAD00000100000085009928CUS-20434324               QUBON120TCMOMTICTRC
NAUT8002528750201510270654LEAD00000100000089104702CUS-20433480               OWN*N180HAMF*TICBMT
NAUT8002542818201510271501LEAD00000100000021804410CUS-20434020               INSPN120ALOBYTICTRC
NAUT8002580646201510280919LEAD00000100000085532928CUS-20435120               ION*N120ALOBYTICTRC
NAUT8002580646201510280922LEAD00000100000094109415CUS-20435121               ION*N120ALOBYTICTRC
NAUT8002591694201510271457LEAD00000100000089031702CUS-20434010               METVN120ALOBYTICTRC
NAUT8002591694201510271508LEAD00000100000032506850CUS-20434026               METVN120ALOBYTICTRC
NAUT8002971376201510271249LEAD00000100000029707803CUS-20433861               GRITN120HAMBYTICBMT
NAUT8002971376201510272133LEAD00000100000036575251CUS-20434551               GRITN120HAMBYTICBMT
NAUT8002993423201510270737LEAD00000100000019128267CUS-20433517               BABYN120KMV**TICTRC
NAUT8003207309201510270901LEAD00000100000078247210CUS-20433603               QUBON120KMV**TICTRC
NAUT8003207309201510280913LEAD00000100000029169803CUS-20435110               QUBON120KMV**TICTRC
NAUT8003419994201510271101LEAD00000100000081002719CUS-20433737               CZNYN120ALOBYTICTRC
NAUT8003419994201510271104LEAD00000100000046221317CUS-20433740               CZNYN120ALOBYTICTRC
NAUT8003419994201510271931LEAD00000100000019124267CUS-20434421               CZNYN120ALOBYTICTRC
NAUT8003730447201510280908LEAD00000100000087401505CUS-20435102               BABYN120TCMOMTICTRC
NAUT8004200250201510271458LEAD00000100000044102216CUS-20434013               LAFFN120HAMBYTICBMT
NAUT8004200250201510272139LEAD00000100000091409818CUS-20434558               LAFFN120HAMBYTICBMT
NAUT8004366760201510270652LEAD00000100000003063603CUS-20433477               ION*N120KMV**TICTRC
NAUT8004366760201510270652LEAD00000100000046040317CUS-20433475               ION*N120KMV**TICTRC
NAUT8004366760201510270653LEAD00000100000013082315CUS-20433478               ION*N120KMV**TICTRC
NAUT8004366760201510270654LEAD00000100000011754631CUS-20433481               ION*N120KMV**TICTRC
NAUT8004366760201510280638LEAD00000100000006278860CUS-20434883               ION*N120KMV**TICTRC
NAUT8004366760201510280745LEAD00000100000006029860CUS-20434964               ION*N120KMV**TICTRC
NAUT8004366760201510280746LEAD00000100000077033713CUS-20434969               ION*N120KMV**TICTRC
NAUT8004366760201510280817LEAD00000100000077058281CUS-20435015               ION*N120KMV**TICTRC
NAUT8004366760201510280937LEAD00000100000032234904CUS-20435152               ION*N120KMV**TICTRC
NAUT8004367530201510271951LEAD00000100000055422612CUS-20434444               JUSTN120HAMBYTICBMT
NAUT8004661542201510271031LEAD00000100000029541643CUS-20433705               IFC*N120JACKDTICBMT
NAUT8004673156201510271140LEAD00000100000037076615CUS-20433796               ION*N120JACKDTICBMT
NAUT8004691572201510271744LEAD00000100000037331423CUS-20434269               WNATN120JACKDTICBMT
NAUT8004694581201510271133LEAD00000100000062554217CUS-20433786               RELZN120JACKDTICBMT
NAUT8004694581201510271206LEAD00000100000038133901CUS-20433826               RELZN120JACKDTICBMT
NAUT8004694581201510271942LEAD00000100000079902915CUS-20434433               RELZN120JACKDTICBMT
NAUT8004694581201510271946LEAD00000100000077088832CUS-20434439               RELZN120JACKDTICBMT
NAUT8004695944201510271352LEAD00000100000063012636CUS-20433921               GRITN120JACKDTICBMT
NAUT8004698619201510270743LEAD00000100000021801410CUS-20433527               NT06P60*ALOHATICTRC
NAUT8004698619201510271539LEAD00000100000074346918CUS-20434068               NT06P60*ALOHATICTRC
NAUT8004698708201510270028LEAD00000100000070714CUS-20433333               NT07P60*ALOHATICTRC
NAUT8004712485201510271734LEAD00000100000048309248CUS-20434257               PUREN180JACKDTICBMT
NAUT8004712485201510271740LEAD00000100000049417616CUS-20434263               PUREN180JACKDTICBMT
NAUT8004715395201510270622LEAD00000100000002343781CUS-20433461               VEL*N180JACKDTICBMT
NAUT8004715395201510280756LEAD00000100000017009717CUS-20434985               VEL*N180JACKDTICBMT
NAUT8004715395201510280756LEAD00000100000049346CUS-20434986               VEL*N180JACKDTICBMT
NAUT8005304793201510280917LEAD00000100000037015615CUS-20435113               PIVTN180JACKDTICBMT
NAUT8005472378201510271641LEAD00000100000077032832CUS-20434167               CHLRN180JACKDTICBMT
NAUT8005472378201510271647LEAD00000100000089011702CUS-20153986               CHLRN180JACKDTICBMT
NAUT8006148410201510271055LEAD00000100000084021435CUS-20433728               DISNN60*JACKDTICBMT
NAUT8006148513201510280141LEAD00000100000043207740CUS-20434696               FOXNN120KMV**TICTRC
NAUT8006491651201510270826LEAD00000100000012170518CUS-20433566               SUNDN120HAMBYTICBMT
NAUT8006491651201510271048LEAD00000100000084120801CUS-5151821               SUNDN120HAMBYTICBMT
NAUT8006491651201510271209LEAD00000100000078741512CUS-20433830               SUNDN120HAMBYTICBMT
NAUT8006491651201510271452LEAD00000100000027704919CUS-20433996               SUNDN120HAMBYTICBMT
NAUT8006491651201510271640LEAD00000100000060626773CUS-20434165               SUNDN120HAMBYTICBMT
NAUT8006491651201510280743LEAD00000100000037037615CUS-20434962               SUNDN120HAMBYTICBMT
NAUT8006508911201510270728LEAD00000100000039825229CUS-11939922               SPKEN120HAMBYTICBMT
NAUT8006508911201510270728LEAD00000100000079336806CUS-20433509               SPKEN120HAMBYTICBMT
NAUT8006508911201510271036LEAD00000100000095696916CUS-20433701               SPKEN120HAMBYTICBMT
NAUT8006508911201510271140LEAD00000100000082902307CUS-20433797               SPKEN120HAMBYTICBMT
NAUT8006508911201510280811LEAD00000100000077530832CUS-20435004               SPKEN120HAMBYTICBMT
NAUT8006508911201510280845LEAD00000100000077014903CUS-20435062               SPKEN120HAMBYTICBMT
NAUT8006514043201510271001LEAD00000100000033935863CUS-20433676               DISEN60*WALKATICTRC
NAUT8006514043201510271107LEAD00000100000018851570CUS-20433748               DISEN60*WALKATICTRC
NAUT8006514043201510280842LEAD00000100000083849208CUS-20435046               DISEN60*WALKATICTRC
NAUT8006520108201510270722LEAD00000100000088345978CUS-20433501               INSPN180ALOHATICTRC
NAUT8006586984201510280701LEAD00000100000075432903CUS-20434904               DTVLN60*WALKATICTRC
NAUT8007086528201510271514LEAD00000100000011752631CUS-2114703               VEL*N120JACKDTICBMT
NAUT8007110152201510271533LEAD00000100000029620864CUS-20434061               PUREN180HAMF*TICBMT
NAUT8007171498201510270742LEAD00000100000057006605CUS-20433524               LMN*N60*WLKNYTICTRC
NAUT8007171498201510270950LEAD00000100000011435917CUS-20433660               LMN*N60*WLKNYTICTRC
NAUT8007171498201510270950LEAD00000100000039466769CUS-20433659               LMN*N60*WLKNYTICTRC
NAUT8007171498201510271249LEAD00000100000097408541CUS-20433864               LMN*N60*WLKNYTICTRC
NAUT8007171498201510271251LEAD00000100000028306910CUS-20433866               LMN*N60*WLKNYTICTRC
NAUT8007171498201510271252LEAD00000100000032810407CUS-20433868               LMN*N60*WLKNYTICTRC
NAUT8007171498201510271253LEAD00000100000065233660CUS-20433871               LMN*N60*WLKNYTICTRC
NAUT8007171498201510271311LEAD00000100000005860802CUS-20433892               LMN*N60*WLKNYTICTRC
NAUT8007171498201510271443LEAD00000100000014103216CUS-20433966               LMN*N60*WLKNYTICTRC
NAUT8007171498201510271443LEAD00000100000046323708CUS-20433967               LMN*N60*WLKNYTICTRC
