US Short Form Leads
NAUT8002431011201409230834LEAD00000100000050144641CUS-19728839               INSPN180WALKATICTRC
NAUT8002794259201409231024LEAD00000100000036605251CUS-19728980               LMN*N60*JNY2HTICTRC
NAUT8002917847201409230629LEAD00000100000033757708CUS-19728688               ION*N120BFMAXTICBMT
NAUT8002917847201409231338LEAD00000100000064116816CUS-19729280               ION*N120BFMAXTICBMT
NAUT8003582499201409231055LEAD00000100000033809863CUS-19729035               HIS2N180BFMAXTICBMT
NAUT8003582499201409231056LEAD00000100000077429832CUS-19729036               HIS2N180BFMAXTICBMT
NAUT8003582499201409231057LEAD00000100000033801863CUS-19729040               HIS2N180BFMAXTICBMT
NAUT8003582499201409231058LEAD00000100000034432305CUS-19729042               HIS2N180BFMAXTICBMT
NAUT8003582499201409231254LEAD00000100000073533580CUS-19729217               HIS2N180BFMAXTICBMT
NAUT8003582499201409231255LEAD00000100000098031425CUS-19729219               HIS2N180BFMAXTICBMT
NAUT8003582499201409231256LEAD00000100000076513254CUS-19729221               HIS2N180BFMAXTICBMT
NAUT8003582499201409231303LEAD00000100000087701808CUS-19729230               HIS2N180BFMAXTICBMT
NAUT8003582499201409231454LEAD00000100000085354623CUS-56183               HIS2N180BFMAXTICBMT
NAUT8003661911201409230601LEAD00000100000093004805CUS-19728678               SUNDN180BFMAXTICBMT
NAUT8003661911201409231241LEAD00000100000019977302CUS-19729194               SUNDN180BFMAXTICBMT
NAUT8003661911201409232300LEAD00000100000092536951CUS-19729731               SUNDN180BFMAXTICBMT
NAUT8003667015201409230705LEAD00000100000099336509CUS-19728718               VEL*N180BFMAXTICBMT
NAUT8003667015201409230912LEAD00000100000032776CUS-19728886               VEL*N180BFMAXTICBMT
NAUT8004272727201409231119LEAD00000100000032533850CUS-19729092               METVN120GRT2HTICTRC
NAUT8004272727201409231119LEAD00000100000035085205CUS-19729095               METVN120GRT2HTICTRC
NAUT8004272727201409231119LEAD00000100000050315515CUS-19729090               METVN120GRT2HTICTRC
NAUT8004272727201409231120LEAD00000100000025404304CUS-19729097               METVN120GRT2HTICTRC
NAUT8004272727201409231120LEAD00000100000075241469CUS-19729093               METVN120GRT2HTICTRC
NAUT8004272727201409231121LEAD00000100000015235412CUS-19729098               METVN120GRT2HTICTRC
NAUT8004272727201409231121LEAD00000100000060406773CUS-19729100               METVN120GRT2HTICTRC
NAUT8004272727201409231122LEAD00000100000038916662CUS-19729103               METVN120GRT2HTICTRC
NAUT8004272727201409231122LEAD00000100000074020918CUS-19729104               METVN120GRT2HTICTRC
NAUT8004272727201409231123LEAD00000100000027530919CUS-19729108               METVN120GRT2HTICTRC
NAUT8004272727201409231131LEAD00000100000006830210CUS-19729110               METVN120GRT2HTICTRC
NAUT8004272727201409231234LEAD00000100000074044918CUS-19729189               METVN120GRT2HTICTRC
NAUT8004272727201409231304LEAD00000100000075654903CUS-19729231               METVN120GRT2HTICTRC
NAUT8004272727201409231352LEAD00000100000078220210CUS-19729301               METVN120GRT2HTICTRC
NAUT8004272727201409231431LEAD00000100000093534661CUS-19729339               METVN120GRT2HTICTRC
NAUT8004365437201409230722LEAD00000100000003109603CUS-19728730               PUREN180BFMAXTICBMT
NAUT8004365437201409230931LEAD00000100000062298618CUS-19728904               PUREN180BFMAXTICBMT
NAUT8004365437201409231018LEAD00000100000046979765CUS-8790126               PUREN180BFMAXTICBMT
NAUT8004400559201409230803LEAD00000100000022720540CUS-19728793               FOXNN120GRT2HTICTRC
NAUT8004400559201409231133LEAD00000100000065806417CUS-19729121               FOXNN120GRT2HTICTRC
NAUT8004400559201409231332LEAD00000100000092082760CUS-5083079               FOXNN120GRT2HTICTRC
NAUT8004400576201409231304LEAD00000100000074462918CUS-19729216               FYI*N120GRT2HTICTRC
NAUT8004416283201409231748LEAD00000100000055946612CUS-19729516               PUREN180GRT2HTICTRC
NAUT8004669741201409230921LEAD00000100000015601724CUS-4739681               SUNDN120GENTSTICTRC
NAUT8004742899201409231202LEAD00000100000078945979CUS-19729151               CMT*N120GENTSTICTRC
NAUT8004760480201409231658LEAD00000100000060507331CUS-19729467               INSPN180GRT2HTICTRC
NAUT8004809199201409230638LEAD00000100000046764260CUS-19728699               SUNDN120BFMAXTICBMT
NAUT8004809199201409230905LEAD00000100000035007205CUS-19728879               SUNDN120BFMAXTICBMT
NAUT8004960263201409231544LEAD00000100000023323757CUS-19729418               DESTN120BFMAXTICBMT
NAUT8004969798201409230939LEAD00000100000032535850CUS-19728909               SPKEN120BFMAXTICBMT
NAUT8004969798201409230940LEAD00000100000010308718CUS-19728910               SPKEN120BFMAXTICBMT
NAUT8004969798201409230941LEAD00000100000023168804CUS-19728913               SPKEN120BFMAXTICBMT
NAUT8004969798201409230941LEAD00000100000023235804CUS-19728911               SPKEN120BFMAXTICBMT
NAUT8004969798201409230941LEAD00000100000033305954CUS-19728912               SPKEN120BFMAXTICBMT
NAUT8004969798201409230941LEAD00000100000053216414CUS-19728914               SPKEN120BFMAXTICBMT
NAUT8004969798201409230951LEAD000001000000915CUS-19728926               SPKEN120BFMAXTICBMT
NAUT8004969798201409231426LEAD00000100000046394219CUS-19729338               SPKEN120BFMAXTICBMT
NAUT8005050396201409230400LEAD00000100000059022406CUS-19728649               PALLN120BFMAXTICBMT
NAUT8005050396201409230938LEAD00000100000035674256CUS-19728908               PALLN120BFMAXTICBMT
NAUT8005050396201409231311LEAD00000100000075765903CUS-6062055               PALLN120BFMAXTICBMT
NAUT8005069231201409230619LEAD00000100000060622312CUS-19728684               VEL*N120BFMAXTICBMT
NAUT8005069231201409230803LEAD00000100000092407909CUS-19728783               VEL*N120BFMAXTICBMT
NAUT8005248457201409230753LEAD00000100000060638312CUS-19728775               HIS2N180GRT2HTICTRC
NAUT8005248457201409230756LEAD00000100000027249336CUS-19728780               HIS2N180GRT2HTICTRC
NAUT8005248457201409230850LEAD00000100000038916CUS-19728859               HIS2N180GRT2HTICTRC
NAUT8005248457201409230904LEAD00000100000030135770CUS-19728877               HIS2N180GRT2HTICTRC
NAUT8005248457201409230954LEAD00000100000067209316CUS-19728930               HIS2N180GRT2HTICTRC
NAUT8005248457201409230955LEAD00000100000098664360CUS-19728933               HIS2N180GRT2HTICTRC
NAUT8005617572201409232320LEAD00000100000046203317CUS-19729738               VH1*L60*WALKATICTRC
NAUT8006148461201409231052LEAD00000100000046072765CUS-19729022               HALMN120WALKATICTRC
NAUT8006148461201409231936LEAD00000100000080015303CUS-19729609               HALMN120WALKATICTRC
NAUT8006148461201409231941LEAD00000100000024266276CUS-19729611               HALMN120WALKATICTRC
NAUT8006148461201409232101LEAD00000100000011207718CUS-19729678               HALMN120WALKATICTRC
NAUT8006148461201409232200LEAD00000100000096819808CUS-19729708               HALMN120WALKATICTRC
NAUT8006172457201409231535LEAD00000100000092630949CUS-19729409               ION*N120WALKATICTRC
NAUT8006516384201409230752LEAD00000100000077447281CUS-19728769               INSPN120WALKATICTRC
NAUT8006516384201409230754LEAD00000100000031503912CUS-19728773               INSPN120WALKATICTRC
NAUT8006516384201409230754LEAD00000100000032455850CUS-19728777               INSPN120WALKATICTRC
