CA Electronic Short Form Leads
NAUT8006148597201512091459ELED000001000000K2J 1613CUS-20520160               ICASTSF15CTRC
NAUT8006149233201512090742ELED000001000000R3T 3204CUS-20519294               icastsf12bTRC
NAUT8006149233201512090855ELED000001000000L1N 5905CUS-20519448               icastsf12bTRC
NAUT8006149233201512091126ELED000001000000L6M 2905CUS-20519780               icastsf12bTRC
NAUT8006149233201512091611ELED000001000000S0H 3306CUS-20520292               icastsf12bTRC
NAUT8006149233201512091627ELED000001000000T3H 3403CUS-20520311               icastsf12bTRC
NAUT8006149233201512091807ELED000001000000R2M 1204CUS-20520488               icastsf12bTRC
NAUT8006149233201512091928ELED000001000000L6R 2647CUS-20520642               icastsf12bTRC
NAUT8006149233201512091945ELED000001000000V5K 4604CUS-20520669               icastsf12bTRC
NAUT8006149233201512092129ELED000001000000R0M 1204CUS-20520779               icastsf12bTRC
NAUT8006149233201512092130ELED000001000000K2S 0613CUS-20520780               icastsf12bTRC
NAUT8006516382201512090728ELED000001000000S9X 1306CUS-20519267               ICASESF14ABMT
NAUT8006516382201512090930ELED000001000000V7E 3604CUS-20519533               ICASESF14ABMT
NAUT8006516382201512091002ELED000001000000S0C 1306CUS-20519618               ICASESF14ABMT
NAUT8006516382201512091018ELED000001000000M5S 1647CUS-20519644               ICASESF14ABMT
NAUT8006516382201512091018ELED000001000000N5C 4519CUS-20519646               ICASESF14ABMT
NAUT8006516382201512091050ELED000001000000L9T 3905CUS-20519700               ICASESF14ABMT
NAUT8006516382201512091050ELED000001000000V8X 1250CUS-20519702               ICASESF14ABMT
NAUT8006516382201512091051ELED000001000000H8S 2514CUS-20519705               ICASESF14ABMT
NAUT8006516382201512091051ELED000001000000V9X 1250CUS-20519704               ICASESF14ABMT
NAUT8006516382201512091118ELED000001000000N0A 1519CUS-20519754               ICASESF14ABMT
NAUT8006516382201512091218ELED000001000000N1M 2519CUS-20519873               ICASESF14ABMT
NAUT8006516382201512091219ELED000001000000N1M 2519CUS-20519873               ICASESF14ATRC
NAUT8006516382201512091542ELED000001000000P6A 5705CUS-20520251               ICASESF14ABMT
NAUT8006516382201512091634ELED000001000000J1J 1819CUS-20520323               ICASESF14ABMT
NAUT8006516382201512091634ELED000001000000J2X 4514CUS-20520327               ICASESF14ABMT
NAUT8006516382201512091639ELED000001000000N7V 2519CUS-2394659               ICASESF14ABMT
NAUT8006516382201512091747ELED000001000000T1C 2CUS-20520450               ICASESF14ABMT
NAUT8006516382201512092002ELED000001000000H1E 3514CUS-20520687               ICASESF14ABMT
NAUT8006516382201512092050ELED000001000000T5K 1587CUS-20520737               ICASESF14ABMT
NAUT8006671981201512090958ELED000001000000P0L 1705CUS-20519611               ICASESF14DBMT
NAUT8006671981201512091426ELED000001000000N9J 3519CUS-20520078               ICASESF14DBMT
NAUT8008521307201512090638ELED000001000000V4B 2604CUS-17716056               ICASESF14BBMT
NAUT8008521307201512091227ELED000001000000E3B 7506CUS-20519892               ICASESF14BBMT
NAUT8008521307201512091310ELED000001000000K2J 4613CUS-20519968               ICASESF14BBMT
NAUT8008521307201512091527ELED000001000000N1L 1519CUS-20520218               ICASESF14BBMT
NAUT8008521307201512091741ELED000001000000J7W 4514CUS-20520434               ICASESF14BBMT
NAUT8008521307201512091811ELED000001000000N1R 5519CUS-20520491               ICASESF14BBMT
NAUT8008521307201512091850ELED000001000000S0J 2306CUS-20520583               ICASESF14BBMT
NAUT8008521307201512091858ELED000001000000T2Y 5CUS-20520596               ICASESF14BBMT
NAUT8008521307201512092010ELED000001000000H7E 3438CUS-20520694               ICASESF14BBMT
NAUT8008521307201512092018ELED000001000000T0C 2403CUS-20520705               ICASESF14BBMT
NAUT8008521307201512092037ELED000001000000N6M 0519CUS-20520724               ICASESF14BBMT
NAUT8009526812201512091334ELED000001000000M9N 3647CUS-20520001               icastsf09buytcTRC
NAUT8009526971201512091058ELED000001000000B3S 1902CUS-20519720               ICASTSF15BTRC
NAUT8009526971201512091719ELED000001000000N2B 2519CUS-20520406               ICASTSF15BTRC
