US Short Form Leads
NAUT8002580343201511201150LEAD00000100000091745626CUS-20477503               UPTVN120ALOBYTICTRC
NAUT8002580646201511200630LEAD00000100000078718512CUS-20056908               ION*N120ALOBYTICTRC
NAUT8002580646201511200632LEAD00000100000019053267CUS-20477145               ION*N120ALOBYTICTRC
NAUT8002580646201511200633LEAD00000100000008757732CUS-20477144               ION*N120ALOBYTICTRC
NAUT8002580646201511200633LEAD00000100000012202518CUS-20477147               ION*N120ALOBYTICTRC
NAUT8002580646201511200634LEAD00000100000011233347CUS-20477150               ION*N120ALOBYTICTRC
NAUT8002580646201511200634LEAD00000100000037862865CUS-20477152               ION*N120ALOBYTICTRC
NAUT8002580646201511200650LEAD00000100000075217214CUS-20477164               ION*N120ALOBYTICTRC
NAUT8002580646201511201441LEAD00000100000085086480CUS-20477691               ION*N120ALOBYTICTRC
NAUT8002914904201511200742LEAD00000100000028043828CUS-20477218               TESCN120KMV**TICTRC
NAUT8002971376201511201809LEAD00000100000027526910CUS-20477891               GRITN120HAMBYTICBMT
NAUT8002971376201511201810LEAD00000100000072076501CUS-20477893               GRITN120HAMBYTICBMT
NAUT8002971376201511201812LEAD00000100000051528712CUS-20477896               GRITN120HAMBYTICBMT
NAUT8003207309201511201433LEAD00000100000077080281CUS-20477682               QUBON120KMV**TICTRC
NAUT8003207309201511201613LEAD00000100000008618609CUS-20477783               QUBON120KMV**TICTRC
NAUT8003419994201511201903LEAD00000100000077612409CUS-20477943               CZNYN120ALOBYTICTRC
NAUT8004200250201511200921LEAD00000100000091951619CUS-20477316               LAFFN120HAMBYTICBMT
NAUT8004200250201511201950LEAD00000100000029720803CUS-20477984               LAFFN120HAMBYTICBMT
NAUT8004366760201511201100LEAD00000100000033873863CUS-20477438               ION*N120KMV**TICTRC
NAUT8004418420201511201848LEAD00000100000078061210CUS-20477927               ATVLL60*WALKATICTRC
NAUT8004661542201511200834LEAD00000100000093906831CUS-643926               IFC*N120JACKDTICBMT
NAUT8004661542201511200854LEAD00000100000021209216CUS-204529               IFC*N120JACKDTICBMT
NAUT8004661542201511200856LEAD00000100000075006318CUS-20476359               IFC*N120JACKDTICBMT
NAUT8004661542201511200857LEAD00000100000006512203CUS-20476377               IFC*N120JACKDTICBMT
NAUT8004661542201511200857LEAD00000100000085653520CUS-2586043               IFC*N120JACKDTICBMT
