CA Electronic Short Form Leads
NAUT8006148597201509080048ELED000001000000B3R 1CUS-20380756               ICASTSF15CTRC
NAUT8006149233201509080953ELED000001000000L7N 2416CUS-20381259               icastsf12bTRC
NAUT8006149233201509081549ELED000001000000B3R 0902CUS-20381875               icastsf12bTRC
NAUT8006149233201509081552ELED000001000000T3M 1403CUS-20381880               icastsf12bTRC
NAUT8006516382201509080036ELED000001000000T0J 0CUS-20380748               ICASESF14ABMT
NAUT8006516382201509080607ELED000001000000L7G 6905CUS-20380947               ICASESF14ABMT
NAUT8006516382201509080803ELED000001000000L8K 5905CUS-20381086               ICASESF14ABMT
NAUT8006516382201509080832ELED000001000000T4P 0403CUS-20381128               ICASESF14ABMT
NAUT8006516382201509080902ELED000001000000T8C 1780CUS-20381181               ICASESF14ABMT
NAUT8006516382201509081048ELED000001000000J4V 3514CUS-19746756               ICASESF14ABMT
NAUT8006516382201509081052ELED000001000000S0K 4306CUS-20381370               ICASESF14ABMT
NAUT8006516382201509081119ELED000001000000S0K 4CUS-20381418               ICASESF14ABMT
NAUT8006516382201509081141ELED000001000000T1Y 5403CUS-20381457               ICASESF14ABMT
NAUT8006516382201509081207ELED000001000000S0J 3306CUS-20381497               ICASESF14ABMT
NAUT8006516382201509081221ELED000001000000L6J 5905CUS-20381520               ICASESF14ABMT
NAUT8006516382201509081223ELED000001000000S4L 5306CUS-20381526               ICASESF14ABMT
NAUT8006516382201509081706ELED000001000000T2Z 1587CUS-19797554               ICASESF14ABMT
NAUT8006516382201509081723ELED000001000000T9G 1780CUS-20382040               ICASESF14ABMT
NAUT8006516382201509081739ELED000001000000L8G 5905CUS-20382071               ICASESF14ABMT
NAUT8006516382201509081753ELED000001000000N1C 1CUS-20382090               ICASESF14ABMT
NAUT8006516382201509082058ELED000001000000V0A 1403CUS-20382306               ICASESF14ABMT
NAUT8007781519201509080457ELED000001000000H1B 3514CUS-20380893               ICASTSF15BTRC
NAUT8007781519201509080723ELED000001000000N9A 5519CUS-20381017               ICASTSF15BTRC
NAUT8007781519201509081031ELED000001000000N4L 1519CUS-20381323               ICASTSF15BTRC
NAUT8007781519201509081047ELED000001000000T5H 4780CUS-20381359               ICASTSF15BTRC
NAUT8007781519201509081337ELED000001000000T0A 1780CUS-20381647               ICASTSF15BTRC
NAUT8007781519201509081348ELED000001000000S4H 0306CUS-20381668               ICASTSF15BTRC
NAUT8007781519201509081436ELED000001000000T4T 1403CUS-20381733               ICASTSF15BTRC
NAUT8007781519201509081522ELED000001000000B0S 1902CUS-20381821               ICASTSF15BTRC
NAUT8007781519201509081529ELED000001000000T9J 1780CUS-20381827               ICASTSF15BTRC
NAUT8007781519201509081543ELED000001000000T3M 1403CUS-20381863               ICASTSF15BTRC
NAUT8007781519201509081701ELED000001000000N3A 1226CUS-20382007               ICASTSF15BTRC
NAUT8007781519201509081802ELED000001000000B0E 1902CUS-20382109               ICASTSF15BTRC
NAUT8007781519201509081818ELED000001000000T3M 1587CUS-19821884               ICASTSF15BTRC
NAUT8007781519201509082033ELED000001000000M2R 2416CUS-20382279               ICASTSF15BTRC
NAUT8008521307201509080342ELED000001000000N5X 0519CUS-20380856               ICASESF14BBMT
NAUT8008521307201509080826ELED000001000000K0M 1416CUS-20381115               ICASESF14BBMT
NAUT8008521307201509080857ELED000001000000L7C 3647CUS-20340619               ICASESF14BTRC
NAUT8008521307201509081206ELED000001000000M1L 2647CUS-20381496               ICASESF14BBMT
NAUT8008521307201509081212ELED000001000000V4B 3604CUS-20381509               ICASESF14BBMT
NAUT8008521307201509081233ELED000001000000T7E 3780CUS-20381550               ICASESF14BBMT
NAUT8008521307201509081327ELED000001000000A1V 2709CUS-20381631               ICASESF14BBMT
NAUT8008521307201509081410ELED000001000000T6W 1604CUS-20381699               ICASESF14BBMT
NAUT8008521307201509081413ELED000001000000L4G 6416CUS-20304635               ICASESF14BBMT
NAUT8008521307201509081738ELED000001000000T8R 0780CUS-19215867               ICASESF14BBMT
NAUT8008521307201509081906ELED000001000000V8T 3250CUS-20382192               ICASESF14BBMT
NAUT8008521307201509081921ELED000001000000V8T 3250CUS-20382206               ICASESF14BBMT
NAUT8008521307201509081924ELED000001000000K6A 2613CUS-20382209               ICASESF14BBMT
NAUT8008521307201509081927ELED000001000000V9B 4250CUS-20382213               ICASESF14BBMT
NAUT8008521307201509081930ELED000001000000N6P 1519CUS-20382218               ICASESF14BBMT
NAUT8008521307201509081933ELED000001000000J6R 2514CUS-20382222               ICASESF14BBMT
NAUT8008521307201509081939ELED000001000000J9J 1613CUS-20382229               ICASESF14BBMT
NAUT8008521307201509082013ELED000001000000T1J 1403CUS-20382259               ICASESF14BBMT
NAUT8008521307201509082017ELED000001000000S0J 0306CUS-20382264               ICASESF14BBMT
NAUT8008521307201509082039ELED000001000000M8Z 4416CUS-20382284               ICASESF14BBMT
