CA Electronic Short Form Leads
NAUT8006149233201510231054ELED000001000000L7G 6416CUS-20429324               icastsf12bTRC
NAUT8006516382201510230912ELED000001000000A1E 0709CUS-20429213               ICASESF14ABMT
NAUT8006516382201510230917ELED000001000000V4K 2604CUS-20429217               ICASESF14ABMT
NAUT8006516382201510230923ELED000001000000V3S 9604CUS-20429223               ICASESF14ABMT
NAUT8006516382201510231251ELED000001000000L6R 3416CUS-20429463               ICASESF14ABMT
NAUT8006516382201510231402ELED000001000000R3P 2204CUS-20429534               ICASESF14ABMT
NAUT8006516382201510231544ELED000001000000R2N 1204CUS-20429642               ICASESF14ABMT
NAUT8006516382201510232033ELED000001000000B0P 1902CUS-20429839               ICASESF14ABMT
NAUT8007781519201510230739ELED000001000000E2A 0506CUS-20429122               ICASTSF15BTRC
NAUT8007781519201510231021ELED000001000000N4B 2519CUS-20429289               ICASTSF15BTRC
NAUT8007781519201510231105ELED000001000000N2N 1519CUS-20429340               ICASTSF15BTRC
NAUT8007781519201510231218ELED000001000000T0E 1780CUS-20429428               ICASTSF15BTRC
NAUT8007781519201510231305ELED000001000000K2J 5623CUS-19979175               ICASTSF15BTRC
NAUT8007781519201510231401ELED000001000000L0L 1289CUS-20429533               ICASTSF15BTRC
NAUT8007781519201510231711ELED000001000000L0L 1416CUS-20429700               ICASTSF15BTRC
NAUT8007781519201510231848ELED000001000000L1S 4416CUS-20429761               ICASTSF15BTRC
NAUT8007781519201510231853ELED000001000000L1J 3905CUS-20429764               ICASTSF15BTRC
NAUT8007781519201510231858ELED000001000000T2X 3403CUS-20429770               ICASTSF15BTRC
NAUT8007781519201510231903ELED000001000000L5R 4905CUS-20429772               ICASTSF15BTRC
NAUT8007781519201510231922ELED000001000000M1L 3416CUS-20429783               ICASTSF15BTRC
NAUT8007781519201510231930ELED000001000000M2J 2647CUS-20429788               ICASTSF15BTRC
NAUT8007781519201510232022ELED000001000000J9H 5819CUS-20429832               ICASTSF15BTRC
NAUT8007781519201510232111ELED000001000000S0C 1306CUS-20429868               ICASTSF15BTRC
NAUT8008521307201510230705ELED000001000000V8A 0604CUS-20429094               ICASESF14BBMT
NAUT8008521307201510230751ELED000001000000H7W 3438CUS-20429137               ICASESF14BBMT
NAUT8008521307201510230820ELED000001000000R3T 0204CUS-20429165               ICASESF14BBMT
NAUT8008521307201510231205ELED000001000000L5M 5416CUS-20429409               ICASESF14BBMT
NAUT8008521307201510231214ELED000001000000L5M 0647CUS-20429421               ICASESF14BBMT
NAUT8008521307201510231557ELED000001000000T1K 4403CUS-20429652               ICASESF14BBMT
NAUT8008521307201510231748ELED000001000000V9Y 8250CUS-20429725               ICASESF14BBMT
NAUT8008521307201510232048ELED000001000000R9A 1204CUS-20429854               ICASESF14BBMT
NAUT8008521307201510232052ELED000001000000S4W 0306CUS-20429857               ICASESF14BBMT
NAUT8008521307201510232155ELED000001000000V0C 1250CUS-19876540               ICASESF14BBMT
