US Short Form Leads
NAUT8002428714201409281041LEAD00000100000038852662CUS-19734104               UAIRN120JRNEYTICTRC
NAUT8002431011201409281856LEAD00000100000097537541CUS-6864323               INSPN180WALKATICTRC
NAUT8002431011201409281858LEAD00000100000042442270CUS-19734755               INSPN180WALKATICTRC
NAUT8002431011201409281858LEAD00000100000072653870CUS-19734756               INSPN180WALKATICTRC
NAUT8002431011201409281900LEAD00000100000031313912CUS-19734754               INSPN180WALKATICTRC
NAUT8002431011201409281902LEAD00000100000023175804CUS-19734757               INSPN180WALKATICTRC
NAUT8002431011201409281903LEAD00000100000045662740CUS-19734761               INSPN180WALKATICTRC
NAUT8003318973201409281647LEAD00000100000075094972CUS-19734585               SAWTCIM0003TRC
NAUT8003582499201409281604LEAD00000100000037072615CUS-19734503               HIS2N180BFMAXTICBMT
NAUT8003667015201409281441LEAD00000100000060620773CUS-19734361               VEL*N180BFMAXTICBMT
NAUT8003667015201409281443LEAD00000100000024012540CUS-19734367               VEL*N180BFMAXTICBMT
NAUT8003667015201409281446LEAD00000100000002905401CUS-19734371               VEL*N180BFMAXTICBMT
NAUT8003667015201409281448LEAD00000100000032905321CUS-19734378               VEL*N180BFMAXTICBMT
NAUT8003667015201409281455LEAD00000100000062919618CUS-19734357               VEL*N180BFMAXTICBMT
NAUT8003667015201409281552LEAD00000100000085086480CUS-533172               VEL*N180BFMAXTICBMT
NAUT8003667015201409281558LEAD00000100000001801781CUS-19734495               VEL*N180BFMAXTICBMT
NAUT8003667015201409281558LEAD00000100000032141386CUS-19734494               VEL*N180BFMAXTICBMT
NAUT8003667015201409281843LEAD00000100000084117801CUS-2409270               VEL*N180BFMAXTICBMT
NAUT8003667015201409281844LEAD00000100000075069972CUS-19734729               VEL*N180BFMAXTICBMT
NAUT8003667015201409281844LEAD00000100000077905361CUS-19734732               VEL*N180BFMAXTICBMT
NAUT8003667015201409281845LEAD00000100000069101308CUS-15973958               VEL*N180BFMAXTICBMT
NAUT8003667015201409281846LEAD00000100000028677704CUS-19734733               VEL*N180BFMAXTICBMT
NAUT8003667015201409281847LEAD00000100000066502785CUS-19734728               VEL*N180BFMAXTICBMT
NAUT8003667015201409281849LEAD00000100000079118806CUS-19734741               VEL*N180BFMAXTICBMT
