US Short Form Leads
NAUT8002431011201411130808LEAD00000100000045669740CUS-19801665               INSPN180WLKMFTICTRC
NAUT8002678615201411131135LEAD00000100000080014720CUS-19802202               ESQ*N60*GRT2HTICTRC
NAUT8002874024201411131844LEAD00000100000078640512CUS-19802988               PALLN120FLY13TICTRC
NAUT8002917847201411131043LEAD00000100000014026716CUS-50905               ION*N120MRYMXTICBMT
NAUT8002917847201411131043LEAD00000100000017110717CUS-19564956               ION*N120MRYMXTICBMT
NAUT8002917847201411131043LEAD00000100000060629773CUS-19802091               ION*N120MRYMXTICBMT
NAUT8002917847201411131045LEAD00000100000034208941CUS-19802096               ION*N120MRYMXTICBMT
NAUT8002917847201411131045LEAD00000100000077089832CUS-19802095               ION*N120MRYMXTICBMT
NAUT8002917847201411131050LEAD00000100000010456347CUS-19802098               ION*N120MRYMXTICBMT
NAUT8002917847201411131109LEAD00000100000019939302CUS-3527671               ION*N120MRYMXTICBMT
NAUT8002917847201411131121LEAD00000100000079553325CUS-19802160               ION*N120MRYMXTICBMT
NAUT8002917847201411131134LEAD00000100000077014281CUS-19802200               ION*N120MRYMXTICBMT
NAUT8002987359201411131641LEAD00000100000092376909CUS-19802801               VEL*N180FLBOWTICTRC
NAUT8002990780201411131451LEAD00000100000008854914CUS-19793053               GOLFN120GRT2HTICTRC
NAUT8003359240201411131748LEAD00000100000011746631CUS-19802913               NBA*P60*GRT2HWSTTRC
NAUT8003359240201411131748LEAD00000100000060651630CUS-19802912               NBA*P60*GRT2HWSTTRC
NAUT8003518887201411130909LEAD00000100000033609727CUS-19801832               IFC*N120MRYMXTICBMT
NAUT8003518887201411131145LEAD00000100000031312912CUS-19802223               IFC*N120MRYMXTICBMT
NAUT8003518887201411131351LEAD00000100000075165972CUS-19802510               IFC*N120MRYMXTICBMT
NAUT8003540108201411131255LEAD00000100000095821916CUS-19802397               TNT*N60*WLKMFTICTRC
NAUT8003540108201411131256LEAD00000100000092236760CUS-19802399               TNT*N60*WLKMFTICTRC
NAUT8003582499201411130856LEAD00000100000076522254CUS-181797               HIS2N180MRYMXTICBMT
NAUT8003582499201411130857LEAD00000100000090605562CUS-7163793               HIS2N180MRYMXTICBMT
NAUT8003582499201411130858LEAD00000100000065201573CUS-19801792               HIS2N180MRYMXTICBMT
NAUT8003582499201411130859LEAD00000100000075966409CUS-19801793               HIS2N180MRYMXTICBMT
NAUT8003582499201411130900LEAD00000100000033196305CUS-19801806               HIS2N180MRYMXTICBMT
NAUT8003582499201411130904LEAD00000100000021207410CUS-19801795               HIS2N180MRYMXTICBMT
NAUT8003582499201411130907LEAD00000100000036093334CUS-19801826               HIS2N180MRYMXTICBMT
NAUT8003667015201411130907LEAD00000100000015084412CUS-19801829               VEL*N180MRYMXTICBMT
NAUT8003667015201411130907LEAD00000100000020112703CUS-19801827               VEL*N180MRYMXTICBMT
NAUT8003667015201411130908LEAD00000100000085348760CUS-19801828               VEL*N180MRYMXTICBMT
NAUT8003667015201411130911LEAD00000100000040906606CUS-19801834               VEL*N180MRYMXTICBMT
NAUT8003667015201411131001LEAD00000100000053115262CUS-4801328               VEL*N180MRYMXTICBMT
NAUT8003667015201411131121LEAD00000100000097449541CUS-19802161               VEL*N180MRYMXTICBMT
NAUT8003667015201411131123LEAD00000100000074129918CUS-19802163               VEL*N180MRYMXTICBMT
NAUT8003667015201411131123LEAD00000100000089403775CUS-19802164               VEL*N180MRYMXTICBMT
NAUT8003667015201411131125LEAD00000100000072773479CUS-19802169               VEL*N180MRYMXTICBMT
NAUT8003667015201411131546LEAD00000100000022579804CUS-19802709               VEL*N180MRYMXTICBMT
NAUT8003667015201411131550LEAD00000100000080109719CUS-19802711               VEL*N180MRYMXTICBMT
NAUT8004272727201411130900LEAD00000100000085033623CUS-19801802               METVN120GRT2HTICTRC
NAUT8004301903201411131336LEAD00000100000019560610CUS-19802478               ESQ*N120MRYMXTICBMT
NAUT8004365437201411131604LEAD00000100000063565660CUS-19802744               PUREN180MRYMXTICBMT
NAUT8004400559201411131652LEAD00000100000012849518CUS-19802817               FOXNN120GRT2HTICTRC
NAUT8004668119201411131640LEAD00000100000021208443CUS-19802799               PALLN120GNTMFTICTRC
NAUT8004668119201411131948LEAD00000100000055901507CUS-19510002               PALLN120GNTMFTICTRC
NAUT8004742899201411130840LEAD00000100000053066262CUS-19801747               CMT*N120GNTMFTICTRC
NAUT8004742899201411130840LEAD00000100000075835936CUS-19801745               CMT*N120GNTMFTICTRC
NAUT8004742899201411130842LEAD00000100000038242731CUS-19801748               CMT*N120GNTMFTICTRC
NAUT8004742899201411130940LEAD00000100000047591812CUS-19801917               CMT*N120GNTMFTICTRC
NAUT8004742899201411131146LEAD00000100000057006605CUS-19802224               CMT*N120GNTMFTICTRC
NAUT8004742899201411131341LEAD00000100000010002646CUS-19802486               CMT*N120GNTMFTICTRC
NAUT8004760480201411130948LEAD00000100000045828419CUS-19801927               INSPN180GRT2HTICTRC
NAUT8004809199201411131529LEAD00000100000045701740CUS-19802677               SUNDN120MRYMXTICBMT
NAUT8004969798201411131029LEAD00000100000019802302CUS-345917               SPKEN120MRYMXTICBMT
NAUT8004969798201411131030LEAD00000100000019135215CUS-16058255               SPKEN120MRYMXTICBMT
NAUT8004969798201411131033LEAD00000100000022554540CUS-19802064               SPKEN120MRYMXTICBMT
NAUT8004969798201411131039LEAD00000100000033713813CUS-19802078               SPKEN120MRYMXTICBMT
NAUT8004969798201411131040LEAD00000100000054935262CUS-19802084               SPKEN120MRYMXTICBMT
NAUT8004969798201411131102LEAD00000100000075418805CUS-19802121               SPKEN120MRYMXTICBMT
NAUT8004969798201411131144LEAD00000100000011208347CUS-19802215               SPKEN120MRYMXTICBMT
NAUT8004969798201411131248LEAD00000100000098548360CUS-19802365               SPKEN120MRYMXTICBMT
NAUT8004969798201411131351LEAD00000100000093063602CUS-19802511               SPKEN120MRYMXTICBMT
NAUT8004969798201411131406LEAD00000100000097913541CUS-19802539               SPKEN120MRYMXTICBMT
NAUT8005050396201411131916LEAD00000100000040324502CUS-6727467               PALLN120MRYMXTICBMT
NAUT8005069231201411130952LEAD00000100000043402419CUS-19801938               VEL*N120MRYMXTICBMT
NAUT8005069231201411130953LEAD00000100000060490630CUS-19801942               VEL*N120MRYMXTICBMT
NAUT8005069231201411131524LEAD00000100000030567678CUS-19802664               VEL*N120MRYMXTICBMT
NAUT8005069231201411131526LEAD00000100000010977845CUS-11734935               VEL*N120MRYMXTICBMT
NAUT8005069231201411131526LEAD00000100000079922915CUS-1493609               VEL*N120MRYMXTICBMT
NAUT8005069231201411131531LEAD00000100000007011973CUS-19802673               VEL*N120MRYMXTICBMT
NAUT8005248451201411130717LEAD00000100000030030404CUS-19801577               USA*N60*WLKMFTICTRC
NAUT8005248451201411130719LEAD00000100000060402708CUS-19801578               USA*N60*WLKMFTICTRC
NAUT8005248451201411130737LEAD00000100000019809302CUS-19801620               USA*N60*WLKMFTICTRC
NAUT8005632199201411131918LEAD00000100000094025831CUS-19803044               MTV*L60*MRYMXTICBMT
NAUT8005700999201411130948LEAD00000100000093535661CUS-19801933               FOODNVODWALKATICTRC
NAUT8005916649201411130641LEAD00000100000025276615CUS-19801522               ESQ*N120WLKMFTICTRC
NAUT8005916649201411130951LEAD00000100000015037412CUS-19801935               ESQ*N120WLKMFTICTRC
NAUT8005916649201411130951LEAD00000100000017870570CUS-19801936               ESQ*N120WLKMFTICTRC
NAUT8005916649201411131140LEAD00000100000028463910CUS-19802207               ESQ*N120WLKMFTICTRC
NAUT8005916649201411131237LEAD00000100000047374765CUS-19802366               ESQ*N120WLKMFTICTRC
NAUT8005916649201411131420LEAD00000100000020032202CUS-19773319               ESQ*N120WLKMFTICTRC
NAUT8005916649201411131422LEAD00000100000011239CUS-19802567               ESQ*N120WLKMFTICTRC
NAUT8005923486201411130957LEAD00000100000015690724CUS-19801949               DRTMN60*MRYMXTICBMT
NAUT8005923486201411131140LEAD00000100000034997772CUS-19802208               DRTMN60*MRYMXTICBMT
NAUT8005923486201411131151LEAD00000100000077051281CUS-19802243               DRTMN60*MRYMXTICBMT
NAUT8005923486201411131157LEAD00000100000030281404CUS-10939130               DRTMN60*MRYMXTICBMT
NAUT8005923486201411131159LEAD00000100000090810310CUS-19802265               DRTMN60*MRYMXTICBMT
NAUT8005923486201411131543LEAD00000100000087052505CUS-19802699               DRTMN60*MRYMXTICBMT
NAUT8006148461201411130718LEAD00000100000030290770CUS-19801579               HALMN120WLKMFTICTRC
NAUT8006148461201411130913LEAD00000100000098270360CUS-19801842               HALMN120WLKMFTICTRC
NAUT8006148461201411131142LEAD00000100000092040619CUS-19802213               HALMN120WLKMFTICTRC
NAUT8006148461201411132157LEAD00000100000042101270CUS-19803191               HALMN120WLKMFTICTRC
NAUT8006148461201411132158LEAD00000100000092337909CUS-19803193               HALMN120WLKMFTICTRC
NAUT8006172457201411130919LEAD00000100000049546616CUS-19801864               ION*N120WLKMFTICTRC
NAUT8006172457201411130921LEAD00000100000024013540CUS-19801868               ION*N120WLKMFTICTRC
NAUT8006172457201411130933LEAD00000100000048843248CUS-19801871               ION*N120WLKMFTICTRC
NAUT8006172457201411130948LEAD00000100000014837607CUS-19801932               ION*N120WLKMFTICTRC
NAUT8006172457201411131021LEAD00000100000080011720CUS-19802017               ION*N120WLKMFTICTRC
NAUT8006172457201411131424LEAD00000100000032346850CUS-19802573               ION*N120WLKMFTICTRC
NAUT8006172457201411131425LEAD00000100000010025917CUS-19802575               ION*N120WLKMFTICTRC
NAUT8006172457201411131425LEAD00000100000024017540CUS-19802572               ION*N120WLKMFTICTRC
NAUT8006172457201411131425LEAD00000100000083401208CUS-19802574               ION*N120WLKMFTICTRC
NAUT8006172457201411131426LEAD00000100000023882804CUS-19802579               ION*N120WLKMFTICTRC
