US Electronic Short Form Leads
NAUT8002035538201601241712ELED00000100000048036586CUS-20666432               DSETSF15ATRC
NAUT8002439827201601240005ELED00000100000032931321CUS-2468385               dseesf14aBMT
NAUT8002439827201601240005ELED00000100000099791850CUS-20663981               dseesf14aBMT
NAUT8002439827201601240006ELED00000100000066061913CUS-20663984               dseesf14aBMT
NAUT8002439827201601240008ELED00000100000078212210CUS-20663987               dseesf14aBMT
NAUT8002439827201601240618ELED00000100000043086614CUS-20664183               dseesf14aBMT
NAUT8002439827201601240620ELED00000100000033772727CUS-2558425               dseesf14aBMT
NAUT8002439827201601240639ELED00000100000076063817CUS-20664226               dseesf14aBMT
NAUT8002439827201601240643ELED00000100000054017651CUS-5953913               dseesf14aBMT
NAUT8002439827201601240644ELED00000100000078861830CUS-20664242               dseesf14aBMT
NAUT8002439827201601240654ELED00000100000013790607CUS-20664270               dseesf14aBMT
NAUT8002439827201601240703ELED00000100000048111734CUS-20664299               dseesf14aBMT
NAUT8002439827201601240807ELED00000100000042049270CUS-20664377               dseesf14aBMT
NAUT8002439827201601240808ELED00000100000033617813CUS-20664385               dseesf14aBMT
NAUT8002439827201601240808ELED00000100000095602530CUS-20664384               dseesf14aBMT
NAUT8002439827201601240810ELED00000100000028681828CUS-20664399               dseesf14aBMT
NAUT8002439827201601240810ELED00000100000035160256CUS-12084310               dseesf14aBMT
NAUT8002439827201601240811ELED00000100000020720301CUS-20664403               dseesf14aBMT
NAUT8002439827201601240813ELED00000100000019963302CUS-20664415               dseesf14aBMT
NAUT8002439827201601240813ELED00000100000028655828CUS-20664412               dseesf14aBMT
NAUT8002439827201601240813ELED00000100000066762620CUS-20664417               dseesf14aBMT
NAUT8002439827201601240814ELED00000100000044721330CUS-20664420               dseesf14aBMT
NAUT8002439827201601240815ELED00000100000037174615CUS-20664425               dseesf14aBMT
NAUT8002439827201601240816ELED00000100000012144518CUS-20664430               dseesf14aBMT
NAUT8002439827201601240817ELED00000100000075002214CUS-3410337               dseesf14aBMT
NAUT8002439827201601240821ELED00000100000011234770CUS-20664457               dseesf14aBMT
NAUT8002439827201601240823ELED00000100000043140937CUS-20664461               dseesf14aBMT
NAUT8002439827201601240824ELED00000100000089084702CUS-20664469               dseesf14aBMT
NAUT8002439827201601240827ELED00000100000060655773CUS-7974989               dseesf14aBMT
NAUT8002439827201601240828ELED00000100000048066586CUS-20664483               dseesf14aBMT
NAUT8002439827201601240830ELED00000100000048045586CUS-9252395               dseesf14aBMT
NAUT8002439827201601240831ELED00000100000032145904CUS-20664503               dseesf14aBMT
NAUT8002439827201601240836ELED00000100000053089920CUS-20664528               dseesf14aBMT
NAUT8002439827201601240836ELED00000100000062088217CUS-20664531               dseesf14aBMT
NAUT8002439827201601240843ELED00000100000040121502CUS-20664565               dseesf14aBMT
NAUT8002439827201601240854ELED00000100000094523760CUS-20664613               dseesf14aBMT
NAUT8002439827201601240906ELED00000100000079536325CUS-20664660               dseesf14aBMT
NAUT8002439827201601240907ELED00000100000041102606CUS-20664670               dseesf14aBMT
NAUT8002439827201601240909ELED00000100000015227412CUS-20664677               dseesf14aBMT
NAUT8002439827201601240935ELED00000100000075077214CUS-20664799               dseesf14aBMT
NAUT8002439827201601240936ELED00000100000035216334CUS-20664801               dseesf14aBMT
NAUT8002439827201601240941ELED00000100000019901302CUS-20664827               dseesf14aBMT
NAUT8002439827201601240943ELED00000100000046324682CUS-20664832               dseesf14aBMT
NAUT8002439827201601240944ELED00000100000058201509CUS-20664837               dseesf14aBMT
NAUT8002439827201601240947ELED00000100000027284336CUS-20664848               dseesf14aBMT
NAUT8002439827201601240952ELED00000100000000987787CUS-20664872               dseesf14aBMT
NAUT8002439827201601240953ELED00000100000031516912CUS-20664880               dseesf14aBMT
NAUT8002439827201601241001ELED00000100000019720914CUS-20664901               dseesf14aBMT
NAUT8002439827201601241003ELED00000100000010509845CUS-20664913               dseesf14aBMT
NAUT8002439827201601241005ELED00000100000002330508CUS-20664921               dseesf14aBMT
NAUT8002439827201601241008ELED00000100000045365937CUS-20664933               dseesf14aBMT
NAUT8002439827201601241009ELED00000100000007071732CUS-20664939               dseesf14aBMT
NAUT8002439827201601241010ELED00000100000049455231CUS-20664947               dseesf14aBMT
NAUT8002439827201601241010ELED00000100000077078832CUS-20664944               dseesf14aBMT
NAUT8002439827201601241011ELED00000100000007647201CUS-8748353               dseesf14aBMT
NAUT8002439827201601241015ELED00000100000027705919CUS-20664965               dseesf14aBMT
NAUT8002439827201601241018ELED00000100000027705CUS-20664978               dseesf14aBMT
NAUT8002439827201601241018ELED00000100000040121502CUS-20664953               SAWDSEESF14ABMT
NAUT8002439827201601241018ELED00000100000040121502CUS-20664953               SAWDSEESF14ATRC
NAUT8002439827201601241022ELED00000100000087123505CUS-20664992               dseesf14aBMT
NAUT8002439827201601241025ELED00000100000040121502CUS-20664999               SAWDSEESF14ABMT
NAUT8002439827201601241025ELED00000100000040121502CUS-20664999               SAWDSEESF14ATRC
NAUT8002439827201601241032ELED00000100000060625872CUS-20665030               dseesf14aBMT
NAUT8002439827201601241032ELED00000100000097322541CUS-4573836               dseesf14aBMT
NAUT8002439827201601241035ELED00000100000021208443CUS-20665044               dseesf14aBMT
NAUT8002439827201601241036ELED00000100000040511859CUS-20665046               dseesf14aBMT
NAUT8002439827201601241037ELED00000100000053081920CUS-3043124               dseesf14aBMT
NAUT8002439827201601241040ELED00000100000086506928CUS-20665060               dseesf14aBMT
NAUT8002439827201601241042ELED00000100000037146CUS-20665064               dseesf14aBMT
NAUT8002439827201601241043ELED00000100000006073914CUS-20665068               dseesf14aBMT
NAUT8002439827201601241045ELED00000100000055128651CUS-5184063               dseesf14aBMT
NAUT8002439827201601241051ELED00000100000061525309CUS-20665096               dseesf14aBMT
NAUT8002439827201601241122ELED00000100000036856770CUS-20665196               dseesf14aBMT
NAUT8002439827201601241139ELED00000100000045806419CUS-20665252               dseesf14aBMT
NAUT8002439827201601241140ELED00000100000037030615CUS-20665260               dseesf14aBMT
NAUT8002439827201601241143ELED00000100000032707321CUS-20665276               dseesf14aBMT
NAUT8002439827201601241147ELED00000100000072116501CUS-20665292               SAWDSEESF14ABFC
NAUT8002439827201601241147ELED00000100000072116501CUS-20665292               SAWDSEESF14ABMT
NAUT8002439827201601241200ELED00000100000022193706CUS-20665345               dseesf14aBMT
NAUT8002439827201601241201ELED00000100000028027980CUS-9200622               dseesf14aBMT
NAUT8002439827201601241201ELED00000100000040511218CUS-20665349               dseesf14aBMT
NAUT8002439827201601241202ELED00000100000045248513CUS-20665352               dseesf14aBMT
NAUT8002439827201601241203ELED00000100000002368774CUS-20665358               dseesf14aBMT
NAUT8002439827201601241206ELED00000100000032808407CUS-20665361               dseesf14aBMT
NAUT8002439827201601241207ELED00000100000033033786CUS-8223868               dseesf14aBMT
NAUT8002439827201601241207ELED00000100000095355209CUS-20665364               dseesf14aBMT
NAUT8002439827201601241208ELED00000100000048416989CUS-20665365               dseesf14aBMT
NAUT8002439827201601241213ELED00000100000017243814CUS-20665382               dseesf14aBMT
NAUT8002439827201601241218ELED00000100000006515203CUS-20665406               dseesf14aBMT
NAUT8002439827201601241231ELED00000100000022701540CUS-20665453               dseesf14aBMT
NAUT8002439827201601241232ELED00000100000078222210CUS-13110991               dseesf14aBMT
NAUT8002439827201601241234ELED00000100000060073847CUS-20665464               dseesf14aBMT
NAUT8002439827201601241235ELED00000100000042503859CUS-20665469               dseesf14aBMT
NAUT8002439827201601241252ELED00000100000080631970CUS-20665536               dseesf14aBMT
NAUT8002439827201601241253ELED00000100000033174305CUS-20665539               dseesf14aBMT
NAUT8002439827201601241255ELED00000100000029678864CUS-20665550               dseesf14aBMT
NAUT8002439827201601241256ELED00000100000089108702CUS-20665553               dseesf14aBMT
NAUT8002439827201601241257ELED00000100000011701516CUS-491326               dseesf14aBMT
NAUT8002439827201601241257ELED00000100000093534661CUS-20665562               dseesf14aBMT
NAUT8002439827201601241258ELED00000100000092562909CUS-10190004               dseesf14aBMT
NAUT8002439827201601241303ELED00000100000044514330CUS-20665584               dseesf14aBMT
NAUT8002439827201601241303ELED00000100000094533415CUS-20665586               dseesf14aBMT
NAUT8002439827201601241307ELED00000100000074881405CUS-20665601               dseesf14aBMT
NAUT8002439827201601241309ELED00000100000010304718CUS-20665609               dseesf14aBMT
NAUT8002439827201601241309ELED00000100000014218716CUS-20665607               dseesf14aBMT
NAUT8002439827201601241313ELED00000100000048080586CUS-20665627               dseesf14aBMT
NAUT8002439827201601241313ELED00000100000062864618CUS-20665628               dseesf14aBMT
NAUT8002439827201601241314ELED00000100000033322954CUS-20665629               dseesf14aBMT
NAUT8002439827201601241316ELED00000100000008087609CUS-20665633               dseesf14aBMT
NAUT8002439827201601241332ELED00000100000076210972CUS-20665679               dseesf14aBMT
NAUT8002439827201601241401ELED00000100000002119617CUS-20648445               dseesf14aBMT
NAUT8002439827201601241402ELED00000100000020602301CUS-20665802               dseesf14aBMT
NAUT8002439827201601241402ELED00000100000043015740CUS-20665800               dseesf14aBMT
NAUT8002439827201601241404ELED00000100000030281770CUS-5907412               dseesf14aBMT
NAUT8002439827201601241406ELED00000100000021220410CUS-20665821               dseesf14aBMT
NAUT8002439827201601241412ELED00000100000019802267CUS-20665838               dseesf14aBMT
NAUT8002439827201601241415ELED00000100000032225904CUS-20665851               dseesf14aBMT
NAUT8002439827201601241416ELED00000100000054201920CUS-10523464               dseesf14aBMT
NAUT8002439827201601241427ELED00000100000077963361CUS-20665894               dseesf14aBMT
NAUT8002439827201601241503ELED00000100000033023786CUS-20666039               dseesf14aBMT
NAUT8002439827201601241506ELED00000100000091761909CUS-20666053               dseesf14aBMT
