US Short Form Leads
NAUT8002441703201512201233LEAD00000100000011212929CUS-20541017               FOX*NVODJACKDTICBMT
NAUT8003010502201512201817LEAD00000100000043558419CUS-20541632               FOX*NVODHAMF*TICBMT
NAUT8004202690201512201414LEAD00000100000095121669CUS-20541194               TESCN120HKINGTICTRC
NAUT8004202690201512201415LEAD00000100000076210214CUS-20541195               TESCN120HKINGTICTRC
NAUT8004202690201512201735LEAD00000100000032818321CUS-20541553               TESCN120HKINGTICTRC
NAUT8004416790201512200635LEAD00000100000037405423CUS-20540395               LMN*N60*HKINGTICTRC
NAUT8004418530201512201057LEAD00000100000034744407CUS-20540859               ATBSL60*HKINGTICTRC
NAUT8004673156201512200134LEAD00000100000053209414CUS-20540283               ION*N120JACKDTICBMT
NAUT8004673156201512200532LEAD00000100000094124415CUS-20540333               ION*N120JACKDTICBMT
NAUT8004673156201512202034LEAD00000100000091706626CUS-20541851               ION*N120JACKDTICBMT
NAUT8004673156201512202034LEAD00000100000091706626CUS-20541854               ION*N120JACKDTICBMT
NAUT8004691572201512201334LEAD00000100000075751903CUS-20541126               WNATN120JACKDTICBMT
NAUT8004694581201512201433LEAD00000100000080631970CUS-20541233               RELZN120JACKDTICBMT
NAUT8004694581201512201434LEAD00000100000017220717CUS-20541237               RELZN120JACKDTICBMT
NAUT8004694581201512201434LEAD00000100000080631970CUS-20541234               RELZN120JACKDTICBMT
NAUT8004694581201512201533LEAD00000100000011772631CUS-20541328               RELZN120JACKDTICBMT
NAUT8004694581201512201535LEAD00000100000028655828CUS-20541343               RELZN120JACKDTICBMT
NAUT8004694581201512201535LEAD00000100000076140817CUS-20541345               RELZN120JACKDTICBMT
NAUT8004694581201512201535LEAD00000100000097214503CUS-20541341               RELZN120JACKDTICBMT
NAUT8004694581201512201604LEAD00000100000070119504CUS-20541392               RELZN120JACKDTICBMT
NAUT8004695614201512201934LEAD00000100000077060832CUS-20541762               JUSTN120JACKDTICBMT
NAUT8004712485201512200934LEAD00000100000048117734CUS-20540690               PUREN180JACKDTICBMT
NAUT8004715546201512201637LEAD00000100000001752857CUS-20541438               HIS2N180JACKDTICBMT
NAUT8004715546201512201637LEAD00000100000018951215CUS-20541440               HIS2N180JACKDTICBMT
NAUT8004715546201512201640LEAD00000100000010469718CUS-20541443               HIS2N180JACKDTICBMT
NAUT8004715546201512201640LEAD00000100000036037334CUS-20541444               HIS2N180JACKDTICBMT
NAUT8004715546201512201642LEAD00000100000045385937CUS-20129333               HIS2N180JACKDTICBMT
NAUT8004715546201512201733LEAD00000100000050212515CUS-20541552               HIS2N180JACKDTICBMT
NAUT8004715546201512201850LEAD00000100000011230347CUS-20541690               HIS2N180JACKDTICBMT
NAUT8004715546201512201913LEAD00000100000033040305CUS-20541736               HIS2N180JACKDTICBMT
NAUT8004716167201512201041LEAD00000100000036116334CUS-20540842               FYI*N180JACKDTICBMT
NAUT8004716167201512201044LEAD00000100000071457318CUS-20540845               FYI*N180JACKDTICBMT
NAUT8004716167201512201046LEAD00000100000034758321CUS-20540849               FYI*N180JACKDTICBMT
NAUT8004719576201512201447LEAD00000100000010466718CUS-10979446               VH1CN180JACKDTICBMT
NAUT8005106032201512201519LEAD00000100000043074614CUS-20541308               INSPN120HKINGTICTRC
NAUT8005106032201512201522LEAD00000100000038305510CUS-20541310               INSPN120HKINGTICTRC
NAUT8005259920201512200433LEAD00000100000048221586CUS-20540313               QUBON120HKINGTICTRC
NAUT8005259920201512200829LEAD00000100000055338612CUS-4989542               QUBON120HKINGTICTRC
NAUT8005259920201512201402LEAD00000100000048212313CUS-20541169               QUBON120HKINGTICTRC
NAUT8005304793201512201335LEAD00000100000036108334CUS-20541129               PIVTN180JACKDTICBMT
NAUT8005304793201512201337LEAD00000100000058601406CUS-20541133               PIVTN180JACKDTICBMT
NAUT8005304793201512201511LEAD00000100000085351623CUS-11187985               PIVTN180JACKDTICBMT
NAUT8005304793201512202134LEAD00000100000080010720CUS-20541950               PIVTN180JACKDTICBMT
NAUT8005304793201512202134LEAD00000100000080010720CUS-20541952               PIVTN180JACKDTICBMT
NAUT8005306204201512201143LEAD00000100000075287UNDCUS-20540938               SUNDN180JACKDTICBMT
NAUT8005306204201512201232LEAD00000100000063132314CUS-20540999               SUNDN180JACKDTICBMT
NAUT8006520108201512200654LEAD00000100000031077478CUS-20540435               INSPN180ALOHATICTRC
NAUT8006703864201512201234LEAD00000100000028366910CUS-20541019               METVN120WLKNYTICTRC
NAUT8007086528201512201545LEAD00000100000060181708CUS-19993833               VEL*N120JACKDTICBMT
NAUT8007173460201512200804LEAD00000100000017220717CUS-20540478               INSPN180HKINGTICTRC
NAUT8007173460201512201953LEAD00000100000002144617CUS-20541795               INSPN180HKINGTICTRC
NAUT8007173460201512202135LEAD00000100000094566925CUS-20541954               INSPN180HKINGTICTRC
NAUT8008204260201512201024LEAD00000100000000739CUS-20540816               LIFEN60*HKINGTICTRC
NAUT8008531649201512202233LEAD00000100000063901573CUS-20542001               PALLN120JACKDTICBMT
