US Short Form Leads
NAUT8002427406201601311501LEAD00000100000030083678CUS-19937049               WNATN120J14FSTICBMT
NAUT8002437081201601310858LEAD00000100000006095860CUS-20682245               RELZN120J14FSTICBMT
NAUT8002437081201601310902LEAD00000100000092345760CUS-20682258               RELZN120J14FSTICBMT
NAUT8002437081201601310934LEAD00000100000081148719CUS-20682353               RELZN120J14FSTICBMT
NAUT8002437081201601310934LEAD00000100000090044323CUS-20682349               RELZN120J14FSTICBMT
NAUT8002437081201601310934LEAD00000100000090044323CUS-20682349               RELZN120J14FSTICTRC
NAUT8002437081201601310936LEAD00000100000037185931CUS-20682357               RELZN120J14FSTICBMT
NAUT8002437081201601310936LEAD00000100000071230318CUS-20682361               RELZN120J14FSTICBMT
NAUT8002437081201601310950LEAD00000100000060426708CUS-20682425               RELZN120J14FSTICBMT
NAUT8002437081201601311027LEAD00000100000018466570CUS-3751008               RELZN120J14FSTICBMT
NAUT8002437081201601311027LEAD00000100000072476870CUS-20682587               RELZN120J14FSTICBMT
NAUT8002437081201601311028LEAD00000100000019148215CUS-20682589               RELZN120J14FSTICBMT
NAUT8002437081201601311028LEAD00000100000033351954CUS-222282               RELZN120J14FSTICBMT
NAUT8002437081201601311030LEAD00000100000080916719CUS-20682602               RELZN120J14FSTICBMT
NAUT8002437081201601311156LEAD00000100000059457406CUS-20682969               RELZN120J14FSTICBMT
NAUT8002437081201601311158LEAD00000100000084129801CUS-20682975               RELZN120J14FSTICBMT
NAUT8002437081201601311158LEAD00000100000095758916CUS-20682973               RELZN120J14FSTICBMT
NAUT8002437081201601311159LEAD00000100000010312718CUS-20682983               RELZN120J14FSTICBMT
NAUT8002437081201601311346LEAD00000100000048746989CUS-20683339               RELZN120J14FSTICBMT
NAUT8002437081201601311347LEAD00000100000093291559CUS-20683342               RELZN120J14FSTICBMT
NAUT8002437081201601311351LEAD00000100000017319717CUS-7785363               RELZN120J14FSTICBMT
NAUT8002437081201601311546LEAD00000100000007004973CUS-20683705               RELZN120J14FSTICBMT
NAUT8002437081201601311547LEAD00000100000010027347CUS-20683712               RELZN120J14FSTICBMT
NAUT8002437081201601311547LEAD00000100000028434910CUS-20683706               RELZN120J14FSTICBMT
NAUT8002437081201601311548LEAD00000100000084119801CUS-20683718               RELZN120J14FSTICBMT
NAUT8002437081201601311550LEAD00000100000038577931CUS-20683724               RELZN120J14FSTICBMT
NAUT8002437081201601311550LEAD00000100000090003323CUS-20683710               RELZN120J14FSTICBMT
NAUT8002437081201601311553LEAD00000100000092411323CUS-20683731               RELZN120J14FSTICBMT
NAUT8002437081201601311843LEAD00000100000093245559CUS-13206523               RELZN120J14FSTICBMT
NAUT8002437081201601311844LEAD00000100000012206518CUS-20684390               RELZN120J14FSTICBMT
NAUT8002437081201601311848LEAD00000100000048867989CUS-20684394               RELZN120J14FSTICBMT
NAUT8002437081201601311930LEAD00000100000078537832CUS-20684540               RELZN120J14FSTICBMT
NAUT8002437091201601310646LEAD00000100000044483330CUS-20681869               ION*N120J14FSTICBMT
NAUT8002437091201601310646LEAD00000100000053210414CUS-20681868               ION*N120J14FSTICBMT
NAUT8002437091201601310647LEAD00000100000048380248CUS-12755242               ION*N120J14FSTICBMT
NAUT8002437091201601310648LEAD00000100000010460347CUS-20681872               ION*N120J14FSTICBMT
NAUT8002437091201601310650LEAD00000100000030168678CUS-6773782               ION*N120J14FSTICBMT
NAUT8002437091201601310654LEAD00000100000007652201CUS-20681884               ION*N120J14FSTICBMT
NAUT8002437091201601310946LEAD00000100000082644307CUS-20682399               ION*N120J14FSTICBMT
NAUT8002437091201601310950LEAD00000100000089081702CUS-8809844               ION*N120J14FSTICBMT
NAUT8002447902201601311148LEAD00000100000095370209CUS-20682935               ODORN120JACKDTICBMT
NAUT8002665079201601310904LEAD00000100000083605208CUS-20682269               JUSTN120J14FSTICBMT
NAUT8002665079201601311757LEAD00000100000040228502CUS-20684274               JUSTN120J14FSTICBMT
NAUT8002665079201601311757LEAD00000100000077042832CUS-20684273               JUSTN120J14FSTICBMT
NAUT8002700904201601311443LEAD00000100000053209414CUS-6612095               GRITN120J14FSTICBMT
NAUT8002700904201601311444LEAD00000100000049080269CUS-20683482               GRITN120J14FSTICBMT
NAUT8002700904201601311444LEAD00000100000063379636CUS-20683486               GRITN120J14FSTICBMT
NAUT8002700904201601311445LEAD00000100000021214410CUS-20683481               GRITN120J14FSTICBMT
NAUT8002700904201601311510LEAD00000100000014561585CUS-20683591               GRITN120J14FSTICBMT
NAUT8002700904201601311712LEAD00000100000044256330CUS-20684109               GRITN120J14FSTICBMT
NAUT8002700904201601311713LEAD00000100000049001269CUS-20684110               GRITN120J14FSTICBMT
NAUT8002700904201601311714LEAD00000100000021213443CUS-20684115               GRITN120J14FSTICBMT
NAUT8002700904201601311715LEAD00000100000030143770CUS-20684122               GRITN120J14FSTICBMT
NAUT8002794627201601310655LEAD00000100000034208207CUS-12703740               LAFFN120J14FSTICBMT
NAUT8002794627201601310830LEAD00000100000060619773CUS-20682126               LAFFN120J14FSTICBMT
